Site Name,ODYLIGHT,,,
Site Number,1,,,
Logger,Integrating Light Sensor,,,
Logger Serial Number,15640,,,
,,,,
,,,,
Scan No,Date and Time,Integrating Light,,
,,RAW VALUE,CALIBRATED VALUE,
,,,,
1,05/03/2022,9:10:00,1461,1473
2,05/03/2022,9:20:00,3347,3374.4
3,05/03/2022,9:30:00,5957,6005.8
4,05/03/2022,9:40:00,6656,6710.5
5,05/03/2022,9:50:00,7651,7713.6
6,05/03/2022,10:00:00,10502,10588
7,05/03/2022,10:10:00,9239,9314.6
8,05/03/2022,10:20:00,6275,6326.4
9,05/03/2022,10:30:00,3098,3123.4
10,05/03/2022,10:40:00,2615,2636.4
11,05/03/2022,10:50:00,2638,2659.6
12,05/03/2022,11:00:00,4353,4388.6
13,05/03/2022,11:10:00,6001,6050.1
14,05/03/2022,11:20:00,5612,5657.9
15,05/03/2022,11:30:00,11737,11833.1
16,05/03/2022,11:40:00,13404,13513.7
17,05/03/2022,11:50:00,14566,14685.3
18,05/03/2022,12:00:00,14502,14620.7
19,05/03/2022,12:10:00,14630,14749.8
20,05/03/2022,12:20:00,14565,14684.3
21,05/03/2022,12:30:00,14345,14462.4
22,05/03/2022,12:40:00,14263,14379.8
23,05/03/2022,12:50:00,14536,14655
24,05/03/2022,13:00:00,14382,14499.8
25,05/03/2022,13:10:00,11959,12056.9
26,05/03/2022,13:20:00,13403,13512.7
27,05/03/2022,13:30:00,13508,13618.6
28,05/03/2022,13:40:00,13349,13458.3
29,05/03/2022,13:50:00,13132,13239.5
30,05/03/2022,14:00:00,13046,13152.8
31,05/03/2022,14:10:00,11963,12060.9
32,05/03/2022,14:20:00,12077,12175.9
33,05/03/2022,14:30:00,11721,11817
34,05/03/2022,14:40:00,11304,11396.6
35,05/03/2022,14:50:00,8360,8428.4
36,05/03/2022,15:00:00,10484,10569.8
37,05/03/2022,15:10:00,10000,10081.9
38,05/03/2022,15:20:00,9383,9459.8
39,05/03/2022,15:30:00,8940,9013.2
40,05/03/2022,15:40:00,8260,8327.6
41,05/03/2022,15:50:00,7649,7711.6
42,05/03/2022,16:00:00,7036,7093.6
43,05/03/2022,16:10:00,6378,6430.2
44,05/03/2022,16:20:00,5738,5785
45,05/03/2022,16:30:00,5200,5242.6
46,05/03/2022,16:40:00,4664,4702.2
47,05/03/2022,16:50:00,4105,4138.6
48,05/03/2022,17:00:00,3519,3547.8
49,05/03/2022,17:10:00,2851,2874.3
50,05/03/2022,17:20:00,2100,2117.2
51,05/03/2022,17:30:00,1649,1662.5
52,05/03/2022,17:40:00,892,899.3
53,05/03/2022,17:50:00,645,650.3
54,05/03/2022,18:00:00,560,564.6
55,05/03/2022,18:10:00,314,316.6
56,05/03/2022,18:20:00,125,126
57,05/03/2022,18:30:00,31,31.3
58,05/03/2022,18:40:00,6,6
59,05/03/2022,18:50:00,0,0
60,05/03/2022,19:00:00,0,0
61,05/03/2022,19:10:00,0,0
62,05/03/2022,19:20:00,0,0
63,05/03/2022,19:30:00,0,0
64,05/03/2022,19:40:00,0,0
65,05/03/2022,19:50:00,0,0
66,05/03/2022,20:00:00,0,0
67,05/03/2022,20:10:00,0,0
68,05/03/2022,20:20:00,0,0
69,05/03/2022,20:30:00,0,0
70,05/03/2022,20:40:00,0,0
71,05/03/2022,20:50:00,0,0
72,05/03/2022,21:00:00,0,0
73,05/03/2022,21:10:00,0,0
74,05/03/2022,21:20:00,0,0
75,05/03/2022,21:30:00,0,0
76,05/03/2022,21:40:00,0,0
77,05/03/2022,21:50:00,0,0
78,05/03/2022,22:00:00,0,0
79,05/03/2022,22:10:00,0,0
80,05/03/2022,22:20:00,0,0
81,05/03/2022,22:30:00,0,0
82,05/03/2022,22:40:00,0,0
83,05/03/2022,22:50:00,0,0
84,05/03/2022,23:00:00,0,0
85,05/03/2022,23:10:00,0,0
86,05/03/2022,23:20:00,0,0
87,05/03/2022,23:30:00,0,0
88,05/03/2022,23:40:00,0,0
89,05/03/2022,23:50:00,0,0
90,05/03/2022,24:00:00,0,0
91,06/03/2022,0:10:00,0,0
92,06/03/2022,0:20:00,0,0
93,06/03/2022,0:30:00,0,0
94,06/03/2022,0:40:00,0,0
95,06/03/2022,0:50:00,0,0
96,06/03/2022,1:00:00,0,0
97,06/03/2022,1:10:00,0,0
98,06/03/2022,1:20:00,0,0
99,06/03/2022,1:30:00,0,0
100,06/03/2022,1:40:00,0,0
101,06/03/2022,1:50:00,0,0
102,06/03/2022,2:00:00,0,0
103,06/03/2022,2:10:00,0,0
104,06/03/2022,2:20:00,0,0
105,06/03/2022,2:30:00,0,0
106,06/03/2022,2:40:00,0,0
107,06/03/2022,2:50:00,0,0
108,06/03/2022,3:00:00,0,0
109,06/03/2022,3:10:00,0,0
110,06/03/2022,3:20:00,0,0
111,06/03/2022,3:30:00,0,0
112,06/03/2022,3:40:00,0,0
113,06/03/2022,3:50:00,0,0
114,06/03/2022,4:00:00,0,0
115,06/03/2022,4:10:00,0,0
116,06/03/2022,4:20:00,0,0
117,06/03/2022,4:30:00,0,0
118,06/03/2022,4:40:00,0,0
119,06/03/2022,4:50:00,0,0
120,06/03/2022,5:00:00,0,0
121,06/03/2022,5:10:00,0,0
122,06/03/2022,5:20:00,0,0
123,06/03/2022,5:30:00,0,0
124,06/03/2022,5:40:00,0,0
125,06/03/2022,5:50:00,2,2
126,06/03/2022,6:00:00,25,25.2
127,06/03/2022,6:10:00,111,111.9
128,06/03/2022,6:20:00,270,272.2
129,06/03/2022,6:30:00,441,444.6
130,06/03/2022,6:40:00,668,673.5
131,06/03/2022,6:50:00,1060,1068.7
132,06/03/2022,7:00:00,1678,1691.7
133,06/03/2022,7:10:00,1675,1688.7
134,06/03/2022,7:20:00,2714,2736.2
135,06/03/2022,7:30:00,3339,3366.3
136,06/03/2022,7:40:00,3883,3914.8
137,06/03/2022,7:50:00,4328,4363.4
138,06/03/2022,8:00:00,4752,4790.9
139,06/03/2022,8:10:00,5520,5565.2
140,06/03/2022,8:20:00,6207,6257.8
141,06/03/2022,8:30:00,6798,6853.7
142,06/03/2022,8:40:00,7456,7517
143,06/03/2022,8:50:00,8145,8211.7
144,06/03/2022,9:00:00,8882,8954.7
145,06/03/2022,9:10:00,8964,9037.4
146,06/03/2022,9:20:00,5599,5644.8
147,06/03/2022,9:30:00,8577,8647.2
148,06/03/2022,9:40:00,6324,6375.8
149,06/03/2022,9:50:00,9118,9192.7
150,06/03/2022,10:00:00,11799,11895.6
151,06/03/2022,10:10:00,12242,12342.2
152,06/03/2022,10:20:00,12635,12738.4
153,06/03/2022,10:30:00,12901,13006.6
154,06/03/2022,10:40:00,13255,13363.5
155,06/03/2022,10:50:00,13718,13830.3
156,06/03/2022,11:00:00,13903,14016.8
157,06/03/2022,11:10:00,13335,13444.2
158,06/03/2022,11:20:00,14267,14383.8
159,06/03/2022,11:30:00,14550,14669.1
160,06/03/2022,11:40:00,14876,14997.8
161,06/03/2022,11:50:00,15324,15449.5
162,06/03/2022,12:00:00,15233,15357.7
163,06/03/2022,12:10:00,15159,15283.1
164,06/03/2022,12:20:00,15605,15732.8
165,06/03/2022,12:30:00,15180,15304.3
166,06/03/2022,12:40:00,15051,15174.2
167,06/03/2022,12:50:00,14562,14681.2
168,06/03/2022,13:00:00,14209,14325.3
169,06/03/2022,13:10:00,14156,14271.9
170,06/03/2022,13:20:00,14321,14438.3
171,06/03/2022,13:30:00,14444,14562.3
172,06/03/2022,13:40:00,11719,11814.9
173,06/03/2022,13:50:00,12374,12475.3
174,06/03/2022,14:00:00,13423,13532.9
175,06/03/2022,14:10:00,8154,8220.8
176,06/03/2022,14:20:00,11696,11791.8
177,06/03/2022,14:30:00,11109,11200
178,06/03/2022,14:40:00,10808,10896.5
179,06/03/2022,14:50:00,10280,10364.2
180,06/03/2022,15:00:00,9776,9856
181,06/03/2022,15:10:00,9336,9412.4
182,06/03/2022,15:20:00,8819,8891.2
183,06/03/2022,15:30:00,7972,8037.3
184,06/03/2022,15:40:00,7500,7561.4
185,06/03/2022,15:50:00,7123,7181.3
186,06/03/2022,16:00:00,6607,6661.1
187,06/03/2022,16:10:00,5556,5601.5
188,06/03/2022,16:20:00,5457,5501.7
189,06/03/2022,16:30:00,5073,5114.5
190,06/03/2022,16:40:00,3549,3578.1
191,06/03/2022,16:50:00,2507,2527.5
192,06/03/2022,17:00:00,2082,2099
193,06/03/2022,17:10:00,2471,2491.2
194,06/03/2022,17:20:00,1954,1970
195,06/03/2022,17:30:00,1259,1269.3
196,06/03/2022,17:40:00,861,868
197,06/03/2022,17:50:00,732,738
198,06/03/2022,18:00:00,564,568.6
199,06/03/2022,18:10:00,378,381.1
200,06/03/2022,18:20:00,143,144.2
201,06/03/2022,18:30:00,30,30.2
202,06/03/2022,18:40:00,5,5
203,06/03/2022,18:50:00,0,0
204,06/03/2022,19:00:00,0,0
205,06/03/2022,19:10:00,0,0
206,06/03/2022,19:20:00,0,0
207,06/03/2022,19:30:00,0,0
208,06/03/2022,19:40:00,0,0
209,06/03/2022,19:50:00,0,0
210,06/03/2022,20:00:00,0,0
211,06/03/2022,20:10:00,0,0
212,06/03/2022,20:20:00,0,0
213,06/03/2022,20:30:00,0,0
214,06/03/2022,20:40:00,0,0
215,06/03/2022,20:50:00,0,0
216,06/03/2022,21:00:00,0,0
217,06/03/2022,21:10:00,0,0
218,06/03/2022,21:20:00,0,0
219,06/03/2022,21:30:00,0,0
220,06/03/2022,21:40:00,0,0
221,06/03/2022,21:50:00,0,0
222,06/03/2022,22:00:00,0,0
223,06/03/2022,22:10:00,0,0
224,06/03/2022,22:20:00,0,0
225,06/03/2022,22:30:00,0,0
226,06/03/2022,22:40:00,0,0
227,06/03/2022,22:50:00,0,0
228,06/03/2022,23:00:00,0,0
229,06/03/2022,23:10:00,0,0
230,06/03/2022,23:20:00,0,0
231,06/03/2022,23:30:00,0,0
232,06/03/2022,23:40:00,0,0
233,06/03/2022,23:50:00,0,0
234,06/03/2022,24:00:00,0,0
235,07/03/2022,0:10:00,0,0
236,07/03/2022,0:20:00,0,0
237,07/03/2022,0:30:00,0,0
238,07/03/2022,0:40:00,0,0
239,07/03/2022,0:50:00,0,0
240,07/03/2022,1:00:00,0,0
241,07/03/2022,1:10:00,0,0
242,07/03/2022,1:20:00,0,0
243,07/03/2022,1:30:00,0,0
244,07/03/2022,1:40:00,0,0
245,07/03/2022,1:50:00,0,0
246,07/03/2022,2:00:00,0,0
247,07/03/2022,2:10:00,0,0
248,07/03/2022,2:20:00,0,0
249,07/03/2022,2:30:00,0,0
250,07/03/2022,2:40:00,0,0
251,07/03/2022,2:50:00,0,0
252,07/03/2022,3:00:00,0,0
253,07/03/2022,3:10:00,0,0
254,07/03/2022,3:20:00,0,0
255,07/03/2022,3:30:00,0,0
256,07/03/2022,3:40:00,0,0
257,07/03/2022,3:50:00,0,0
258,07/03/2022,4:00:00,0,0
259,07/03/2022,4:10:00,0,0
260,07/03/2022,4:20:00,0,0
261,07/03/2022,4:30:00,0,0
262,07/03/2022,4:40:00,0,0
263,07/03/2022,4:50:00,0,0
264,07/03/2022,5:00:00,0,0
265,07/03/2022,5:10:00,0,0
266,07/03/2022,5:20:00,0,0
267,07/03/2022,5:30:00,0,0
268,07/03/2022,5:40:00,0,0
269,07/03/2022,5:50:00,3,3
270,07/03/2022,6:00:00,28,28.2
271,07/03/2022,6:10:00,116,116.9
272,07/03/2022,6:20:00,277,279.3
273,07/03/2022,6:30:00,520,524.3
274,07/03/2022,6:40:00,837,843.9
275,07/03/2022,6:50:00,1189,1198.7
276,07/03/2022,7:00:00,1647,1660.5
277,07/03/2022,7:10:00,1913,1928.7
278,07/03/2022,7:20:00,2707,2729.2
279,07/03/2022,7:30:00,3366,3393.6
280,07/03/2022,7:40:00,3864,3895.6
281,07/03/2022,7:50:00,4445,4481.4
282,07/03/2022,8:00:00,5022,5063.1
283,07/03/2022,8:10:00,5558,5603.5
284,07/03/2022,8:20:00,6168,6218.5
285,07/03/2022,8:30:00,6865,6921.2
286,07/03/2022,8:40:00,7534,7595.7
287,07/03/2022,8:50:00,8140,8206.6
288,07/03/2022,9:00:00,7452,7513
289,07/03/2022,9:10:00,1392,1403.4
290,07/03/2022,9:20:00,5966,6014.8
291,07/03/2022,9:30:00,12080,12178.9
292,07/03/2022,9:40:00,11140,11231.2
293,07/03/2022,9:50:00,8991,9064.6
294,07/03/2022,10:00:00,8959,9032.4
295,07/03/2022,10:10:00,12129,12228.3
296,07/03/2022,10:20:00,12508,12610.4
297,07/03/2022,10:30:00,12773,12877.6
298,07/03/2022,10:40:00,13052,13158.9
299,07/03/2022,10:50:00,13437,13547
300,07/03/2022,11:00:00,13562,13673
301,07/03/2022,11:10:00,11798,11894.6
302,07/03/2022,11:20:00,14136,14251.7
303,07/03/2022,11:30:00,14156,14271.9
304,07/03/2022,11:40:00,14259,14375.7
305,07/03/2022,11:50:00,14183,14299.1
306,07/03/2022,12:00:00,14199,14315.3
307,07/03/2022,12:10:00,12888,12993.5
308,07/03/2022,12:20:00,14290,14407
309,07/03/2022,12:30:00,14326,14443.3
310,07/03/2022,12:40:00,14326,14443.3
311,07/03/2022,12:50:00,13895,14008.8
312,07/03/2022,13:00:00,13665,13776.9
313,07/03/2022,13:10:00,13948,14062.2
314,07/03/2022,13:20:00,12544,12646.7
315,07/03/2022,13:30:00,13301,13409.9
316,07/03/2022,13:40:00,13171,13278.8
317,07/03/2022,13:50:00,12841,12946.1
318,07/03/2022,14:00:00,12301,12401.7
319,07/03/2022,14:10:00,11866,11963.2
320,07/03/2022,14:20:00,11400,11493.3
321,07/03/2022,14:30:00,11237,11329
322,07/03/2022,14:40:00,10717,10804.7
323,07/03/2022,14:50:00,10279,10363.2
324,07/03/2022,15:00:00,9727,9806.6
325,07/03/2022,15:10:00,9179,9254.2
326,07/03/2022,15:20:00,8642,8712.8
327,07/03/2022,15:30:00,8081,8147.2
328,07/03/2022,15:40:00,7676,7738.8
329,07/03/2022,15:50:00,7105,7163.2
330,07/03/2022,16:00:00,6358,6410.1
331,07/03/2022,16:10:00,5818,5865.6
332,07/03/2022,16:20:00,5254,5297
333,07/03/2022,16:30:00,4712,4750.6
334,07/03/2022,16:40:00,4105,4138.6
335,07/03/2022,16:50:00,3581,3610.3
336,07/03/2022,17:00:00,3065,3090.1
337,07/03/2022,17:10:00,2625,2646.5
338,07/03/2022,17:20:00,2033,2049.6
339,07/03/2022,17:30:00,1570,1582.9
340,07/03/2022,17:40:00,1194,1203.8
341,07/03/2022,17:50:00,867,874.1
342,07/03/2022,18:00:00,605,610
343,07/03/2022,18:10:00,311,313.5
344,07/03/2022,18:20:00,127,128
345,07/03/2022,18:30:00,29,29.2
346,07/03/2022,18:40:00,2,2
347,07/03/2022,18:50:00,0,0
348,07/03/2022,19:00:00,0,0
349,07/03/2022,19:10:00,0,0
350,07/03/2022,19:20:00,0,0
351,07/03/2022,19:30:00,0,0
352,07/03/2022,19:40:00,0,0
353,07/03/2022,19:50:00,0,0
354,07/03/2022,20:00:00,0,0
355,07/03/2022,20:10:00,0,0
356,07/03/2022,20:20:00,0,0
357,07/03/2022,20:30:00,0,0
358,07/03/2022,20:40:00,0,0
359,07/03/2022,20:50:00,0,0
360,07/03/2022,21:00:00,0,0
361,07/03/2022,21:10:00,0,0
362,07/03/2022,21:20:00,0,0
363,07/03/2022,21:30:00,0,0
364,07/03/2022,21:40:00,0,0
365,07/03/2022,21:50:00,0,0
366,07/03/2022,22:00:00,0,0
367,07/03/2022,22:10:00,0,0
368,07/03/2022,22:20:00,0,0
369,07/03/2022,22:30:00,0,0
370,07/03/2022,22:40:00,0,0
371,07/03/2022,22:50:00,0,0
372,07/03/2022,23:00:00,0,0
373,07/03/2022,23:10:00,0,0
374,07/03/2022,23:20:00,0,0
375,07/03/2022,23:30:00,0,0
376,07/03/2022,23:40:00,0,0
377,07/03/2022,23:50:00,0,0
378,07/03/2022,24:00:00,0,0
379,08/03/2022,0:10:00,0,0
380,08/03/2022,0:20:00,0,0
381,08/03/2022,0:30:00,0,0
382,08/03/2022,0:40:00,0,0
383,08/03/2022,0:50:00,0,0
384,08/03/2022,1:00:00,0,0
385,08/03/2022,1:10:00,0,0
386,08/03/2022,1:20:00,0,0
387,08/03/2022,1:30:00,0,0
388,08/03/2022,1:40:00,0,0
389,08/03/2022,1:50:00,0,0
390,08/03/2022,2:00:00,0,0
391,08/03/2022,2:10:00,0,0
392,08/03/2022,2:20:00,0,0
393,08/03/2022,2:30:00,0,0
394,08/03/2022,2:40:00,0,0
395,08/03/2022,2:50:00,0,0
396,08/03/2022,3:00:00,0,0
397,08/03/2022,3:10:00,0,0
398,08/03/2022,3:20:00,0,0
399,08/03/2022,3:30:00,0,0
400,08/03/2022,3:40:00,0,0
401,08/03/2022,3:50:00,0,0
402,08/03/2022,4:00:00,0,0
403,08/03/2022,4:10:00,0,0
404,08/03/2022,4:20:00,0,0
405,08/03/2022,4:30:00,0,0
406,08/03/2022,4:40:00,0,0
407,08/03/2022,4:50:00,0,0
408,08/03/2022,5:00:00,0,0
409,08/03/2022,5:10:00,0,0
410,08/03/2022,5:20:00,0,0
411,08/03/2022,5:30:00,0,0
412,08/03/2022,5:40:00,0,0
413,08/03/2022,5:50:00,3,3
414,08/03/2022,6:00:00,35,35.3
415,08/03/2022,6:10:00,140,141.1
416,08/03/2022,6:20:00,328,330.7
417,08/03/2022,6:30:00,558,562.6
418,08/03/2022,6:40:00,919,926.5
419,08/03/2022,6:50:00,1346,1357
420,08/03/2022,7:00:00,1787,1801.6
421,08/03/2022,7:10:00,2251,2269.4
422,08/03/2022,7:20:00,2748,2770.5
423,08/03/2022,7:30:00,3351,3378.4
424,08/03/2022,7:40:00,3844,3875.5
425,08/03/2022,7:50:00,4368,4403.8
426,08/03/2022,8:00:00,4942,4982.5
427,08/03/2022,8:10:00,5441,5485.5
428,08/03/2022,8:20:00,5992,6041.1
