fragment_ID,treatment,genotype,tank.num,ExperimentalDay,Period,Photo_date,Photo_ID,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Tech,Notes
ACR_1.1,ambient,1,17,TP1,Initial,20220320,,,,,,,,,
ACR_1.2,ambient,1,17,TP1,Initial,20220320,,,,,,,,,
ACR_1.3,ambient,1,17,TP1,Initial,20220320,,,,,,,,,
ACR_1.4,ambient,1,17,TP1,Initial,20220320,,,,,,,,,
ACR_1.5,ambient,1,17,TP1,Initial,20220320,,,,,,,,,
ACR_1.6,ambient,1,17,TP1,Initial,20220320,,,,,,,,,
ACR_1.7,ambient,1,17,TP1,Initial,20220320,,,,,,,,,
ACR_13.1,hot,1,10,TP1,Initial,20220320,,,,,,,,,
ACR_13.2,hot,1,10,TP1,Initial,20220320,,,,,,,,,
ACR_13.3,hot,1,10,TP1,Initial,20220320,,,,,,,,,
ACR_13.4,hot,1,10,TP1,Initial,20220320,,,,,,,,,
ACR_13.5,hot,1,10,TP1,Initial,20220320,,,,,,,,,
ACR_13.6,hot,1,10,TP1,Initial,20220320,,,,,,,,,
ACR_13.7,hot,1,10,TP1,Initial,20220320,,,,,,,,,
ACR_2.1,ambient,2,14,TP1,Initial,20220320,,,,,,,,,
ACR_2.2,ambient,2,14,TP1,Initial,20220320,,,,,,,,,
ACR_2.3,ambient,2,14,TP1,Initial,20220320,,,,,,,,,
ACR_2.4,ambient,2,14,TP1,Initial,20220320,,,,,,,,,
ACR_2.5,ambient,2,14,TP1,Initial,20220320,,,,,,,,,
ACR_2.6,ambient,2,14,TP1,Initial,20220320,,,,,,,,,
ACR_2.7,ambient,2,14,TP1,Initial,20220320,,,,,,,,,
ACR_14.1,hot,2,8,TP1,Initial,20220320,,,,,,,,,
ACR_14.2,hot,2,8,TP1,Initial,20220320,,,,,,,,,
ACR_14.3,hot,2,8,TP1,Initial,20220320,,,,,,,,,
ACR_14.4,hot,2,8,TP1,Initial,20220320,,,,,,,,,
ACR_14.5,hot,2,8,TP1,Initial,20220320,,,,,,,,,
ACR_14.6,hot,2,8,TP1,Initial,20220320,,,,,,,,,
ACR_14.7,hot,2,8,TP1,Initial,20220320,,,,,,,,,
ACR_3.1,ambient,3,7,TP1,Initial,20220320,,,,,,,,,
ACR_3.2,ambient,3,7,TP1,Initial,20220320,,,,,,,,,
ACR_3.3,ambient,3,7,TP1,Initial,20220320,,,,,,,,,
ACR_3.4,ambient,3,7,TP1,Initial,20220320,,,,,,,,,
ACR_3.5,ambient,3,7,TP1,Initial,20220320,,,,,,,,,
ACR_3.6,ambient,3,7,TP1,Initial,20220320,,,,,,,,,
ACR_3.7,ambient,3,7,TP1,Initial,20220320,,,,,,,,,
ACR_15.1,hot,3,20,TP1,Initial,20220320,,,,,,,,,
ACR_15.2,hot,3,20,TP1,Initial,20220320,,,,,,,,,
ACR_15.3,hot,3,20,TP1,Initial,20220320,,,,,,,,,
ACR_15.4,hot,3,20,TP1,Initial,20220320,,,,,,,,,
ACR_15.5,hot,3,20,TP1,Initial,20220320,,,,,,,,,
ACR_15.6,hot,3,20,TP1,Initial,20220320,,,,,,,,,
ACR_15.7,hot,3,20,TP1,Initial,20220320,,,,,,,,,
ACR_4.1,ambient,4,24,TP1,Initial,20220320,,,,,,,,,
ACR_4.2,ambient,4,24,TP1,Initial,20220320,,,,,,,,,
ACR_4.3,ambient,4,24,TP1,Initial,20220320,,,,,,,,,
ACR_4.4,ambient,4,24,TP1,Initial,20220320,,,,,,,,,
ACR_4.5,ambient,4,24,TP1,Initial,20220320,,,,,,,,,
ACR_4.6,ambient,4,24,TP1,Initial,20220320,,,,,,,,,
ACR_4.7,ambient,4,24,TP1,Initial,20220320,,,,,,,,,
ACR_16.1,hot,4,18,TP1,Initial,20220320,,,,,,,,,
ACR_16.2,hot,4,18,TP1,Initial,20220320,,,,,,,,,
ACR_16.3,hot,4,18,TP1,Initial,20220320,,,,,,,,,
ACR_16.4,hot,4,18,TP1,Initial,20220320,,,,,,,,,
ACR_16.5,hot,4,18,TP1,Initial,20220320,,,,,,,,,
ACR_16.6,hot,4,18,TP1,Initial,20220320,,,,,,,,,
ACR_16.7,hot,4,18,TP1,Initial,20220320,,,,,,,,,
ACR_5.1,ambient,5,13,TP1,Initial,20220320,,,,,,,,,
ACR_5.2,ambient,5,13,TP1,Initial,20220320,,,,,,,,,
ACR_5.3,ambient,5,13,TP1,Initial,20220320,,,,,,,,,
ACR_5.4,ambient,5,13,TP1,Initial,20220320,,,,,,,,,
ACR_5.5,ambient,5,13,TP1,Initial,20220320,,,,,,,,,
ACR_5.6,ambient,5,13,TP1,Initial,20220320,,,,,,,,,
ACR_5.7,ambient,5,13,TP1,Initial,20220320,,,,,,,,,
ACR_17.1,hot,5,4,TP1,Initial,20220320,,,,,,,,,
ACR_17.2,hot,5,4,TP1,Initial,20220320,,,,,,,,,
ACR_17.3,hot,5,4,TP1,Initial,20220320,,,,,,,,,
ACR_17.4,hot,5,4,TP1,Initial,20220320,,,,,,,,,
ACR_17.5,hot,5,4,TP1,Initial,20220320,,,,,,,,,
ACR_17.6,hot,5,4,TP1,Initial,20220320,,,,,,,,,
ACR_17.7,hot,5,4,TP1,Initial,20220320,,,,,,,,,
ACR_6.1,ambient,6,9,TP1,Initial,20220320,,,,,,,,,
ACR_6.2,ambient,6,9,TP1,Initial,20220320,,,,,,,,,
ACR_6.3,ambient,6,9,TP1,Initial,20220320,,,,,,,,,
ACR_6.4,ambient,6,9,TP1,Initial,20220320,,,,,,,,,
ACR_6.5,ambient,6,9,TP1,Initial,20220320,,,,,,,,,
ACR_6.6,ambient,6,9,TP1,Initial,20220320,,,,,,,,,
ACR_6.7,ambient,6,9,TP1,Initial,20220320,,,,,,,,,
ACR_18.1,hot,6,22,TP1,Initial,20220320,,,,,,,,,
ACR_18.2,hot,6,22,TP1,Initial,20220320,,,,,,,,,
ACR_18.3,hot,6,22,TP1,Initial,20220320,,,,,,,,,
ACR_18.4,hot,6,22,TP1,Initial,20220320,,,,,,,,,
ACR_18.5,hot,6,22,TP1,Initial,20220320,,,,,,,,,
ACR_18.6,hot,6,22,TP1,Initial,20220320,,,,,,,,,
ACR_18.7,hot,6,22,TP1,Initial,20220320,,,,,,,,,
ACR_7.1,ambient,7,3,TP1,Initial,20220320,,,,,,,,,
ACR_7.2,ambient,7,3,TP1,Initial,20220320,,,,,,,,,
ACR_7.3,ambient,7,3,TP1,Initial,20220320,,,,,,,,,
ACR_7.4,ambient,7,3,TP1,Initial,20220320,,,,,,,,,
ACR_7.5,ambient,7,3,TP1,Initial,20220320,,,,,,,,,
ACR_7.6,ambient,7,3,TP1,Initial,20220320,,,,,,,,,
ACR_7.7,ambient,7,3,TP1,Initial,20220320,,,,,,,,,
ACR_19.1,hot,7,16,TP1,Initial,20220320,,,,,,,,,
ACR_19.2,hot,7,16,TP1,Initial,20220320,,,,,,,,,
ACR_19.3,hot,7,16,TP1,Initial,20220320,,,,,,,,,
ACR_19.4,hot,7,16,TP1,Initial,20220320,,,,,,,,,
ACR_19.5,hot,7,16,TP1,Initial,20220320,,,,,,,,,
ACR_19.6,hot,7,16,TP1,Initial,20220320,,,,,,,,,
ACR_19.7,hot,7,16,TP1,Initial,20220320,,,,,,,,,
ACR_8.1,ambient,8,19,TP1,Initial,20220320,,,,,,,,,
ACR_8.2,ambient,8,19,TP1,Initial,20220320,,,,,,,,,
ACR_8.3,ambient,8,19,TP1,Initial,20220320,,,,,,,,,
ACR_8.4,ambient,8,19,TP1,Initial,20220320,,,,,,,,,
ACR_8.5,ambient,8,19,TP1,Initial,20220320,,,,,,,,,
ACR_8.6,ambient,8,19,TP1,Initial,20220320,,,,,,,,,
ACR_8.7,ambient,8,19,TP1,Initial,20220320,,,,,,,,,
ACR_20.1,hot,8,2,TP1,Initial,20220320,,,,,,,,,
ACR_20.2,hot,8,2,TP1,Initial,20220320,,,,,,,,,
ACR_20.3,hot,8,2,TP1,Initial,20220320,,,,,,,,,
ACR_20.4,hot,8,2,TP1,Initial,20220320,,,,,,,,,
ACR_20.5,hot,8,2,TP1,Initial,20220320,,,,,,,,,
ACR_20.6,hot,8,2,TP1,Initial,20220320,,,,,,,,,
ACR_20.7,hot,8,2,TP1,Initial,20220320,,,,,,,,,
ACR_9.1,ambient,9,21,TP1,Initial,20220320,,,,,,,,,
ACR_9.2,ambient,9,21,TP1,Initial,20220320,,,,,,,,,
ACR_9.3,ambient,9,21,TP1,Initial,20220320,,,,,,,,,
ACR_9.4,ambient,9,21,TP1,Initial,20220320,,,,,,,,,
ACR_9.5,ambient,9,21,TP1,Initial,20220320,,,,,,,,,
ACR_9.6,ambient,9,21,TP1,Initial,20220320,,,,,,,,,
ACR_9.7,ambient,9,21,TP1,Initial,20220320,,,,,,,,,
ACR_21.1,hot,9,15,TP1,Initial,20220320,,,,,,,,,
ACR_21.2,hot,9,15,TP1,Initial,20220320,,,,,,,,,
ACR_21.3,hot,9,15,TP1,Initial,20220320,,,,,,,,,
ACR_21.4,hot,9,15,TP1,Initial,20220320,,,,,,,,,
ACR_21.5,hot,9,15,TP1,Initial,20220320,,,,,,,,,
ACR_21.6,hot,9,15,TP1,Initial,20220320,,,,,,,,,
ACR_21.7,hot,9,15,TP1,Initial,20220320,,,,,,,,,
ACR_10.1,ambient,10,5,TP1,Initial,20220320,,,,,,,,,
ACR_10.2,ambient,10,5,TP1,Initial,20220320,,,,,,,,,
ACR_10.3,ambient,10,5,TP1,Initial,20220320,,,,,,,,,
ACR_10.4,ambient,10,5,TP1,Initial,20220320,,,,,,,,,
ACR_10.5,ambient,10,5,TP1,Initial,20220320,,,,,,,,,
ACR_10.6,ambient,10,5,TP1,Initial,20220320,,,,,,,,,
ACR_10.7,ambient,10,5,TP1,Initial,20220320,,,,,,,,,
ACR_22.1,hot,10,12,TP1,Initial,20220320,,,,,,,,,
ACR_22.2,hot,10,12,TP1,Initial,20220320,,,,,,,,,
ACR_22.3,hot,10,12,TP1,Initial,20220320,,,,,,,,,
ACR_22.4,hot,10,12,TP1,Initial,20220320,,,,,,,,,
ACR_22.5,hot,10,12,TP1,Initial,20220320,,,,,,,,,
ACR_22.6,hot,10,12,TP1,Initial,20220320,,,,,,,,,
ACR_22.7,hot,10,12,TP1,Initial,20220320,,,,,,,,,
ACR_11.1,ambient,11,1,TP1,Initial,20220320,,,,,,,,,
ACR_11.2,ambient,11,1,TP1,Initial,20220320,,,,,,,,,
ACR_11.3,ambient,11,1,TP1,Initial,20220320,,,,,,,,,
ACR_11.4,ambient,11,1,TP1,Initial,20220320,,,,,,,,,
ACR_11.5,ambient,11,1,TP1,Initial,20220320,,,,,,,,,
ACR_11.6,ambient,11,1,TP1,Initial,20220320,,,,,,,,,
ACR_11.7,ambient,11,1,TP1,Initial,20220320,,,,,,,,,
ACR_23.1,hot,11,23,TP1,Initial,20220320,,,,,,,,,
ACR_23.2,hot,11,23,TP1,Initial,20220320,,,,,,,,,
ACR_23.3,hot,11,23,TP1,Initial,20220320,,,,,,,,,
ACR_23.4,hot,11,23,TP1,Initial,20220320,,,,,,,,,
ACR_23.5,hot,11,23,TP1,Initial,20220320,,,,,,,,,
ACR_23.6,hot,11,23,TP1,Initial,20220320,,,,,,,,,
ACR_23.7,hot,11,23,TP1,Initial,20220320,,,,,,,,,
ACR_12.1,ambient,12,11,TP1,Initial,20220320,,,,,,,,,
ACR_12.2,ambient,12,11,TP1,Initial,20220320,,,,,,,,,
ACR_12.3,ambient,12,11,TP1,Initial,20220320,,,,,,,,,
ACR_12.4,ambient,12,11,TP1,Initial,20220320,,,,,,,,,
ACR_12.5,ambient,12,11,TP1,Initial,20220320,,,,,,,,,
ACR_12.6,ambient,12,11,TP1,Initial,20220320,,,,,,,,,
ACR_12.7,ambient,12,11,TP1,Initial,20220320,,,,,,,,,
ACR_24.1,hot,12,6,TP1,Initial,20220320,,,,,,,,,
ACR_24.2,hot,12,6,TP1,Initial,20220320,,,,,,,,,
ACR_24.3,hot,12,6,TP1,Initial,20220320,,,,,,,,,
ACR_24.4,hot,12,6,TP1,Initial,20220320,,,,,,,,,
ACR_24.5,hot,12,6,TP1,Initial,20220320,,,,,,,,,
ACR_24.6,hot,12,6,TP1,Initial,20220320,,,,,,,,,
ACR_24.7,hot,12,6,TP1,Initial,20220320,,,,,,,,,
ACR_1.1,ambient,1,17,TP2,Acclimation,20220323,,,,,,,,,
ACR_1.2,ambient,1,17,TP2,Acclimation,20220323,,,,,,,,,
ACR_1.3,ambient,1,17,TP2,Acclimation,20220323,,,,,,,,,
ACR_1.4,ambient,1,17,TP2,Acclimation,20220323,,,,,,,,,
ACR_1.5,ambient,1,17,TP2,Acclimation,20220323,,,,,,,,,
ACR_1.6,ambient,1,17,TP2,Acclimation,20220323,,,,,,,,,
ACR_1.7,ambient,1,17,TP2,Acclimation,20220323,,,,,,,,,
ACR_13.1,hot,1,10,TP2,Acclimation,20220323,,,,,,,,,
ACR_13.2,hot,1,10,TP2,Acclimation,20220323,,,,,,,,,
ACR_13.3,hot,1,10,TP2,Acclimation,20220323,,,,,,,,,
ACR_13.4,hot,1,10,TP2,Acclimation,20220323,,,,,,,,,
ACR_13.5,hot,1,10,TP2,Acclimation,20220323,,,,,,,,,
ACR_13.6,hot,1,10,TP2,Acclimation,20220323,,,,,,,,,
ACR_13.7,hot,1,10,TP2,Acclimation,20220323,,,,,,,,,
ACR_2.1,ambient,2,14,TP2,Acclimation,20220323,,,,,,,,,
ACR_2.2,ambient,2,14,TP2,Acclimation,20220323,,,,,,,,,
ACR_2.3,ambient,2,14,TP2,Acclimation,20220323,,,,,,,,,
ACR_2.4,ambient,2,14,TP2,Acclimation,20220323,,,,,,,,,
ACR_2.5,ambient,2,14,TP2,Acclimation,20220323,,,,,,,,,
ACR_2.6,ambient,2,14,TP2,Acclimation,20220323,,,,,,,,,
ACR_2.7,ambient,2,14,TP2,Acclimation,20220323,,,,,,,,,
ACR_14.1,hot,2,8,TP2,Acclimation,20220323,,,,,,,,,
ACR_14.2,hot,2,8,TP2,Acclimation,20220323,,,,,,,,,
ACR_14.3,hot,2,8,TP2,Acclimation,20220323,,,,,,,,,
ACR_14.4,hot,2,8,TP2,Acclimation,20220323,,,,,,,,,
ACR_14.5,hot,2,8,TP2,Acclimation,20220323,,,,,,,,,
ACR_14.6,hot,2,8,TP2,Acclimation,20220323,,,,,,,,,
ACR_14.7,hot,2,8,TP2,Acclimation,20220323,,,,,,,,,
ACR_3.1,ambient,3,7,TP2,Acclimation,20220323,,,,,,,,,
ACR_3.2,ambient,3,7,TP2,Acclimation,20220323,,,,,,,,,
ACR_3.3,ambient,3,7,TP2,Acclimation,20220323,,,,,,,,,
ACR_3.4,ambient,3,7,TP2,Acclimation,20220323,,,,,,,,,
ACR_3.5,ambient,3,7,TP2,Acclimation,20220323,,,,,,,,,
ACR_3.6,ambient,3,7,TP2,Acclimation,20220323,,,,,,,,,
ACR_3.7,ambient,3,7,TP2,Acclimation,20220323,,,,,,,,,
ACR_15.1,hot,3,20,TP2,Acclimation,20220323,,,,,,,,,
ACR_15.2,hot,3,20,TP2,Acclimation,20220323,,,,,,,,,
ACR_15.3,hot,3,20,TP2,Acclimation,20220323,,,,,,,,,
ACR_15.4,hot,3,20,TP2,Acclimation,20220323,,,,,,,,,
ACR_15.5,hot,3,20,TP2,Acclimation,20220323,,,,,,,,,
ACR_15.6,hot,3,20,TP2,Acclimation,20220323,,,,,,,,,
ACR_15.7,hot,3,20,TP2,Acclimation,20220323,,,,,,,,,
ACR_4.1,ambient,4,24,TP2,Acclimation,20220323,,,,,,,,,
ACR_4.2,ambient,4,24,TP2,Acclimation,20220323,,,,,,,,,
ACR_4.3,ambient,4,24,TP2,Acclimation,20220323,,,,,,,,,
ACR_4.4,ambient,4,24,TP2,Acclimation,20220323,,,,,,,,,
ACR_4.5,ambient,4,24,TP2,Acclimation,20220323,,,,,,,,,
ACR_4.6,ambient,4,24,TP2,Acclimation,20220323,,,,,,,,,
ACR_4.7,ambient,4,24,TP2,Acclimation,20220323,,,,,,,,,
ACR_16.1,hot,4,18,TP2,Acclimation,20220323,,,,,,,,,
ACR_16.2,hot,4,18,TP2,Acclimation,20220323,,,,,,,,,
ACR_16.3,hot,4,18,TP2,Acclimation,20220323,,,,,,,,,
ACR_16.4,hot,4,18,TP2,Acclimation,20220323,,,,,,,,,
ACR_16.5,hot,4,18,TP2,Acclimation,20220323,,,,,,,,,
ACR_16.6,hot,4,18,TP2,Acclimation,20220323,,,,,,,,,
ACR_16.7,hot,4,18,TP2,Acclimation,20220323,,,,,,,,,
ACR_5.1,ambient,5,13,TP2,Acclimation,20220323,,,,,,,,,
ACR_5.2,ambient,5,13,TP2,Acclimation,20220323,,,,,,,,,
ACR_5.3,ambient,5,13,TP2,Acclimation,20220323,,,,,,,,,
ACR_5.4,ambient,5,13,TP2,Acclimation,20220323,,,,,,,,,
ACR_5.5,ambient,5,13,TP2,Acclimation,20220323,,,,,,,,,
ACR_5.6,ambient,5,13,TP2,Acclimation,20220323,,,,,,,,,
ACR_5.7,ambient,5,13,TP2,Acclimation,20220323,,,,,,,,,
ACR_17.1,hot,5,4,TP2,Acclimation,20220323,,,,,,,,,
ACR_17.2,hot,5,4,TP2,Acclimation,20220323,,,,,,,,,
ACR_17.3,hot,5,4,TP2,Acclimation,20220323,,,,,,,,,
ACR_17.4,hot,5,4,TP2,Acclimation,20220323,,,,,,,,,
ACR_17.5,hot,5,4,TP2,Acclimation,20220323,,,,,,,,,
ACR_17.6,hot,5,4,TP2,Acclimation,20220323,,,,,,,,,
ACR_17.7,hot,5,4,TP2,Acclimation,20220323,,,,,,,,,
ACR_6.1,ambient,6,9,TP2,Acclimation,20220323,,,,,,,,,
ACR_6.2,ambient,6,9,TP2,Acclimation,20220323,,,,,,,,,
ACR_6.3,ambient,6,9,TP2,Acclimation,20220323,,,,,,,,,
ACR_6.4,ambient,6,9,TP2,Acclimation,20220323,,,,,,,,,
ACR_6.5,ambient,6,9,TP2,Acclimation,20220323,,,,,,,,,
ACR_6.6,ambient,6,9,TP2,Acclimation,20220323,,,,,,,,,
ACR_6.7,ambient,6,9,TP2,Acclimation,20220323,,,,,,,,,
ACR_18.1,hot,6,22,TP2,Acclimation,20220323,,,,,,,,,
ACR_18.2,hot,6,22,TP2,Acclimation,20220323,,,,,,,,,
ACR_18.3,hot,6,22,TP2,Acclimation,20220323,,,,,,,,,
ACR_18.4,hot,6,22,TP2,Acclimation,20220323,,,,,,,,,
ACR_18.5,hot,6,22,TP2,Acclimation,20220323,,,,,,,,,
ACR_18.6,hot,6,22,TP2,Acclimation,20220323,,,,,,,,,
ACR_18.7,hot,6,22,TP2,Acclimation,20220323,,,,,,,,,
ACR_7.1,ambient,7,3,TP2,Acclimation,20220323,,,,,,,,,
ACR_7.2,ambient,7,3,TP2,Acclimation,20220323,,,,,,,,,
ACR_7.3,ambient,7,3,TP2,Acclimation,20220323,,,,,,,,,
ACR_7.4,ambient,7,3,TP2,Acclimation,20220323,,,,,,,,,
ACR_7.5,ambient,7,3,TP2,Acclimation,20220323,,,,,,,,,
ACR_7.6,ambient,7,3,TP2,Acclimation,20220323,,,,,,,,,
ACR_7.7,ambient,7,3,TP2,Acclimation,20220323,,,,,,,,,
ACR_19.1,hot,7,16,TP2,Acclimation,20220323,,,,,,,,,
ACR_19.2,hot,7,16,TP2,Acclimation,20220323,,,,,,,,,
ACR_19.3,hot,7,16,TP2,Acclimation,20220323,,,,,,,,,
ACR_19.4,hot,7,16,TP2,Acclimation,20220323,,,,,,,,,
ACR_19.5,hot,7,16,TP2,Acclimation,20220323,,,,,,,,,
ACR_19.6,hot,7,16,TP2,Acclimation,20220323,,,,,,,,,
ACR_19.7,hot,7,16,TP2,Acclimation,20220323,,,,,,,,,
ACR_8.1,ambient,8,19,TP2,Acclimation,20220323,,,,,,,,,
ACR_8.2,ambient,8,19,TP2,Acclimation,20220323,,,,,,,,,
ACR_8.3,ambient,8,19,TP2,Acclimation,20220323,,,,,,,,,
ACR_8.4,ambient,8,19,TP2,Acclimation,20220323,,,,,,,,,
ACR_8.5,ambient,8,19,TP2,Acclimation,20220323,,,,,,,,,
ACR_8.6,ambient,8,19,TP2,Acclimation,20220323,,,,,,,,,
ACR_8.7,ambient,8,19,TP2,Acclimation,20220323,,,,,,,,,
ACR_20.1,hot,8,2,TP2,Acclimation,20220323,,,,,,,,,
ACR_20.2,hot,8,2,TP2,Acclimation,20220323,,,,,,,,,
ACR_20.3,hot,8,2,TP2,Acclimation,20220323,,,,,,,,,
ACR_20.4,hot,8,2,TP2,Acclimation,20220323,,,,,,,,,
ACR_20.5,hot,8,2,TP2,Acclimation,20220323,,,,,,,,,
ACR_20.6,hot,8,2,TP2,Acclimation,20220323,,,,,,,,,
ACR_20.7,hot,8,2,TP2,Acclimation,20220323,,,,,,,,,
ACR_9.1,ambient,9,21,TP2,Acclimation,20220323,,,,,,,,,
ACR_9.2,ambient,9,21,TP2,Acclimation,20220323,,,,,,,,,
ACR_9.3,ambient,9,21,TP2,Acclimation,20220323,,,,,,,,,
ACR_9.4,ambient,9,21,TP2,Acclimation,20220323,,,,,,,,,
ACR_9.5,ambient,9,21,TP2,Acclimation,20220323,,,,,,,,,
ACR_9.6,ambient,9,21,TP2,Acclimation,20220323,,,,,,,,,
ACR_9.7,ambient,9,21,TP2,Acclimation,20220323,,,,,,,,,
ACR_21.1,hot,9,15,TP2,Acclimation,20220323,,,,,,,,,
ACR_21.2,hot,9,15,TP2,Acclimation,20220323,,,,,,,,,
ACR_21.3,hot,9,15,TP2,Acclimation,20220323,,,,,,,,,
ACR_21.4,hot,9,15,TP2,Acclimation,20220323,,,,,,,,,
ACR_21.5,hot,9,15,TP2,Acclimation,20220323,,,,,,,,,
ACR_21.6,hot,9,15,TP2,Acclimation,20220323,,,,,,,,,
ACR_21.7,hot,9,15,TP2,Acclimation,20220323,,,,,,,,,
ACR_10.1,ambient,10,5,TP2,Acclimation,20220323,,,,,,,,,
ACR_10.2,ambient,10,5,TP2,Acclimation,20220323,,,,,,,,,
ACR_10.3,ambient,10,5,TP2,Acclimation,20220323,,,,,,,,,
ACR_10.4,ambient,10,5,TP2,Acclimation,20220323,,,,,,,,,
ACR_10.5,ambient,10,5,TP2,Acclimation,20220323,,,,,,,,,
ACR_10.6,ambient,10,5,TP2,Acclimation,20220323,,,,,,,,,
ACR_10.7,ambient,10,5,TP2,Acclimation,20220323,,,,,,,,,
ACR_22.1,hot,10,12,TP2,Acclimation,20220323,,,,,,,,,
ACR_22.2,hot,10,12,TP2,Acclimation,20220323,,,,,,,,,
ACR_22.3,hot,10,12,TP2,Acclimation,20220323,,,,,,,,,
ACR_22.4,hot,10,12,TP2,Acclimation,20220323,,,,,,,,,
ACR_22.5,hot,10,12,TP2,Acclimation,20220323,,,,,,,,,
ACR_22.6,hot,10,12,TP2,Acclimation,20220323,,,,,,,,,
ACR_22.7,hot,10,12,TP2,Acclimation,20220323,,,,,,,,,
ACR_11.1,ambient,11,1,TP2,Acclimation,20220323,,,,,,,,,
ACR_11.2,ambient,11,1,TP2,Acclimation,20220323,,,,,,,,,
ACR_11.3,ambient,11,1,TP2,Acclimation,20220323,,,,,,,,,
ACR_11.4,ambient,11,1,TP2,Acclimation,20220323,,,,,,,,,
ACR_11.5,ambient,11,1,TP2,Acclimation,20220323,,,,,,,,,
ACR_11.6,ambient,11,1,TP2,Acclimation,20220323,,,,,,,,,
ACR_11.7,ambient,11,1,TP2,Acclimation,20220323,,,,,,,,,
ACR_23.1,hot,11,23,TP2,Acclimation,20220323,,,,,,,,,
ACR_23.2,hot,11,23,TP2,Acclimation,20220323,,,,,,,,,
ACR_23.3,hot,11,23,TP2,Acclimation,20220323,,,,,,,,,
ACR_23.4,hot,11,23,TP2,Acclimation,20220323,,,,,,,,,
ACR_23.5,hot,11,23,TP2,Acclimation,20220323,,,,,,,,,
ACR_23.6,hot,11,23,TP2,Acclimation,20220323,,,,,,,,,
ACR_23.7,hot,11,23,TP2,Acclimation,20220323,,,,,,,,,
ACR_12.1,ambient,12,11,TP2,Acclimation,20220323,,,,,,,,,
ACR_12.2,ambient,12,11,TP2,Acclimation,20220323,,,,,,,,,
ACR_12.3,ambient,12,11,TP2,Acclimation,20220323,,,,,,,,,
ACR_12.4,ambient,12,11,TP2,Acclimation,20220323,,,,,,,,,
ACR_12.5,ambient,12,11,TP2,Acclimation,20220323,,,,,,,,,
ACR_12.6,ambient,12,11,TP2,Acclimation,20220323,,,,,,,,,
ACR_12.7,ambient,12,11,TP2,Acclimation,20220323,,,,,,,,,
ACR_24.1,hot,12,6,TP2,Acclimation,20220323,,,,,,,,,
ACR_24.2,hot,12,6,TP2,Acclimation,20220323,,,,,,,,,
ACR_24.3,hot,12,6,TP2,Acclimation,20220323,,,,,,,,,
ACR_24.4,hot,12,6,TP2,Acclimation,20220323,,,,,,,,,
