Serial Number:20937870 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-02-23 10:30:00,18.74,"22,323", , , , 
2022-02-23 10:31:00,18.40,"26,450", , , , 
2022-02-23 10:32:00,18.27,"25,201", , , , 
2022-02-23 10:33:00,18.23,"25,190", , , , 
2022-02-23 10:34:00,18.23,"21,453", , , , 
2022-02-23 10:35:00,18.49,"63,365", , , , 
2022-02-23 10:36:00,18.79,"57,139", , , , 
2022-02-23 10:37:00,18.83,"56,443", , , , 
2022-02-23 10:38:00,18.96,"56,013", , , , 
2022-02-23 10:39:00,18.96,"55,808", , , , 
2022-02-23 10:40:00,18.87,"56,013", , , , 
2022-02-23 10:41:00,19.00,"55,951", , , , 
2022-02-23 10:42:00,19.09,"55,849", , , , 
2022-02-23 10:43:00,19.09,"55,603", , , , 
2022-02-23 10:44:00,19.13,"55,644", , , , 
2022-02-23 10:45:00,19.22,"52,716", , , , 
2022-02-23 10:46:00,19.47,"83,067", , , , 
2022-02-23 10:47:00,19.22,"62,587", , , , 
2022-02-23 10:48:00,18.92,"76,145", , , , 
2022-02-23 10:49:00,19.00,"70,246", , , , 
2022-02-23 10:50:00,19.09,"79,094", , , , 
2022-02-23 10:51:00,19.26,"92,365", , , , 
2022-02-23 10:52:00,19.47,"96,829", , , , 
2022-02-23 10:53:00,19.69,"101,540", , , , 
2022-02-23 10:54:00,19.82,"101,253", , , , 
2022-02-23 10:55:00,19.82,"101,990", , , , 
2022-02-23 10:56:00,19.95,"100,475", , , , 
2022-02-23 10:57:00,19.86,"89,620", , , , 
2022-02-23 10:58:00,19.82,"89,129", , , , 
2022-02-23 10:59:00,19.86,"89,006", , , , 
2022-02-23 11:00:00,19.86,"89,252", , , , 
2022-02-23 11:01:00,19.95,"89,129", , , , 
2022-02-23 11:02:00,19.90,"88,965", , , , 
2022-02-23 11:03:00,19.90,"89,293", , , , 
2022-02-23 11:04:00,19.99,"89,088", , , , 
2022-02-23 11:05:00,19.99,"88,965", , , , 
2022-02-23 11:06:00,19.95,"89,006", , , , 
2022-02-23 11:07:00,20.03,"88,842", , , , 
2022-02-23 11:08:00,20.03,"89,088", , , , 
2022-02-23 11:09:00,20.07,"89,006", , , , 
2022-02-23 11:10:00,20.07,"89,047", , , , 
2022-02-23 11:11:00,20.07,"89,088", , , , 
2022-02-23 11:12:00,20.07,"89,129", , , , 
2022-02-23 11:13:00,20.12,"89,006", , , , 
2022-02-23 11:14:00,20.12,"89,334", , , , 
2022-02-23 11:15:00,20.16,"89,129", , , , 
2022-02-23 11:16:00,20.20,"89,211", , , , 
2022-02-23 11:17:00,20.25,"89,211", , , , 
2022-02-23 11:18:00,20.25,"89,047", , , , 
2022-02-23 11:19:00,20.25,"89,088", , , , 
2022-02-23 11:20:00,20.29,"89,211", , , , 
2022-02-23 11:21:00,20.33,"89,170", , , , 
2022-02-23 11:22:00,20.33,"89,293", , , , 
2022-02-23 11:23:00,20.37,"89,293", , , , 
2022-02-23 11:24:00,20.37,"89,211", , , , 
2022-02-23 11:25:00,20.37,"89,170", , , , 
2022-02-23 11:26:00,20.46,"89,129", , , , 
2022-02-23 11:27:00,20.46,"89,088", , , , 
2022-02-23 11:28:00,20.46,"89,211", , , , 
2022-02-23 11:29:00,20.50,"89,211", , , , 
2022-02-23 11:30:00,20.46,"89,170", , , , 
2022-02-23 11:31:00,20.55,"89,293", , , , 
2022-02-23 11:32:00,20.50,"89,252", , , , 
2022-02-23 11:33:00,20.59,"89,088", , , , 
2022-02-23 11:34:00,20.59,"89,006", , , , 
2022-02-23 11:35:00,20.63,"89,252", , , , 
2022-02-23 11:36:00,20.59,"89,170", , , , 
2022-02-23 11:37:00,20.63,"88,842", , , , 
2022-02-23 11:38:00,20.59,"89,375", , , , 
2022-02-23 11:39:00,20.63,"89,170", , , , 
2022-02-23 11:40:00,20.68,"89,416", , , , 
2022-02-23 11:41:00,20.72,"89,252", , , , 
2022-02-23 11:42:00,20.76,"89,293", , , , 
2022-02-23 11:43:00,20.76,"89,170", , , , 
2022-02-23 11:44:00,20.76,"89,252", , , , 
2022-02-23 11:45:00,20.76,"89,293", , , , 
2022-02-23 11:46:00,20.80,"89,170", , , , 
2022-02-23 11:47:00,20.80,"89,047", , , , 
2022-02-23 11:48:00,20.89,"89,375", , , , 
2022-02-23 11:49:00,20.85,"89,293", , , , 
2022-02-23 11:50:00,20.89,"89,170", , , , 
2022-02-23 11:51:00,20.89,"89,252", , , , 
2022-02-23 11:52:00,20.89,"89,293", , , , 
2022-02-23 11:53:00,20.93,"89,334", , , , 
