site,Date,Time,reef.type,temp
Tanks,3/20/19,0:00,tanks,28.7
Tanks,3/20/19,0:20,tanks,28.7
Tanks,3/20/19,0:40,tanks,28.7
Tanks,3/20/19,1:00,tanks,28.7
Tanks,3/20/19,1:20,tanks,28.7
Tanks,3/20/19,1:40,tanks,28.7
Tanks,3/20/19,2:00,tanks,28.7
Tanks,3/20/19,2:20,tanks,28.7
Tanks,3/20/19,2:40,tanks,28.7
Tanks,3/20/19,3:00,tanks,28.7
Tanks,3/20/19,3:20,tanks,28.7
Tanks,3/20/19,3:40,tanks,28.7
Tanks,3/20/19,4:00,tanks,28.7
Tanks,3/20/19,4:20,tanks,28.8
Tanks,3/20/19,4:40,tanks,28.8
Tanks,3/20/19,5:00,tanks,28.8
Tanks,3/20/19,5:20,tanks,28.8
Tanks,3/20/19,5:40,tanks,28.9
Tanks,3/20/19,6:00,tanks,28.9
Tanks,3/20/19,6:20,tanks,28.9
Tanks,3/20/19,6:40,tanks,28.9
Tanks,3/20/19,7:00,tanks,28.9
Tanks,3/20/19,7:20,tanks,28.9
Tanks,3/20/19,7:40,tanks,29
Tanks,3/20/19,8:00,tanks,29
Tanks,3/20/19,8:20,tanks,29
Tanks,3/20/19,8:40,tanks,29
Tanks,3/20/19,9:00,tanks,29.1
Tanks,3/20/19,9:20,tanks,29.1
Tanks,3/20/19,9:40,tanks,29.1
Tanks,3/20/19,10:00,tanks,29.1
Tanks,3/20/19,10:20,tanks,29.2
Tanks,3/20/19,10:40,tanks,29.2
Tanks,3/20/19,11:00,tanks,29.2
Tanks,3/20/19,11:20,tanks,29.2
Tanks,3/20/19,11:40,tanks,29.2
Tanks,3/20/19,12:00,tanks,29.3
Tanks,3/20/19,12:20,tanks,29.3
Tanks,3/20/19,12:40,tanks,29.4
Tanks,3/20/19,13:00,tanks,29.4
Tanks,3/20/19,13:20,tanks,29.4
Tanks,3/20/19,13:40,tanks,29.4
Tanks,3/20/19,14:00,tanks,29.4
Tanks,3/20/19,14:20,tanks,29.4
Tanks,3/20/19,14:40,tanks,29.4
Tanks,3/20/19,15:00,tanks,29.4
Tanks,3/20/19,15:20,tanks,29.4
Tanks,3/20/19,15:40,tanks,29.3
Tanks,3/20/19,16:00,tanks,29.3
Tanks,3/20/19,16:20,tanks,29.3
Tanks,3/20/19,16:40,tanks,29.3
Tanks,3/20/19,17:00,tanks,29.3
Tanks,3/20/19,17:20,tanks,29.2
Tanks,3/20/19,17:40,tanks,29.2
Tanks,3/20/19,18:00,tanks,29.2
Tanks,3/20/19,18:20,tanks,29.2
Tanks,3/20/19,18:40,tanks,29.2
Tanks,3/20/19,19:00,tanks,29.2
Tanks,3/20/19,19:20,tanks,29.1
Tanks,3/20/19,19:40,tanks,29.1
Tanks,3/20/19,20:00,tanks,29.1
Tanks,3/20/19,20:20,tanks,29.1
Tanks,3/20/19,20:40,tanks,29
Tanks,3/20/19,21:00,tanks,29
Tanks,3/20/19,21:20,tanks,29
Tanks,3/20/19,21:40,tanks,29
Tanks,3/20/19,22:00,tanks,28.9
Tanks,3/20/19,22:20,tanks,28.9
Tanks,3/20/19,22:40,tanks,28.8
Tanks,3/20/19,23:00,tanks,28.8
Tanks,3/20/19,23:20,tanks,28.7
Tanks,3/20/19,23:40,tanks,28.7
Tanks,3/21/19,0:00,tanks,28.8
Tanks,3/21/19,0:20,tanks,28.8
Tanks,3/21/19,0:40,tanks,28.8
Tanks,3/21/19,1:00,tanks,28.8
Tanks,3/21/19,1:20,tanks,28.8
Tanks,3/21/19,1:40,tanks,28.8
Tanks,3/21/19,2:00,tanks,28.8
Tanks,3/21/19,2:20,tanks,28.8
Tanks,3/21/19,2:40,tanks,28.8
Tanks,3/21/19,3:00,tanks,28.9
Tanks,3/21/19,3:20,tanks,28.9
Tanks,3/21/19,3:40,tanks,28.9
Tanks,3/21/19,4:00,tanks,29
Tanks,3/21/19,4:20,tanks,29
Tanks,3/21/19,4:40,tanks,29
Tanks,3/21/19,5:00,tanks,29
Tanks,3/21/19,5:20,tanks,29
Tanks,3/21/19,5:40,tanks,29.1
Tanks,3/21/19,6:00,tanks,29.1
Tanks,3/21/19,6:20,tanks,29.1
Tanks,3/21/19,6:40,tanks,29.1
Tanks,3/21/19,7:00,tanks,29.1
Tanks,3/21/19,7:20,tanks,29.2
Tanks,3/21/19,7:40,tanks,29.2
Tanks,3/21/19,8:00,tanks,29.2
