"","lon","lat","t","temp"
"1",-149.8116849,-17.48131958,2019-03-01,29.5226388888889
"2",-149.8116849,-17.48131958,2019-03-02,29.4343055555556
"3",-149.8116849,-17.48131958,2019-03-03,29.4318055555556
"4",-149.8116849,-17.48131958,2019-03-04,29.4643055555556
"5",-149.8116849,-17.48131958,2019-03-05,29.4518055555556
"6",-149.8116849,-17.48131958,2019-03-06,29.7394444444444
"7",-149.8116849,-17.48131958,2019-03-07,29.7958333333333
"8",-149.8116849,-17.48131958,2019-03-08,29.8951388888889
"9",-149.8116849,-17.48131958,2019-03-09,29.8347222222222
"10",-149.8116849,-17.48131958,2019-03-10,29.7066666666667
"11",-149.8116849,-17.48131958,2019-03-11,29.5190277777778
"12",-149.8116849,-17.48131958,2019-03-12,29.25625
"13",-149.8116849,-17.48131958,2019-03-13,29.2052777777778
"14",-149.8116849,-17.48131958,2019-03-14,29.3263888888889
"15",-149.8116849,-17.48131958,2019-03-15,29.5379166666667
"16",-149.8116849,-17.48131958,2019-03-16,29.4716666666667
"17",-149.8116849,-17.48131958,2019-03-17,29.4088888888889
"18",-149.8116849,-17.48131958,2019-03-18,29.5361111111111
"19",-149.8116849,-17.48131958,2019-03-19,29.4955555555556
"20",-149.8116849,-17.48131958,2019-03-20,29.4448611111111
"21",-149.8116849,-17.48131958,2019-03-21,29.24375
"22",-149.8116849,-17.48131958,2019-03-22,29.0568055555556
"23",-149.8116849,-17.48131958,2019-03-23,29.3619444444444
"24",-149.8116849,-17.48131958,2019-03-24,29.4336111111111
"25",-149.8116849,-17.48131958,2019-03-25,29.4659722222222
"26",-149.8116849,-17.48131958,2019-03-26,29.63
"27",-149.8116849,-17.48131958,2019-03-27,29.8084722222222
"28",-149.8116849,-17.48131958,2019-03-28,29.8076388888889
"29",-149.8116849,-17.48131958,2019-03-29,30.0345833333333
"30",-149.8116849,-17.48131958,2019-03-30,30.0426388888889
"31",-149.8116849,-17.48131958,2019-03-31,30.0540277777778
"32",-149.8116849,-17.48131958,2019-04-01,30.2531944444444
"33",-149.8116849,-17.48131958,2019-04-02,30.0416666666667
"34",-149.8116849,-17.48131958,2019-04-03,30.0751388888889
"35",-149.8116849,-17.48131958,2019-04-04,30.1011111111111
"36",-149.8116849,-17.48131958,2019-04-05,30.2275
"37",-149.8116849,-17.48131958,2019-04-06,30.3615277777778
"38",-149.8116849,-17.48131958,2019-04-07,30.3501388888889
"39",-149.8116849,-17.48131958,2019-04-08,30.3615277777778
"40",-149.8116849,-17.48131958,2019-04-09,30.3170833333333
"41",-149.8116849,-17.48131958,2019-04-10,30.1976388888889
"42",-149.8116849,-17.48131958,2019-04-11,30.1688888888889
"43",-149.8116849,-17.48131958,2019-04-12,30.1395833333333
"44",-149.8116849,-17.48131958,2019-04-13,30.1118055555556
"45",-149.8116849,-17.48131958,2019-04-14,29.9158333333333
"46",-149.8116849,-17.48131958,2019-04-15,30.0847222222222
"47",-149.8116849,-17.48131958,2019-04-16,30.1180555555556
"48",-149.8116849,-17.48131958,2019-04-17,30.0579166666667
"49",-149.8116849,-17.48131958,2019-04-18,29.9975
"50",-149.8116849,-17.48131958,2019-04-19,29.8725
"51",-149.8116849,-17.48131958,2019-04-20,29.8511111111111
"52",-149.8116849,-17.48131958,2019-04-21,29.76375
"53",-149.8116849,-17.48131958,2019-04-22,29.6422222222222
"54",-149.8116849,-17.48131958,2019-04-23,29.7023611111111
"55",-149.8116849,-17.48131958,2019-04-24,29.6891666666667
"56",-149.8116849,-17.48131958,2019-04-25,29.33125
"57",-149.8116849,-17.48131958,2019-04-26,29.2680555555556
"58",-149.8116849,-17.48131958,2019-04-27,29.5377777777778
"59",-149.8116849,-17.48131958,2019-04-28,29.5095833333333
"60",-149.8116849,-17.48131958,2019-04-29,29.2934722222222
"61",-149.8116849,-17.48131958,2019-04-30,29.2213888888889
"62",-149.8116849,-17.48131958,2020-03-01,28.6561111111111
"63",-149.8116849,-17.48131958,2020-03-02,28.7323611111111
"64",-149.8116849,-17.48131958,2020-03-03,28.9756944444444
"65",-149.8116849,-17.48131958,2020-03-04,29.12875
"66",-149.8116849,-17.48131958,2020-03-05,29.13625
"67",-149.8116849,-17.48131958,2020-03-06,29.2363888888889
"68",-149.8116849,-17.48131958,2020-03-07,29.4698611111111
"69",-149.8116849,-17.48131958,2020-03-08,29.5577777777778
"70",-149.8116849,-17.48131958,2020-03-09,29.4986111111111
"71",-149.8116849,-17.48131958,2020-03-10,29.4786111111111
"72",-149.8116849,-17.48131958,2020-03-11,29.5622222222222
"73",-149.8116849,-17.48131958,2020-03-12,29.4919444444444
"74",-149.8116849,-17.48131958,2020-03-13,29.4216666666667
"75",-149.8116849,-17.48131958,2020-03-14,29.5152777777778
"76",-149.8116849,-17.48131958,2020-03-15,29.4988888888889
"77",-149.8116849,-17.48131958,2020-03-16,29.74625
"78",-149.8116849,-17.48131958,2020-03-17,29.6551388888889
"79",-149.8116849,-17.48131958,2020-03-18,29.4851388888889
"80",-149.8116849,-17.48131958,2020-03-19,29.6120833333333
"81",-149.8116849,-17.48131958,2020-03-20,29.7018055555556
"82",-149.8116849,-17.48131958,2020-03-21,29.6554166666667
"83",-149.8116849,-17.48131958,2020-03-22,29.5172222222222
"84",-149.8116849,-17.48131958,2020-03-23,29.7427777777778
"85",-149.8116849,-17.48131958,2020-03-24,29.8380555555556
"86",-149.8116849,-17.48131958,2020-03-25,29.8659722222222
"87",-149.8116849,-17.48131958,2020-03-26,30.1294444444444
"88",-149.8116849,-17.48131958,2020-03-27,29.8713888888889
"89",-149.8116849,-17.48131958,2020-03-28,29.7343055555556
"90",-149.8116849,-17.48131958,2020-03-29,29.6070833333333
"91",-149.8116849,-17.48131958,2020-03-30,29.7773611111111
"92",-149.8116849,-17.48131958,2020-03-31,29.7291666666667
"93",-149.8116849,-17.48131958,2020-04-01,29.8469444444444
"94",-149.8116849,-17.48131958,2020-04-02,29.9209722222222
"95",-149.8116849,-17.48131958,2020-04-03,29.8436111111111
"96",-149.8116849,-17.48131958,2020-04-04,29.9425
"97",-149.8116849,-17.48131958,2020-04-05,29.9991666666667
"98",-149.8116849,-17.48131958,2020-04-06,29.83875
"99",-149.8116849,-17.48131958,2020-04-07,29.78125
"100",-149.8116849,-17.48131958,2020-04-08,29.6547222222222
"101",-149.8116849,-17.48131958,2020-04-09,29.6036111111111
"102",-149.8116849,-17.48131958,2020-04-10,29.7122222222222
"103",-149.8116849,-17.48131958,2020-04-11,29.7522222222222
"104",-149.8116849,-17.48131958,2020-04-12,29.6984722222222
"105",-149.8116849,-17.48131958,2020-04-13,29.8084722222222
"106",-149.8116849,-17.48131958,2020-04-14,29.9381944444444
"107",-149.8116849,-17.48131958,2020-04-15,29.7333333333333
"108",-149.8116849,-17.48131958,2020-04-16,29.9327777777778
"109",-149.8116849,-17.48131958,2020-04-17,29.7858333333333
"110",-149.8116849,-17.48131958,2020-04-18,29.6813888888889
"111",-149.8116849,-17.48131958,2020-04-19,29.4677777777778
"112",-149.8116849,-17.48131958,2020-04-20,29.5959722222222
"113",-149.8116849,-17.48131958,2020-04-21,29.6347222222222
"114",-149.8116849,-17.48131958,2020-04-22,29.5222222222222
"115",-149.8116849,-17.48131958,2020-04-23,29.47625
"116",-149.8116849,-17.48131958,2020-04-24,29.4140277777778
"117",-149.8116849,-17.48131958,2020-04-25,29.5097222222222
"118",-149.8116849,-17.48131958,2020-04-26,29.2305555555556
"119",-149.8116849,-17.48131958,2020-04-27,28.8873611111111
"120",-149.8116849,-17.48131958,2020-04-28,29.1688888888889
"121",-149.8116849,-17.48131958,2020-04-29,29.0711111111111
"122",-149.8116849,-17.48131958,2020-04-30,29.2556944444444
"123",-149.8116849,-17.48131958,2021-03-01,28.6290277777778
"124",-149.8116849,-17.48131958,2021-03-02,28.9081944444444
"125",-149.8116849,-17.48131958,2021-03-03,28.86875
"126",-149.8116849,-17.48131958,2021-03-04,28.8656944444444
"127",-149.8116849,-17.48131958,2021-03-05,29.0572222222222
"128",-149.8116849,-17.48131958,2021-03-06,28.8527777777778
"129",-149.8116849,-17.48131958,2021-03-07,28.9520833333333
"130",-149.8116849,-17.48131958,2021-03-08,28.7502777777778
"131",-149.8116849,-17.48131958,2021-03-09,28.6591666666667
"132",-149.8116849,-17.48131958,2021-03-10,28.8494444444444
"133",-149.8116849,-17.48131958,2021-03-11,28.9
"134",-149.8116849,-17.48131958,2021-03-12,28.9233333333333
"135",-149.8116849,-17.48131958,2021-03-13,29.1252777777778
"136",-149.8116849,-17.48131958,2021-03-14,29.2661111111111
"137",-149.8116849,-17.48131958,2021-03-15,29.2472222222222
"138",-149.8116849,-17.48131958,2021-03-16,29.4056944444444
"139",-149.8116849,-17.48131958,2021-03-17,29.0536111111111
"140",-149.8116849,-17.48131958,2021-03-18,29.1251388888889
"141",-149.8116849,-17.48131958,2021-03-19,29.0344444444444
"142",-149.8116849,-17.48131958,2021-03-20,29.3227777777778
"143",-149.8116849,-17.48131958,2021-03-21,29.34125
"144",-149.8116849,-17.48131958,2021-03-22,29.3025
"145",-149.8116849,-17.48131958,2021-03-23,29.3230555555556
"146",-149.8116849,-17.48131958,2021-03-24,29.1183333333333
"147",-149.8116849,-17.48131958,2021-03-25,28.9801388888889
"148",-149.8116849,-17.48131958,2021-03-26,28.9370833333333
"149",-149.8116849,-17.48131958,2021-03-27,28.8859722222222
"150",-149.8116849,-17.48131958,2021-03-28,28.8402777777778
"151",-149.8116849,-17.48131958,2021-03-29,28.8298611111111
"152",-149.8116849,-17.48131958,2021-03-30,28.8977777777778
"153",-149.8116849,-17.48131958,2021-03-31,29.0795833333333
"154",-149.8116849,-17.48131958,2021-04-01,29.2386111111111
"155",-149.8116849,-17.48131958,2021-04-02,29.0895833333333
"156",-149.8116849,-17.48131958,2021-04-03,28.9786111111111
"157",-149.8116849,-17.48131958,2021-04-04,28.9526388888889
"158",-149.8116849,-17.48131958,2021-04-05,28.9136111111111
"159",-149.8116849,-17.48131958,2021-04-06,28.8419444444444
"160",-149.8116849,-17.48131958,2021-04-07,28.8348611111111
"161",-149.8116849,-17.48131958,2021-04-08,28.9798611111111
"162",-149.8116849,-17.48131958,2021-04-09,29.0047222222222
"163",-149.8116849,-17.48131958,2021-04-10,29.0051388888889
"164",-149.8116849,-17.48131958,2021-04-11,28.9577777777778
"165",-149.8116849,-17.48131958,2021-04-12,28.8694444444444
"166",-149.8116849,-17.48131958,2021-04-13,28.7854166666667
"167",-149.8116849,-17.48131958,2021-04-14,28.5043055555556
"168",-149.8116849,-17.48131958,2021-04-15,28.6147222222222
"169",-149.8116849,-17.48131958,2021-04-16,28.6952777777778
"170",-149.8116849,-17.48131958,2021-04-17,28.7483333333333
"171",-149.8116849,-17.48131958,2021-04-18,28.84375
"172",-149.8116849,-17.48131958,2021-04-19,28.8443055555556
"173",-149.8116849,-17.48131958,2021-04-20,28.8940277777778
"174",-149.8116849,-17.48131958,2021-04-21,28.87875
"175",-149.8116849,-17.48131958,2021-04-22,28.8068055555556
"176",-149.8116849,-17.48131958,2021-04-23,28.8258333333333
"177",-149.8116849,-17.48131958,2021-04-24,28.8913888888889
"178",-149.8116849,-17.48131958,2021-04-25,28.6033333333333
"179",-149.8116849,-17.48131958,2021-04-26,28.8011111111111
"180",-149.8116849,-17.48131958,2021-04-27,28.9084722222222
"181",-149.8116849,-17.48131958,2021-04-28,28.9277777777778
"182",-149.8116849,-17.48131958,2021-04-29,28.9815277777778
"183",-149.8116849,-17.48131958,2021-04-30,29.0338888888889
