"","Date.Time","light.logger.1_Temp","light.logger.1_Light","light.logger.2_Temp","light.logger.2_Light","light.logger.3_Temp","light.logger.3_Light","light.logger.4_Temp","light.logger.4_Light","light.logger.5_Temp","light.logger.5_Light","light.logger.6_Temp","light.logger.6_Light","light.logger.7_Temp","light.logger.7_Light","light.logger.8_Temp","light.logger.8_Light","light.logger.9_Temp","light.logger.9_Light","light.logger.10_Temp","light.logger.10_Light","light.logger.11_Temp","light.logger.11_Light","light.logger.12_Temp","light.logger.12_Light","light.logger.13_Temp","light.logger.13_Light","light.logger.14_Temp","light.logger.14_Light","light.logger.15_Temp","light.logger.15_Light","light.logger.16_Temp","light.logger.16_Light"
"1",2022-02-23 11:00:00,20.29,"96,502",19.86,"89,252",19.82,"81,940",19.99,"90,112",20.98,"122,348",18.7,"48,599",20.07,"78,049",20.42,"102,810",21.02,"109,773",19.39,"77,005",20.76,"118,702",18.92,"61,870",19.43,"61,297",19.86,"99,820",18.92,"61,297",20.8,"99,820"
"2",2022-02-23 11:01:00,20.33,"96,584",19.95,"89,129",19.82,"81,695",19.95,"90,194",21.02,"122,429",18.74,"48,620",20.12,"77,967",20.55,"102,810",21.02,"110,223",19.39,"77,005",20.8,"118,538",18.96,"61,993",19.43,"61,379",19.86,"99,738",18.92,"61,379",20.8,"99,738"
"3",2022-02-23 11:02:00,20.33,"96,215",19.9,"88,965",19.77,"81,838",19.99,"90,235",21.1,"122,348",18.74,"48,558",20.16,"77,988",20.5,"102,851",21.1,"110,182",19.47,"77,046",20.85,"117,965",19,"61,993",19.43,"61,297",19.9,"99,697",18.92,"61,297",20.8,"99,697"
"4",2022-02-23 11:03:00,20.37,"96,461",19.9,"89,293",19.82,"81,879",19.99,"90,235",21.1,"122,307",18.79,"48,579",20.16,"77,926",20.5,"102,851",21.1,"110,060",19.52,"76,882",20.85,"118,620",19,"61,870",19.47,"61,194",19.95,"99,492",18.92,"61,194",20.85,"99,492"
"5",2022-02-23 11:04:00,20.42,"96,584",19.99,"89,088",19.86,"81,838",20.03,"90,153",21.15,"122,184",18.79,"48,599",20.2,"77,763",20.59,"102,646",21.1,"110,060",19.52,"77,148",20.85,"118,497",19,"61,870",19.47,"61,297",19.95,"99,574",18.92,"61,297",20.85,"99,574"
"6",2022-02-23 11:05:00,20.46,"96,379",19.99,"88,965",19.86,"81,879",20.03,"90,153",21.19,"122,143",18.79,"48,558",20.16,"77,926",20.59,"102,851",21.19,"110,100",19.56,"76,882",20.89,"118,170",19,"61,972",19.52,"61,194",19.99,"99,533",18.96,"61,194",20.85,"99,533"
"7",2022-02-23 11:06:00,20.46,"96,379",19.95,"89,006",19.9,"81,797",20.07,"90,235",21.23,"122,307",18.87,"48,620",20.25,"77,988",20.59,"102,810",21.15,"110,100",19.6,"77,046",20.89,"118,538",19.04,"61,993",19.52,"61,297",19.95,"99,410",19,"61,297",20.93,"99,410"
"8",2022-02-23 11:07:00,20.5,"96,338",20.03,"88,842",19.9,"81,859",20.07,"90,071",21.15,"122,266",18.87,"48,660",20.25,"77,885",20.63,"102,728",21.19,"109,978",19.6,"77,005",20.98,"118,743",19.09,"61,870",19.56,"61,256",19.99,"99,820",19,"61,256",20.98,"99,820"
"9",2022-02-23 11:08:00,20.55,"96,379",20.03,"89,088",19.9,"81,797",20.07,"90,153",21.19,"121,569",18.83,"48,681",20.29,"77,947",20.68,"102,851",21.23,"109,896",19.65,"77,087",20.98,"118,538",19.09,"61,932",19.56,"61,358",20.07,"99,615",19.04,"61,358",20.93,"99,615"
"10",2022-02-23 11:09:00,20.59,"96,420",20.07,"89,006",19.95,"81,797",20.07,"90,358",21.28,"122,102",18.92,"48,538",20.29,"77,947",20.68,"102,932",21.28,"110,141",19.65,"77,005",20.98,"118,497",19.13,"61,727",19.56,"61,256",20.03,"99,656",19.04,"61,256",20.93,"99,656"
"11",2022-02-23 11:10:00,20.63,"96,543",20.07,"89,047",19.99,"81,674",20.12,"90,153",21.28,"122,348",18.92,"48,660",20.33,"77,885",20.72,"103,014",21.32,"110,141",19.69,"76,513",20.98,"118,538",19.13,"62,034",19.6,"61,276",20.07,"99,410",19.09,"61,276",20.98,"99,410"
"12",2022-02-23 11:11:00,20.63,"96,297",20.07,"89,088",19.99,"81,756",20.16,"90,235",21.28,"122,266",18.96,"48,415",20.37,"77,804",20.72,"102,892",21.32,"110,182",19.65,"77,087",21.06,"118,538",19.17,"61,952",19.6,"61,276",20.07,"99,656",19.09,"61,276",21.02,"99,656"
