"","site","Date","Time","reef.type","depth","temp"
"1","LTER02",2019-03-01,"0:00","backreef",2,29.65
"2","LTER02",2019-03-01,"0:20","backreef",2,29.74
"3","LTER02",2019-03-01,"0:40","backreef",2,29.88
"4","LTER02",2019-03-01,"1:00","backreef",2,29.91
"5","LTER02",2019-03-01,"1:20","backreef",2,29.84
"6","LTER02",2019-03-01,"1:40","backreef",2,29.79
"7","LTER02",2019-03-01,"2:00","backreef",2,29.73
"8","LTER02",2019-03-01,"2:20","backreef",2,29.64
"9","LTER02",2019-03-01,"2:40","backreef",2,29.62
"10","LTER02",2019-03-01,"3:00","backreef",2,29.64
"11","LTER02",2019-03-01,"3:20","backreef",2,29.62
"12","LTER02",2019-03-01,"3:40","backreef",2,29.55
"13","LTER02",2019-03-01,"4:00","backreef",2,29.49
"14","LTER02",2019-03-01,"4:20","backreef",2,29.44
"15","LTER02",2019-03-01,"4:40","backreef",2,29.4
"16","LTER02",2019-03-01,"5:00","backreef",2,29.39
"17","LTER02",2019-03-01,"5:20","backreef",2,29.36
"18","LTER02",2019-03-01,"5:40","backreef",2,29.35
"19","LTER02",2019-03-01,"6:00","backreef",2,29.4
"20","LTER02",2019-03-01,"6:20","backreef",2,29.46
"21","LTER02",2019-03-01,"6:40","backreef",2,29.46
"22","LTER02",2019-03-01,"7:00","backreef",2,29.46
"23","LTER02",2019-03-01,"7:20","backreef",2,29.48
"24","LTER02",2019-03-01,"7:40","backreef",2,29.47
"25","LTER02",2019-03-01,"8:00","backreef",2,29.46
"26","LTER02",2019-03-01,"8:20","backreef",2,29.46
"27","LTER02",2019-03-01,"8:40","backreef",2,29.5
"28","LTER02",2019-03-01,"9:00","backreef",2,29.51
"29","LTER02",2019-03-01,"9:20","backreef",2,29.49
"30","LTER02",2019-03-01,"9:40","backreef",2,29.45
"31","LTER02",2019-03-01,"10:00","backreef",2,29.44
"32","LTER02",2019-03-01,"10:20","backreef",2,29.43
"33","LTER02",2019-03-01,"10:40","backreef",2,29.4
"34","LTER02",2019-03-01,"11:00","backreef",2,29.37
"35","LTER02",2019-03-01,"11:20","backreef",2,29.36
"36","LTER02",2019-03-01,"11:40","backreef",2,29.35
"37","LTER02",2019-03-01,"12:00","backreef",2,29.33
"38","LTER02",2019-03-01,"12:20","backreef",2,29.3
"39","LTER02",2019-03-01,"12:40","backreef",2,29.27
"40","LTER02",2019-03-01,"13:00","backreef",2,29.24
"41","LTER02",2019-03-01,"13:20","backreef",2,29.23
"42","LTER02",2019-03-01,"13:40","backreef",2,29.21
"43","LTER02",2019-03-01,"14:00","backreef",2,29.19
"44","LTER02",2019-03-01,"14:20","backreef",2,29.18
"45","LTER02",2019-03-01,"14:40","backreef",2,29.15
"46","LTER02",2019-03-01,"15:00","backreef",2,29.12
"47","LTER02",2019-03-01,"15:20","backreef",2,29.09
"48","LTER02",2019-03-01,"15:40","backreef",2,29.07
"49","LTER02",2019-03-01,"16:00","backreef",2,29.08
"50","LTER02",2019-03-01,"16:20","backreef",2,29.09
"51","LTER02",2019-03-01,"16:40","backreef",2,29.09
"52","LTER02",2019-03-01,"17:00","backreef",2,29.1
"53","LTER02",2019-03-01,"17:20","backreef",2,29.13
"54","LTER02",2019-03-01,"17:40","backreef",2,29.2
"55","LTER02",2019-03-01,"18:00","backreef",2,29.28
"56","LTER02",2019-03-01,"18:20","backreef",2,29.38
"57","LTER02",2019-03-01,"18:40","backreef",2,29.49
"58","LTER02",2019-03-01,"19:00","backreef",2,29.62
"59","LTER02",2019-03-01,"19:20","backreef",2,29.73
"60","LTER02",2019-03-01,"19:40","backreef",2,29.82
"61","LTER02",2019-03-01,"20:00","backreef",2,29.9
"62","LTER02",2019-03-01,"20:20","backreef",2,29.95
"63","LTER02",2019-03-01,"20:40","backreef",2,29.98
"64","LTER02",2019-03-01,"21:00","backreef",2,30
"65","LTER02",2019-03-01,"21:20","backreef",2,30.02
"66","LTER02",2019-03-01,"21:40","backreef",2,30.04
"67","LTER02",2019-03-01,"22:00","backreef",2,30.03
"68","LTER02",2019-03-01,"22:20","backreef",2,30.04
"69","LTER02",2019-03-01,"22:40","backreef",2,30.09
"70","LTER02",2019-03-01,"23:00","backreef",2,30.15
"71","LTER02",2019-03-01,"23:20","backreef",2,30.11
"72","LTER02",2019-03-01,"23:40","backreef",2,29.94
