,site,Date,Time,reef.type,depth,temp
1369,LTER02,3/20/19,0:00,backreef,2,29.76
1370,LTER02,3/20/19,0:20,backreef,2,29.79
1371,LTER02,3/20/19,0:40,backreef,2,29.78
1372,LTER02,3/20/19,1:00,backreef,2,29.7
1373,LTER02,3/20/19,1:20,backreef,2,29.6
1374,LTER02,3/20/19,1:40,backreef,2,29.56
1375,LTER02,3/20/19,2:00,backreef,2,29.53
1376,LTER02,3/20/19,2:20,backreef,2,29.51
1377,LTER02,3/20/19,2:40,backreef,2,29.49
1378,LTER02,3/20/19,3:00,backreef,2,29.44
1379,LTER02,3/20/19,3:20,backreef,2,29.37
1380,LTER02,3/20/19,3:40,backreef,2,29.31
1381,LTER02,3/20/19,4:00,backreef,2,29.32
1382,LTER02,3/20/19,4:20,backreef,2,29.39
1383,LTER02,3/20/19,4:40,backreef,2,29.43
1384,LTER02,3/20/19,5:00,backreef,2,29.41
1385,LTER02,3/20/19,5:20,backreef,2,29.37
1386,LTER02,3/20/19,5:40,backreef,2,29.37
1387,LTER02,3/20/19,6:00,backreef,2,29.42
1388,LTER02,3/20/19,6:20,backreef,2,29.45
1389,LTER02,3/20/19,6:40,backreef,2,29.44
1390,LTER02,3/20/19,7:00,backreef,2,29.42
1391,LTER02,3/20/19,7:20,backreef,2,29.39
1392,LTER02,3/20/19,7:40,backreef,2,29.38
1393,LTER02,3/20/19,8:00,backreef,2,29.36
1394,LTER02,3/20/19,8:20,backreef,2,29.34
1395,LTER02,3/20/19,8:40,backreef,2,29.33
1396,LTER02,3/20/19,9:00,backreef,2,29.32
1397,LTER02,3/20/19,9:20,backreef,2,29.31
1398,LTER02,3/20/19,9:40,backreef,2,29.31
1399,LTER02,3/20/19,10:00,backreef,2,29.3
1400,LTER02,3/20/19,10:20,backreef,2,29.3
1401,LTER02,3/20/19,10:40,backreef,2,29.28
1402,LTER02,3/20/19,11:00,backreef,2,29.26
1403,LTER02,3/20/19,11:20,backreef,2,29.23
1404,LTER02,3/20/19,11:40,backreef,2,29.22
1405,LTER02,3/20/19,12:00,backreef,2,29.22
1406,LTER02,3/20/19,12:20,backreef,2,29.21
1407,LTER02,3/20/19,12:40,backreef,2,29.2
1408,LTER02,3/20/19,13:00,backreef,2,29.18
1409,LTER02,3/20/19,13:20,backreef,2,29.17
1410,LTER02,3/20/19,13:40,backreef,2,29.16
1411,LTER02,3/20/19,14:00,backreef,2,29.16
1412,LTER02,3/20/19,14:20,backreef,2,29.15
1413,LTER02,3/20/19,14:40,backreef,2,29.13
1414,LTER02,3/20/19,15:00,backreef,2,29.12
1415,LTER02,3/20/19,15:20,backreef,2,29.12
1416,LTER02,3/20/19,15:40,backreef,2,29.11
1417,LTER02,3/20/19,16:00,backreef,2,29.09
1418,LTER02,3/20/19,16:20,backreef,2,29.09
1419,LTER02,3/20/19,16:40,backreef,2,29.09
1420,LTER02,3/20/19,17:00,backreef,2,29.1
1421,LTER02,3/20/19,17:20,backreef,2,29.14
1422,LTER02,3/20/19,17:40,backreef,2,29.2
1423,LTER02,3/20/19,18:00,backreef,2,29.3
1424,LTER02,3/20/19,18:20,backreef,2,29.43
1425,LTER02,3/20/19,18:40,backreef,2,29.53
1426,LTER02,3/20/19,19:00,backreef,2,29.61
1427,LTER02,3/20/19,19:20,backreef,2,29.67
1428,LTER02,3/20/19,19:40,backreef,2,29.72
1429,LTER02,3/20/19,20:00,backreef,2,29.77
1430,LTER02,3/20/19,20:20,backreef,2,29.82
1431,LTER02,3/20/19,20:40,backreef,2,29.85
1432,LTER02,3/20/19,21:00,backreef,2,29.88
1433,LTER02,3/20/19,21:20,backreef,2,29.89
1434,LTER02,3/20/19,21:40,backreef,2,29.9
1435,LTER02,3/20/19,22:00,backreef,2,29.96
1436,LTER02,3/20/19,22:20,backreef,2,30
1437,LTER02,3/20/19,22:40,backreef,2,29.97
1438,LTER02,3/20/19,23:00,backreef,2,29.95
1439,LTER02,3/20/19,23:20,backreef,2,29.96
1440,LTER02,3/20/19,23:40,backreef,2,29.99
1441,LTER02,3/21/19,0:00,backreef,2,30.02
1442,LTER02,3/21/19,0:20,backreef,2,30.03
1443,LTER02,3/21/19,0:40,backreef,2,30.03
1444,LTER02,3/21/19,1:00,backreef,2,30.04
1445,LTER02,3/21/19,1:20,backreef,2,30.06
1446,LTER02,3/21/19,1:40,backreef,2,30.04
1447,LTER02,3/21/19,2:00,backreef,2,29.97
1448,LTER02,3/21/19,2:20,backreef,2,29.9
1449,LTER02,3/21/19,2:40,backreef,2,29.83
1450,LTER02,3/21/19,3:00,backreef,2,29.77
1451,LTER02,3/21/19,3:20,backreef,2,29.74
1452,LTER02,3/21/19,3:40,backreef,2,29.69
1453,LTER02,3/21/19,4:00,backreef,2,29.6
