"","5","8","12","16","20","24"
"TRINITY_DN15450_c0_g2",67,83,117,35,79,46
"TRINITY_DN123109_c0_g1",16,23,15,35,18,11
"TRINITY_DN100801_c0_g1",27,23,17,11,18,18
"TRINITY_DN101151_c0_g2",8,11,15,10,6,12
"TRINITY_DN101108_c0_g1",59,55,79,76,84,70
"TRINITY_DN101133_c0_g1",9,6,15,19,2,17
"TRINITY_DN101131_c0_g1",13,8,13,22,15,7
"TRINITY_DN102616_c0_g1",29,60,29,23,38,26
"TRINITY_DN102671_c0_g1",24,28,16,14,23,55
"TRINITY_DN102676_c0_g1",42,47,6,8,65,2
"TRINITY_DN102633_c0_g1",181,158,218,287,273,163
"TRINITY_DN102609_c0_g1",58,89,66,107,118,118
"TRINITY_DN102749_c0_g1",28,40,15,50,31,17
"TRINITY_DN102944_c1_g1",21,7,27,17,20,26
"TRINITY_DN102944_c1_g2",27,37,42,30,21,26
"TRINITY_DN102934_c0_g1",4,16,17,31,9,13
"TRINITY_DN102915_c0_g1",6,6,15,17,7,14
"TRINITY_DN102993_c0_g1",14,13,16,16,13,21
"TRINITY_DN103182_c0_g1",50,58,81,8,77,38
"TRINITY_DN103143_c0_g2",16,18,14,14,39,18
"TRINITY_DN103115_c0_g1",11,19,13,29,25,13
"TRINITY_DN103121_c0_g1",229,286,319,410,402,254
"TRINITY_DN103297_c0_g1",126,167,200,176,251,116
"TRINITY_DN103251_c0_g1",2,5,19,13,11,35
"TRINITY_DN103220_c0_g1",20,13,33,17,24,10
"TRINITY_DN103216_c0_g1",10,8,6,34,12,18
"TRINITY_DN103556_c0_g1",8,53,35,28,33,19
"TRINITY_DN103556_c1_g1",2,6,31,23,21,17
"TRINITY_DN103540_c0_g1",31,53,19,16,40,26
"TRINITY_DN105411_c0_g2",23,7,66,68,31,8
"TRINITY_DN105957_c0_g3",2,16,27,20,2,0
"TRINITY_DN105957_c0_g4",4,18,71,48,22,2
"TRINITY_DN105991_c0_g2",16,31,33,14,46,8
"TRINITY_DN107552_c0_g1",5,44,10,9,22,12
"TRINITY_DN107587_c0_g1",16,50,62,28,44,45
"TRINITY_DN107547_c0_g1",7,18,4,15,16,23
"TRINITY_DN107547_c1_g1",38,37,34,38,32,26
"TRINITY_DN108182_c0_g1",35,35,39,44,44,60
"TRINITY_DN108190_c1_g1",15,6,25,23,7,15
"TRINITY_DN108146_c0_g1",6,8,17,16,8,11
"TRINITY_DN108943_c0_g1",10,17,18,11,5,10
"TRINITY_DN108985_c0_g1",24,38,43,35,22,15
"TRINITY_DN108979_c0_g1",31,10,15,33,12,0
"TRINITY_DN109037_c0_g1",7,5,12,12,12,2
"TRINITY_DN109663_c0_g5",15,6,12,27,5,0
"TRINITY_DN109690_c0_g2",25,14,11,17,0,0
"TRINITY_DN109610_c1_g1",50,42,37,46,41,50
"TRINITY_DN109732_c0_g2",9,14,21,20,6,3
"TRINITY_DN110302_c0_g1",17,12,20,4,18,10
"TRINITY_DN110226_c0_g1",9,15,20,20,31,18
"TRINITY_DN110214_c0_g1",29,18,40,36,12,38
"TRINITY_DN110369_c0_g1",16,14,47,16,21,4
"TRINITY_DN110369_c1_g1",35,10,84,41,25,8
"TRINITY_DN110373_c0_g1",8,5,8,12,31,18
"TRINITY_DN110650_c0_g3",19,2,23,14,9,5
"TRINITY_DN110999_c0_g1",20,11,32,8,11,0
"TRINITY_DN110926_c0_g1",10,32,3,16,2,30
"TRINITY_DN111915_c0_g2",21,6,20,11,26,18
"TRINITY_DN112573_c0_g1",17,17,36,10,6,4
"TRINITY_DN112510_c0_g1",8,32,35,26,9,16
"TRINITY_DN112540_c0_g2",0,16,4,34,21,17
"TRINITY_DN112820_c0_g1",15,0,10,4,15,17
"TRINITY_DN112878_c0_g2",4,11,29,24,9,2
"TRINITY_DN112870_c0_g3",108,109,160,195,201,116
"TRINITY_DN113187_c0_g1",50,36,49,11,18,22
"TRINITY_DN113187_c1_g1",26,34,29,8,23,16
"TRINITY_DN113187_c1_g3",22,26,38,9,26,27
"TRINITY_DN113124_c0_g1",18,5,32,46,4,0
"TRINITY_DN113344_c0_g1",2,11,30,12,13,26
"TRINITY_DN113470_c0_g1",7,13,21,24,19,20
"TRINITY_DN113438_c0_g2",39,108,54,60,80,43
"TRINITY_DN113413_c0_g2",0,13,14,16,13,2
"TRINITY_DN113543_c0_g2",15,12,14,8,31,5
"TRINITY_DN113917_c0_g1",12,13,3,12,7,17
"TRINITY_DN114094_c0_g2",54,30,59,69,58,54
"TRINITY_DN114087_c0_g2",25,2,18,21,6,24
"TRINITY_DN114012_c1_g3",15,23,20,20,20,42
"TRINITY_DN115055_c2_g1",13,17,17,13,5,8
"TRINITY_DN115019_c0_g1",85,69,110,101,123,41
"TRINITY_DN115169_c0_g1",4,2,22,11,9,20
"TRINITY_DN115176_c0_g1",19,15,6,0,15,21
"TRINITY_DN115118_c3_g2",8,26,13,14,17,10
"TRINITY_DN115120_c1_g1",0,0,43,0,29,15
"TRINITY_DN115846_c0_g1",59,46,96,102,171,89
"TRINITY_DN115897_c0_g2",18,35,16,42,32,6
"TRINITY_DN115910_c0_g3",14,6,22,39,2,2
"TRINITY_DN116005_c0_g1",176,103,169,275,276,133
"TRINITY_DN115917_c3_g1",32,39,12,56,34,24
"TRINITY_DN116672_c0_g1",115,201,198,228,256,214
"TRINITY_DN117464_c0_g1",56,31,72,73,98,47
"TRINITY_DN118042_c0_g3",30,18,39,41,33,33
"TRINITY_DN118049_c1_g1",0,22,28,0,0,15
"TRINITY_DN118043_c1_g3",13,11,24,19,8,0
"TRINITY_DN118030_c0_g1",16,11,13,38,19,3
"TRINITY_DN118291_c0_g2",6,12,43,37,19,0
"TRINITY_DN118277_c0_g4",7,2,23,33,19,3
"TRINITY_DN118622_c0_g1",25,34,45,45,52,61
"TRINITY_DN118622_c0_g3",11,8,13,8,16,15
"TRINITY_DN118625_c0_g2",6,6,16,16,15,14
"TRINITY_DN118662_c0_g1",19,9,7,11,11,12
"TRINITY_DN119075_c0_g1",17,7,16,23,46,18
"TRINITY_DN119100_c0_g1",45,38,23,20,52,32
"TRINITY_DN120749_c0_g1",36,41,23,24,46,27
"TRINITY_DN120839_c0_g1",0,17,7,12,4,13
"TRINITY_DN120885_c0_g1",2,12,13,16,10,2
"TRINITY_DN120821_c0_g1",18,57,51,48,41,39
"TRINITY_DN121151_c0_g1",20,4,35,13,2,5
"TRINITY_DN121182_c1_g1",19,49,67,56,18,10
"TRINITY_DN121126_c0_g1",90,90,240,296,97,27
"TRINITY_DN121137_c2_g1",17,7,20,24,35,18
"TRINITY_DN121399_c0_g1",42,53,51,68,49,82
"TRINITY_DN123078_c0_g1",16,10,2,13,14,0
"TRINITY_DN123033_c0_g1",21,27,26,6,4,6
"TRINITY_DN123036_c0_g1",4,34,15,32,4,13
"TRINITY_DN123414_c0_g1",13,71,53,4,8,15
"TRINITY_DN124450_c0_g2",0,15,16,20,7,0
"TRINITY_DN125530_c0_g1",3,10,25,22,11,5
"TRINITY_DN127033_c0_g1",49,42,23,38,37,24
"TRINITY_DN127091_c1_g1",21,11,11,63,6,42
"TRINITY_DN129238_c0_g1",13,10,21,6,17,10
"TRINITY_DN131679_c0_g1",41,0,22,14,7,0
"TRINITY_DN131679_c0_g2",0,12,30,0,0,13
"TRINITY_DN131669_c0_g1",19,33,36,42,46,29
"TRINITY_DN131625_c0_g1",47,2,20,13,39,7
"TRINITY_DN132276_c0_g3",26,30,31,35,54,73
"TRINITY_DN132770_c1_g1",10,10,18,11,29,10
"TRINITY_DN132770_c1_g2",7,4,28,6,24,12
"TRINITY_DN132771_c0_g1",32,13,34,32,38,44
"TRINITY_DN133583_c1_g1",69,58,229,232,41,26
"TRINITY_DN133583_c3_g1",35,11,122,103,27,6
"TRINITY_DN134079_c0_g1",33,24,48,72,54,42
"TRINITY_DN134079_c1_g1",39,50,55,77,26,49
"TRINITY_DN134580_c3_g1",0,0,18,0,15,17
"TRINITY_DN134522_c0_g1",7,13,27,6,21,0
"TRINITY_DN135486_c1_g1",30,15,19,86,28,23
"TRINITY_DN136180_c0_g1",0,15,22,22,0,43
"TRINITY_DN136179_c0_g1",7,15,11,15,13,12
"TRINITY_DN136125_c0_g1",11,21,53,27,34,3
"TRINITY_DN138267_c0_g1",14,4,13,11,11,32
"TRINITY_DN138267_c0_g2",6,9,18,33,18,18
"TRINITY_DN138559_c0_g1",22,13,12,11,10,11
"TRINITY_DN138846_c0_g1",2,30,2,28,15,10
"TRINITY_DN139019_c0_g1",20,2,47,14,26,29
"TRINITY_DN139019_c1_g1",30,21,43,19,9,11
"TRINITY_DN139111_c0_g2",14,8,39,11,3,4
"TRINITY_DN139192_c1_g2",24,24,22,22,29,22
"TRINITY_DN139830_c3_g1",0,60,33,69,15,0
"TRINITY_DN139869_c0_g2",19,4,30,16,2,0
"TRINITY_DN140362_c0_g1",15,33,32,56,31,9
"TRINITY_DN140832_c0_g3",65,114,77,96,96,68
"TRINITY_DN141746_c0_g3",19,8,17,17,33,14
"TRINITY_DN141758_c0_g1",8,16,12,22,10,13
"TRINITY_DN141812_c0_g1",87,55,33,45,48,47
"TRINITY_DN142290_c0_g1",37,45,38,29,18,22
"TRINITY_DN143273_c0_g1",16,15,48,22,4,0
"TRINITY_DN143366_c0_g1",26,22,17,18,18,18
"TRINITY_DN143366_c0_g2",19,12,17,20,49,6
"TRINITY_DN144330_c0_g1",12,6,23,12,8,38
"TRINITY_DN144370_c0_g2",16,50,31,16,0,16
"TRINITY_DN145299_c0_g2",9,19,8,15,17,23
"TRINITY_DN145840_c0_g1",18,23,31,23,9,0
"TRINITY_DN148161_c0_g1",43,81,123,103,127,62
"TRINITY_DN148585_c0_g1",4,6,13,56,14,27
"TRINITY_DN148796_c0_g1",16,59,38,37,48,31
"TRINITY_DN150130_c1_g3",6,3,14,17,20,9
"TRINITY_DN150182_c0_g1",29,0,23,0,47,0
"TRINITY_DN150834_c0_g1",11,49,23,25,16,41
"TRINITY_DN152262_c0_g4",15,14,17,11,24,40
"TRINITY_DN152590_c1_g2",46,24,53,18,36,13
"TRINITY_DN152534_c0_g2",93,61,106,53,73,33
"TRINITY_DN152584_c0_g1",11,26,19,64,40,18
"TRINITY_DN152524_c0_g2",9,18,19,10,19,6
"TRINITY_DN153060_c0_g1",27,12,6,23,34,33
"TRINITY_DN153277_c0_g1",8,14,10,43,24,12
"TRINITY_DN153233_c2_g1",199,215,187,216,275,313
"TRINITY_DN153257_c0_g1",21,13,40,15,48,14
"TRINITY_DN154348_c0_g1",3,25,40,31,9,0
"TRINITY_DN154396_c0_g1",16,19,44,29,49,32
"TRINITY_DN155667_c0_g1",17,14,4,2,8,17
"TRINITY_DN156205_c0_g2",13,0,20,12,4,0
"TRINITY_DN156199_c0_g1",2,20,6,12,11,0
