name	term	lev	seq	value
"intracellular protein transport"	GO:0006886;GO:0046907	5	TRINITY_DN103634_c0_g1	-0.653874168037627
"intracellular protein transport"	GO:0006886;GO:0046907	5	TRINITY_DN3301_c0_g1	-0.427793796971306
"intracellular signal transduction"	GO:0035556	2	TRINITY_DN11471_c0_g2	0.227303005711583
"intracellular signal transduction"	GO:0035556	2	TRINITY_DN16800_c0_g1	-0.248841314096576
"intracellular signal transduction"	GO:0035556	2	TRINITY_DN168544_c0_g2	-0.0730490879183158
"intracellular signal transduction"	GO:0035556	2	TRINITY_DN214_c0_g1	0.00734900257849906
"intracellular signal transduction"	GO:0035556	2	TRINITY_DN25627_c0_g1	-0.293745379782669
"intracellular signal transduction"	GO:0035556	2	TRINITY_DN8488_c2_g1	-1.31171976498032
"multicellular organismal process"	GO:0032501	1	TRINITY_DN10038_c3_g1	-0.562138303172086
"multicellular organismal process"	GO:0032501	1	TRINITY_DN100609_c0_g1	-1.40109385094088
"multicellular organismal process"	GO:0032501	1	TRINITY_DN10163_c0_g1	0.0400929512801417
"multicellular organismal process"	GO:0032501	1	TRINITY_DN10163_c0_g2	0.0225731062421892
"multicellular organismal process"	GO:0032501	1	TRINITY_DN108684_c0_g4	0.233351181963741
"multicellular organismal process"	GO:0032501	1	TRINITY_DN1177_c4_g1	0.160836728008831
"multicellular organismal process"	GO:0032501	1	TRINITY_DN1222_c5_g1	0.21186605314195
"multicellular organismal process"	GO:0032501	1	TRINITY_DN12330_c0_g1	0.0768813079993308
"multicellular organismal process"	GO:0032501	1	TRINITY_DN12739_c2_g1	-0.578631699682004
"multicellular organismal process"	GO:0032501	1	TRINITY_DN12739_c2_g2	-0.415443987549913
"multicellular organismal process"	GO:0032501	1	TRINITY_DN1293_c0_g1	-0.0784506356792581
"multicellular organismal process"	GO:0032501	1	TRINITY_DN13112_c0_g1	-0.360704945104089
"multicellular organismal process"	GO:0032501	1	TRINITY_DN1373_c2_g1	0.0553494171512002
"multicellular organismal process"	GO:0032501	1	TRINITY_DN1385_c4_g1	0.14013034485268
"multicellular organismal process"	GO:0032501	1	TRINITY_DN13917_c0_g1	0.113529175163098
