"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
290 0.82299047495736 6 2 "GO:0000002;GO:0007005" "mitochondrial genome maintenance" 0.977106789940297
218 0.16018373859174 1 142 "GO:0000003" "reproduction" 0.890319816244784
528 0.480020609433249 5 6 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.911999941517449
-2268 0.215007478321861 2 1 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.890319816244784
850 0.421172322079432 4 3 "GO:0000027" "ribosomal large subunit assembly" 0.909543670231155
170 0.895858629373653 6 2 "GO:0000041;GO:0030001;GO:0006812" "transition metal ion transport" 0.977106789940297
-1305 0.313127315153135 2 2 "GO:0000045;GO:1905037" "autophagosome assembly" 0.897938624336196
990 0.0728409975846284 3 11 "GO:0000070;GO:0000819;GO:0051276;GO:0098813" "chromosome organization" 0.890319816244784
-2366 0.195837639957454 5 1 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.890319816244784
1175 0.198915803198912 2 4 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.890319816244784
427 0.601568358078661 2 5 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.915364096097271
16 0.964303452674598 8 26 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:0010629;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0051252;GO:0009889;GO:0045934;GO:0051172" "negative regulation of gene expression" 0.979370694122639
-185 0.919639209225712 5 1 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653;GO:0051656;GO:0051640" "microtubule cytoskeleton organization involved in mitosis" 0.977106789940297
915 0.479286914953348 5 2 "GO:0000147;GO:0030866;GO:0044396;GO:0030036;GO:0030865;GO:0030029" "cortical actin cytoskeleton organization" 0.911999941517449
-77 0.933417029406023 5 4 "GO:0000165" "MAPK cascade" 0.977106789940297
-48 0.964111082399263 4 3 "GO:0000184;GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.979370694122639
2 0.997598843094017 3 9 "GO:0000209" "protein polyubiquitination" 0.997598843094017
578 0.180466785867203 2 18 "GO:0000226;GO:0007010;GO:0007017" "cytoskeleton organization" 0.890319816244784
-2671 0.14421271668577 5 1 "GO:0000272;GO:0016052" "polysaccharide catabolic process" 0.890319816244784
68 0.927310797238586 2 6 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.977106789940297
-126 0.877617788960701 4 5 "GO:0000302;GO:0006979;GO:1901700" "response to reactive oxygen species" 0.977106789940297
1249 0.126990764581905 8 5 "GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.890319816244784
1956 0.284932001098788 3 1 "GO:0000398;GO:0000377" "mRNA splicing, via spliceosome" 0.890319816244784
149 0.93528075335478 3 1 "GO:0000460" "maturation of 5.8S rRNA" 0.977106789940297
1556 0.39500394628509 4 1 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.906897372699043
1607 0.379691120457996 2 1 "GO:0000492;GO:0000491" "box C/D snoRNP assembly" 0.902924005967186
1125 0.384588372966605 3 2 "GO:0000578;GO:0009798;GO:0009880" "embryonic pattern specification" 0.903550996728771
992 0.443311315021038 4 2 "GO:0000724;GO:0000725;GO:0006310" "double-strand break repair via homologous recombination" 0.911999941517449
-1874 0.305615047184256 5 1 "GO:0000737;GO:0006308;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.890319816244784
-390 0.601341825302464 2 6 "GO:0000768;GO:0006949;GO:0140253" "syncytium formation by plasma membrane fusion" 0.915364096097271
98 0.797406055889104 3 23 "GO:0000902" "cell morphogenesis" 0.977106789940297
1456 0.260229499974145 3 2 "GO:0000959" "mitochondrial RNA metabolic process" 0.890319816244784
708 0.305904757376413 2 7 "GO:0001101" "response to acid chemical" 0.890319816244784
-510 0.533169196579432 2 5 "GO:0001501" "skeletal system development" 0.911999941517449
-57 0.846068407693727 2 39 "GO:0001503" "ossification" 0.977106789940297
-319 0.669623425964986 2 6 "GO:0001505" "regulation of neurotransmitter levels" 0.931187603109776
398 0.706750691042475 3 3 "GO:0001508;GO:0042391" "regulation of membrane potential" 0.943947840775908
-2118 0.10161930060506 3 2 "GO:0001523;GO:0016101;GO:0006721;GO:0006720" "retinoid metabolic process" 0.890319816244784
1313 0.472941901046281 2 1 "GO:0001525" "angiogenesis" 0.911999941517449
