"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-6 0.592787603937273 2 3 "GO:0000139" "Golgi membrane" 0.839537291853081
0 1 3 1 "GO:0000786;GO:0032993;GO:0044815;GO:0032991" "nucleosome" 1
17 0.0217513481404637 2 6 "GO:0005576" "extracellular region" 0.304518873966492
-28 0.106341968481142 2 1 "GO:0005615" "extracellular space" 0.372196889683997
11 0.277101667269385 2 3 "GO:0005737" "cytoplasm" 0.646570556961898
4 0.837160345364539 2 1 "GO:0005829" "cytosol" 0.951230963524236
3 0.883285894701076 2 1 "GO:0005938" "cell cortex" 0.951230963524236
-12 0.499483117965196 2 1 "GO:0010008" "endosome membrane" 0.839537291853081
-6 0.630031868728649 4 2 "GO:0030424;GO:0043005;GO:0120025;GO:0042995" "neuron projection" 0.839537291853081
8 0.659636443598849 2 1 "GO:0031012" "extracellular matrix" 0.839537291853081
23 0.186419521599778 3 1 "GO:0070161;GO:0030054" "anchoring junction" 0.521974660479378
-6 0.470762697958123 4 5 "GO:0098588;GO:0031090;GO:0016020" "membrane" 0.839537291853081
8 0.101730173664261 1 22 "GO:0110165;GO:0005575" "cellular_component" 0.372196889683997
-8 0.101730173664261 5 37 "unknown" "unknown" 0.372196889683997
