"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
9 0.59571283465153 0 288 "GO:0003674" "molecular_function" 0.701599611197
-31 0.54127686793189 2 24 "GO:0003676" "nucleic acid binding" 0.701599611197
-56 0.397996507336501 4 14 "GO:0003677" "DNA binding" 0.647952199311222
50 0.651485353254357 4 5 "GO:0003779" "actin binding" 0.701599611197
-3 0.936775749041568 1 65 "GO:0003824" "catalytic activity" 0.936775749041568
-213 0.0233818332209436 3 7 "GO:0003964;GO:0034061;GO:0016779;GO:0140097" "nucleotidyltransferase activity" 0.218230443395474
-147 0.117428182579199 2 7 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.448183141368661
12 0.544295688440225 1 198 "GO:0005488" "binding" 0.701599611197
102 0.158078420461638 2 12 "GO:0005509" "calcium ion binding" 0.448183141368661
27 0.271847551791502 2 119 "GO:0005515" "protein binding" 0.543695103583004
-149 0.0168491708599905 4 16 "GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0097367" "purine ribonucleotide binding" 0.218230443395474
71 0.416540699557214 3 8 "GO:0008092" "cytoskeletal protein binding" 0.647952199311222
38 0.733071719696009 2 5 "GO:0008270;GO:0046914" "zinc ion binding" 0.760222524129195
207 0.0123058739804198 2 9 "GO:0016491" "oxidoreductase activity" 0.218230443395474
-48 0.320122629276508 2 27 "GO:0016740" "transferase activity" 0.560214601233889
147 0.186019668773302 4 5 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups other than amino-acyl groups" 0.448183141368661
-139 0.0936377320382301 3 9 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.448183141368661
-24 0.633433852755187 2 24 "GO:0016787" "hydrolase activity" 0.701599611197
-127 0.176279157991722 2 7 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.448183141368661
160 0.149253390006822 2 5 "GO:0030234" "enzyme regulator activity" 0.448183141368661
-51 0.646265839754736 3 5 "GO:0042578" "phosphoric ester hydrolase activity" 0.701599611197
-37 0.319285678321734 2 48 "GO:0043167" "ion binding" 0.560214601233889
-66 0.207010694262025 2 23 "GO:0043168;GO:1901265;GO:0000166;GO:0036094" "small molecule binding" 0.448183141368661
33 0.475433402259393 3 29 "GO:0046872;GO:0043169" "metal ion binding" 0.700638698066474
-47 0.208085029921164 2 46 "GO:0097159;GO:1901363" "organic cyclic compound binding" 0.448183141368661
135 0.149058970663918 1 7 "GO:0098772" "molecular function regulator" 0.448183141368661
-98 0.175003534041695 2 12 "GO:0140096" "catalytic activity, acting on a protein" 0.448183141368661
-9 0.59571283465153 5 568 "unknown" "unknown" 0.701599611197
