#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,03/18/2022 17:00:00,29.64,5169.92,,,,
2,03/18/2022 17:01:00,29.64,5052.16,,,,
3,03/18/2022 17:02:00,29.64,4952.32,,,,
4,03/18/2022 17:03:00,29.60,4838.40,,,,
5,03/18/2022 17:04:00,29.60,4715.52,,,,
6,03/18/2022 17:05:00,29.60,4624.64,,,,
7,03/18/2022 17:06:00,29.60,4501.76,,,,
8,03/18/2022 17:07:00,29.56,4410.88,,,,
9,03/18/2022 17:08:00,29.60,4300.80,,,,
10,03/18/2022 17:09:00,29.60,4190.72,,,,
11,03/18/2022 17:10:00,29.51,4051.20,,,,
12,03/18/2022 17:11:00,29.60,3900.16,,,,
13,03/18/2022 17:12:00,29.60,3449.60,,,,
14,03/18/2022 17:13:00,29.51,2923.52,,,,
15,03/18/2022 17:14:00,29.51,2458.24,,,,
16,03/18/2022 17:15:00,29.47,2019.20,,,,
17,03/18/2022 17:16:00,29.47,1781.12,,,,
18,03/18/2022 17:17:00,29.43,1716.48,,,,
19,03/18/2022 17:18:00,29.43,1688.96,,,,
20,03/18/2022 17:19:00,29.43,1611.52,,,,
21,03/18/2022 17:20:00,29.38,1544.96,,,,
22,03/18/2022 17:21:00,29.38,1505.92,,,,
23,03/18/2022 17:22:00,29.43,1477.12,,,,
24,03/18/2022 17:23:00,29.34,1452.80,,,,
25,03/18/2022 17:24:00,29.38,1435.52,,,,
26,03/18/2022 17:25:00,29.38,1420.16,,,,
27,03/18/2022 17:26:00,29.38,1404.16,,,,
28,03/18/2022 17:27:00,29.38,1387.52,,,,
29,03/18/2022 17:28:00,29.38,1370.24,,,,
30,03/18/2022 17:29:00,29.38,1355.52,,,,
31,03/18/2022 17:30:00,29.34,1338.88,,,,
32,03/18/2022 17:31:00,29.34,1324.80,,,,
33,03/18/2022 17:32:00,29.30,1303.68,,,,
34,03/18/2022 17:33:00,29.34,1282.56,,,,
35,03/18/2022 17:34:00,29.34,1257.60,,,,
36,03/18/2022 17:35:00,29.34,1241.28,,,,
37,03/18/2022 17:36:00,29.30,1214.72,,,,
38,03/18/2022 17:37:00,29.34,1187.20,,,,
39,03/18/2022 17:38:00,29.34,1159.68,,,,
40,03/18/2022 17:39:00,29.34,1128.00,,,,
41,03/18/2022 17:40:00,29.34,1102.72,,,,
42,03/18/2022 17:41:00,29.30,1076.16,,,,
43,03/18/2022 17:42:00,29.34,1042.88,,,,
44,03/18/2022 17:43:00,29.34,1008.96,,,,
45,03/18/2022 17:44:00,29.30,980.48,,,,
46,03/18/2022 17:45:00,29.30,949.12,,,,
47,03/18/2022 17:46:00,29.30,918.08,,,,
48,03/18/2022 17:47:00,29.30,881.92,,,,
49,03/18/2022 17:48:00,29.30,845.44,,,,
50,03/18/2022 17:49:00,29.30,812.80,,,,
