#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/22/2022 15:00:00,29.64,10137.60,,,,
2,04/22/2022 15:01:00,29.64,9994.24,,,,
3,04/22/2022 15:02:00,29.68,9190.40,,,,
4,04/22/2022 15:03:00,29.68,9047.04,,,,
5,04/22/2022 15:04:00,29.64,5250.56,,,,
6,04/22/2022 15:05:00,29.56,5967.36,,,,
7,04/22/2022 15:06:00,29.56,7508.48,,,,
8,04/22/2022 15:07:00,29.64,9866.24,,,,
9,04/22/2022 15:08:00,29.64,9008.64,,,,
10,04/22/2022 15:09:00,29.64,7482.88,,,,
11,04/22/2022 15:10:00,29.56,4988.16,,,,
12,04/22/2022 15:11:00,29.56,7938.56,,,,
13,04/22/2022 15:12:00,29.56,4800.00,,,,
14,04/22/2022 15:13:00,29.56,6231.04,,,,
15,04/22/2022 15:14:00,29.56,8171.52,,,,
16,04/22/2022 15:15:00,29.64,7976.96,,,,
17,04/22/2022 15:16:00,29.60,8637.44,,,,
18,04/22/2022 15:17:00,29.60,8657.92,,,,
19,04/22/2022 15:18:00,29.60,8476.16,,,,
20,04/22/2022 15:19:00,29.60,8327.68,,,,
21,04/22/2022 15:20:00,29.64,7521.28,,,,
22,04/22/2022 15:21:00,29.64,8133.12,,,,
23,04/22/2022 15:22:00,29.64,7813.12,,,,
24,04/22/2022 15:23:00,29.60,7144.96,,,,
25,04/22/2022 15:24:00,29.60,6602.24,,,,
26,04/22/2022 15:25:00,29.60,6190.08,,,,
27,04/22/2022 15:26:00,29.56,6400.00,,,,
28,04/22/2022 15:27:00,29.56,6469.12,,,,
29,04/22/2022 15:28:00,29.60,6502.40,,,,
30,04/22/2022 15:29:00,29.56,7262.72,,,,
31,04/22/2022 15:30:00,29.51,7656.96,,,,
32,04/22/2022 15:31:00,29.56,6886.40,,,,
33,04/22/2022 15:32:00,29.56,6305.28,,,,
34,04/22/2022 15:33:00,29.56,6382.08,,,,
35,04/22/2022 15:34:00,29.56,6658.56,,,,
36,04/22/2022 15:35:00,29.56,6359.04,,,,
37,04/22/2022 15:36:00,29.51,5075.20,,,,
38,04/22/2022 15:37:00,29.47,3105.28,,,,
39,04/22/2022 15:38:00,29.47,3796.48,,,,
40,04/22/2022 15:39:00,29.47,3507.20,,,,
41,04/22/2022 15:40:00,29.43,3134.72,,,,
42,04/22/2022 15:41:00,29.43,3534.08,,,,
43,04/22/2022 15:42:00,29.38,3375.36,,,,
44,04/22/2022 15:43:00,29.43,2946.56,,,,
45,04/22/2022 15:44:00,29.38,3002.88,,,,
46,04/22/2022 15:45:00,29.38,2933.76,,,,
47,04/22/2022 15:46:00,29.34,3056.64,,,,
48,04/22/2022 15:47:00,29.38,3064.32,,,,
49,04/22/2022 15:48:00,29.34,2705.92,,,,
50,04/22/2022 15:49:00,29.34,3147.52,,,,
51,04/22/2022 15:50:00,29.38,3955.20,,,,
52,04/22/2022 15:51:00,29.38,4037.12,,,,
53,04/22/2022 15:52:00,29.43,3523.84,,,,
54,04/22/2022 15:53:00,29.34,3488.00,,,,
55,04/22/2022 15:54:00,29.34,3965.44,,,,
56,04/22/2022 15:55:00,29.38,3523.84,,,,
57,04/22/2022 15:56:00,29.34,3102.72,,,,
58,04/22/2022 15:57:00,29.30,3070.72,,,,
59,04/22/2022 15:58:00,29.38,2876.16,,,,
60,04/22/2022 15:59:00,29.34,2735.36,,,,
61,04/22/2022 16:00:00,29.34,2782.72,,,,
62,04/22/2022 16:01:00,29.30,2730.24,,,,
63,04/22/2022 16:02:00,29.34,2632.96,,,,
64,04/22/2022 16:03:00,29.30,2554.24,,,,
65,04/22/2022 16:04:00,29.30,3128.32,,,,
66,04/22/2022 16:05:00,29.34,4835.84,,,,
67,04/22/2022 16:06:00,29.34,5624.32,,,,
68,04/22/2022 16:07:00,29.43,5821.44,,,,
69,04/22/2022 16:08:00,29.38,5995.52,,,,
70,04/22/2022 16:09:00,29.38,5762.56,,,,
71,04/22/2022 16:10:00,29.43,4887.04,,,,
72,04/22/2022 16:11:00,29.34,3815.68,,,,
73,04/22/2022 16:12:00,29.34,2988.80,,,,
74,04/22/2022 16:13:00,29.34,4081.92,,,,
75,04/22/2022 16:14:00,29.34,4270.08,,,,
76,04/22/2022 16:15:00,29.38,5463.04,,,,
77,04/22/2022 16:16:00,29.38,5286.40,,,,
78,04/22/2022 16:17:00,29.43,5304.32,,,,
79,04/22/2022 16:18:00,29.38,5163.52,,,,
80,04/22/2022 16:19:00,29.38,5393.92,,,,
81,04/22/2022 16:20:00,29.43,5409.28,,,,
82,04/22/2022 16:21:00,29.38,5248.00,,,,
83,04/22/2022 16:22:00,29.47,5227.52,,,,
84,04/22/2022 16:23:00,29.43,5114.88,,,,
85,04/22/2022 16:24:00,29.47,5114.88,,,,
86,04/22/2022 16:25:00,29.47,4604.16,,,,
87,04/22/2022 16:26:00,29.43,4270.08,,,,
88,04/22/2022 16:27:00,29.38,4876.80,,,,
89,04/22/2022 16:28:00,29.43,4757.76,,,,
90,04/22/2022 16:29:00,29.43,4627.20,,,,
91,04/22/2022 16:30:00,29.38,3910.40,,,,
92,04/22/2022 16:31:00,29.34,4407.04,,,,
93,04/22/2022 16:32:00,29.38,4563.20,,,,
