"Plot Title: Logger_9_final_cal"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444033, SEN S/N: 20444033, LBL: C)","Coupler Detached (LGR S/N: 20444033)","Coupler Attached (LGR S/N: 20444033)","Host Connected (LGR S/N: 20444033)","Stopped (LGR S/N: 20444033)","End Of File (LGR S/N: 20444033)"
1,04/22/22 02:30:00 PM,29.389,Logged,,,,
2,04/22/22 02:31:00 PM,29.365,,,,,
3,04/22/22 02:32:00 PM,29.414,,,,,
4,04/22/22 02:33:00 PM,29.240,,,,,
5,04/22/22 02:34:00 PM,29.065,,,,,
6,04/22/22 02:35:00 PM,28.965,,,,,
7,04/22/22 02:36:00 PM,28.965,,,,,
8,04/22/22 02:37:00 PM,28.866,,,,,
9,04/22/22 02:38:00 PM,28.965,,,,,
10,04/22/22 02:39:00 PM,29.340,,,,,
11,04/22/22 02:40:00 PM,29.414,,,,,
12,04/22/22 02:41:00 PM,29.439,,,,,
13,04/22/22 02:42:00 PM,29.464,,,,,
14,04/22/22 02:43:00 PM,29.490,,,,,
15,04/22/22 02:44:00 PM,29.540,,,,,
16,04/22/22 02:45:00 PM,29.615,,,,,
17,04/22/22 02:46:00 PM,29.715,,,,,
18,04/22/22 02:47:00 PM,29.665,,,,,
19,04/22/22 02:48:00 PM,29.590,,,,,
20,04/22/22 02:49:00 PM,29.640,,,,,
21,04/22/22 02:50:00 PM,29.615,,,,,
22,04/22/22 02:51:00 PM,29.490,,,,,
23,04/22/22 02:52:00 PM,29.365,,,,,
24,04/22/22 02:53:00 PM,29.290,,,,,
25,04/22/22 02:54:00 PM,29.340,,,,,
26,04/22/22 02:55:00 PM,29.365,,,,,
27,04/22/22 02:56:00 PM,29.439,,,,,
28,04/22/22 02:57:00 PM,29.590,,,,,
29,04/22/22 02:58:00 PM,29.840,,,,,
30,04/22/22 02:59:00 PM,30.016,,,,,
31,04/22/22 03:00:00 PM,30.142,,,,,
32,04/22/22 03:01:00 PM,30.091,,,,,
33,04/22/22 03:02:00 PM,30.117,,,,,
34,04/22/22 03:03:00 PM,30.192,,,,,
35,04/22/22 03:04:00 PM,30.142,,,,,
