date,time,tank,param,measurement,initials,notes
3/22/22,14:13,1,temp,29.059,DMBP,
3/22/22,14:14,2,temp,29.18,DMBP,
3/22/22,14:15,3,temp,29.038,DMBP,
3/22/22,14:17,4,temp,29.161,DMBP,
3/22/22,14:20,5,temp,29.147,DMBP,
3/22/22,14:24,6,temp,29.122,DMBP,
3/22/22,14:26,7,temp,29.171,DMBP,
3/22/22,14:27,8,temp,29.105,DMBP,
3/22/22,14:28,9,temp,29.13,DMBP,
3/22/22,14:31,10,temp,29.149,DMBP,
3/22/22,14:32,11,temp,29.159,DMBP,
3/22/22,14:33,12,temp,29.223,DMBP,
3/22/22,14:34,13,temp,29.164,DMBP,
3/22/22,14:36,14,temp,29.206,DMBP,
3/22/22,14:43,15,temp,29.318,DMBP,
3/22/22,14:42,16,temp,29.285,DMBP,
3/22/22,14:40,17,temp,29.247,DMBP,
3/22/22,14:39,18,temp,29.296,DMBP,
3/22/22,14:37,19,temp,29.225,DMBP,
3/22/22,14:45,20,temp,29.277,DMBP,
3/22/22,14:47,21,temp,29.254,DMBP,
3/22/22,14:49,22,temp,29.125,DMBP,
3/22/22,14:50,23,temp,29.183,DMBP,
3/22/22,14:54,24,temp,29.26,DMBP,
3/22/22,14:54,1,light,155,DMBP,cloudy on and off
3/22/22,14:54,1,light,158,DMBP,cloudy on and off
3/22/22,14:54,1,light,180,DMBP,cloudy on and off
3/22/22,14:54,1,light,151,DMBP,cloudy on and off
3/22/22,14:54,1,light,152,DMBP,cloudy on and off
3/22/22,14:55,2,light,178,DMBP,cloudy on and off
3/22/22,14:55,2,light,154,DMBP,cloudy on and off
3/22/22,14:55,2,light,162,DMBP,cloudy on and off
3/22/22,14:55,2,light,155,DMBP,cloudy on and off
3/22/22,14:55,2,light,158,DMBP,cloudy on and off
3/22/22,14:56,3,light,181,DMBP,cloudy on and off
3/22/22,14:56,3,light,198,DMBP,cloudy on and off
3/22/22,14:56,3,light,185,DMBP,cloudy on and off
3/22/22,14:56,3,light,187,DMBP,cloudy on and off
3/22/22,14:56,3,light,178,DMBP,cloudy on and off
3/22/22,14:56,4,light,198,DMBP,cloudy on and off
3/22/22,14:56,4,light,189,DMBP,cloudy on and off
3/22/22,14:56,4,light,181,DMBP,cloudy on and off
3/22/22,14:56,4,light,203,DMBP,cloudy on and off
3/22/22,14:56,4,light,201,DMBP,cloudy on and off
3/22/22,14:57,5,light,245,DMBP,cloudy on and off
3/22/22,14:57,5,light,263,DMBP,cloudy on and off
3/22/22,14:57,5,light,220,DMBP,cloudy on and off
3/22/22,14:57,5,light,218,DMBP,cloudy on and off
3/22/22,14:57,5,light,217,DMBP,cloudy on and off
3/22/22,14:58,6,light,222,DMBP,cloudy on and off
3/22/22,14:58,6,light,217,DMBP,cloudy on and off
3/22/22,14:58,6,light,221,DMBP,cloudy on and off
3/22/22,14:58,6,light,201,DMBP,cloudy on and off
3/22/22,14:58,6,light,219,DMBP,cloudy on and off
3/22/22,15:01,7,light,223,DMBP,cloudy on and off
3/22/22,15:01,7,light,247,DMBP,cloudy on and off
3/22/22,15:01,7,light,240,DMBP,cloudy on and off
3/22/22,15:01,7,light,239,DMBP,cloudy on and off
3/22/22,15:01,7,light,196,DMBP,cloudy on and off
