PreSens Measurement Studio 2,1.1.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
3/5/22,14:51:39,4,default,193491926,OXY-CH4,55.485,min,173.988,µmol/L,Humid,22.487,deg,80757,µV,29.448,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943529.61,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:40,4,default,193491926,OXY-CH4,55.497,min,173.851,µmol/L,Humid,22.497,deg,80759,µV,29.446,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943386.66,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:41,4,default,193491926,OXY-CH4,55.513,min,173.782,µmol/L,Humid,22.499,deg,80773,µV,29.453,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943302.28,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:42,4,default,193491926,OXY-CH4,55.53,min,173.728,µmol/L,Humid,22.502,deg,80774,µV,29.455,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943266.61,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:43,4,default,193491926,OXY-CH4,55.546,min,173.65,µmol/L,Humid,22.512,deg,80790,µV,29.441,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943235.4,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:44,4,default,193491926,OXY-CH4,55.563,min,173.602,µmol/L,Humid,22.515,deg,80798,µV,29.442,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943202.39,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:45,4,default,193491926,OXY-CH4,55.58,min,173.583,µmol/L,Humid,22.516,deg,80805,µV,29.443,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943191.63,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:46,4,default,193491926,OXY-CH4,55.597,min,173.549,µmol/L,Humid,22.518,deg,80820,µV,29.444,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943151.35,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:47,4,default,193491926,OXY-CH4,55.613,min,173.561,µmol/L,Humid,22.522,deg,80832,µV,29.43,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943173.21,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
3/5/22,14:51:48,4,default,193491926,OXY-CH4,55.63,min,173.389,µmol/L,Humid,22.528,deg,80840,µV,29.446,°C,1014,hPa,32,pmil,16,55.55,deg,20,°C,100,%a.s.,22.7,deg,20,°C,972,hPa,0.816,-0.01371,0.000397,-0.00013,0,10.11,Humid,25.03,0,46,943156.84,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,191107-118,3/5/22 13:55,0000-00,0,no battery,V
