sample.date,colony.ID,metal.tag,treatment,fragment.pieces,embryos,notes
20221009,ACR_10,59,AMBIENT,10,85,
20221009,ACR_7,60,AMBIENT,8,80,
20221009,ACR_11,63,AMBIENT,8,15,
20221009,ACR_3,67,AMBIENT,3,30,
20221009,ACR_6,89,AMBIENT,8,46,
20221009,ACR_2,90,AMBIENT,8,28,
20221009,ACR_5,91,AMBIENT,8,13,
20221009,ACR_1,93,AMBIENT,7,39,
20221009,ACR_9,96,AMBIENT,10,46,
20221009,ACR_15,277,HEATWAVE,13,70,
20221009,ACR_16,278,HEATWAVE,11,85,
20221009,ACR_19,279,HEATWAVE,8,61,
20221009,ACR_21,281,HEATWAVE,5,30,
20221009,ACR_13,282,HEATWAVE,7,51,
20221009,ACR_17,286,HEATWAVE,7,11,
20221009,ACR_18,287,HEATWAVE,9,62,
