date,tube.ID,treatment,tank.number,timepoint,preservation.method,container.type,experiment,storage,notes
20220319,ACR1.1,initial,1,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR2.1,initial,2,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR3.1,initial,3,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR4.1,initial,4,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR5.1,initial,5,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR6.1,initial,6,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR7.1,initial,7,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR8.1,initial,8,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR9.1,initial,9,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR10.1,initial,10,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR11.1,initial,11,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR12.1,initial,12,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR13.1,initial,13,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR14.1,initial,14,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR15.1,initial,15,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR16.1,initial,16,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR17.1,initial,17,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR18.1,initial,18,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR19.1,initial,19,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR20.1,initial,20,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR21.1,initial,21,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR22.1,initial,22,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR23.1,initial,23,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
