treatment,tag_color,fragment_ID,colony_ID,genotype,temp.probe,tank.label,timepoint,tank_num,notes
ambient,blue,ACR1_1,ACR1,1,NONE,G1-C1,1,17,
ambient,blue,ACR1_2,ACR1,1,NONE,G1-C1,2,17,
ambient,blue,ACR1_3,ACR1,1,NONE,G1-C1,3,17,
ambient,blue,ACR1_4,ACR1,1,NONE,G1-C1,4,17,
ambient,blue,ACR1_5,ACR1,1,NONE,G1-C1,5,17,
ambient,blue,ACR1_6,ACR1,1,NONE,G1-C1,extra,17,
ambient,blue,ACR1_7,ACR1,1,NONE,G1-C1,extra,17,
hot,red,ACR13_1,ACR13,1,TEMP1,G1-C13,1,10,
hot,red,ACR13_2,ACR13,1,TEMP1,G1-C13,2,10,
hot,red,ACR13_3,ACR13,1,TEMP1,G1-C13,3,10,
hot,red,ACR13_4,ACR13,1,TEMP1,G1-C13,4,10,
hot,red,ACR13_5,ACR13,1,TEMP1,G1-C13,5,10,
hot,red,ACR13_6,ACR13,1,TEMP1,G1-C13,extra,10,
hot,red,ACR13_7,ACR13,1,TEMP1,G1-C13,extra,10,
ambient,blue,ACR2_1,ACR2,2,NONE,G2-C2,1,14,
ambient,blue,ACR2_2,ACR2,2,NONE,G2-C2,2,14,
ambient,blue,ACR2_3,ACR2,2,NONE,G2-C2,3,14,
ambient,blue,ACR2_4,ACR2,2,NONE,G2-C2,4,14,
ambient,blue,ACR2_5,ACR2,2,NONE,G2-C2,5,14,
ambient,blue,ACR2_6,ACR2,2,NONE,G2-C2,extra,14,
ambient,blue,ACR2_7,ACR2,2,NONE,G2-C2,extra,14,
hot,red,ACR14_1,ACR14,2,TEMP3,G2-C14,1,8,
hot,red,ACR14_2,ACR14,2,TEMP3,G2-C14,2,8,
hot,red,ACR14_3,ACR14,2,TEMP3,G2-C14,3,8,
hot,red,ACR14_4,ACR14,2,TEMP3,G2-C14,4,8,
hot,red,ACR14_5,ACR14,2,TEMP3,G2-C14,5,8,
