Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\March2022\20220326_ACR_TP1_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,3/26/22,,,,,,,,,,,,,
Time,4:53:27 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22,,,,,,,,,,,,,
Actual Temperature:,22,,,,,,,,,,,,,
Actual Temperature:,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.028,0.029,0.136,0.134,0.097,0.099,0.095,0.095,0.103,0.087,0.079,0.187,630
,,0.028,0.029,0.252,0.258,0.153,0.158,0.211,0.214,0.2,0.183,0.198,0.309,663
,,0.028,0.029,0.082,0.082,0.067,0.072,0.05,0.049,0.065,0.046,0.037,0.13,750
,B,0.083,0.092,0.089,0.167,0.102,0.107,0.145,0.09,0.08,0.088,0.08,0.114,630
,,0.226,0.263,0.218,0.296,0.219,0.232,0.21,0.181,0.211,0.244,0.166,0.168,663
,,0.032,0.032,0.045,0.113,0.06,0.062,0.09,0.056,0.034,0.034,0.047,0.108,750
,C,0.078,0.102,0.095,0.367,0.106,0.098,0.122,0.222,0.088,0.102,0.101,0.119,630
,,0.175,0.213,0.173,0.441,0.231,0.242,0.254,0.318,0.17,0.188,0.245,0.279,663
,,0.039,0.062,0.065,0.311,0.06,0.048,0.087,0.164,0.053,0.061,0.051,0.06,750
,D,0.093,0.093,0.099,0.255,0.23,0.139,0.234,0.151,0.083,0.08,0.143,0.155,630
,,0.2,0.202,0.193,0.464,0.353,0.289,0.267,0.289,0.186,0.192,0.377,0.39,663
,,0.051,0.047,0.061,0.33,0.169,0.084,0.182,0.099,0.043,0.04,0.059,0.069,750
,E,0.067,0.067,0.032,0.035,0.037,0.046,0.037,0.071,0.031,0.033,0.029,0.029,630
,,0.136,0.136,0.031,0.034,0.037,0.046,0.037,0.071,0.031,0.033,0.029,0.029,663
,,0.043,0.039,0.031,0.033,0.036,0.045,0.036,0.07,0.031,0.033,0.029,0.029,750
,F,0.033,0.037,0.03,0.03,0.032,0.031,0.032,0.033,0.032,0.036,0.029,0.031,630
,,0.033,0.035,0.03,0.03,0.032,0.031,0.032,0.033,0.031,0.036,0.028,0.031,663
,,0.032,0.034,0.029,0.03,0.031,0.031,0.031,0.032,0.031,0.035,0.028,0.031,750
,G,0.037,0.032,0.031,0.031,0.031,0.029,0.032,0.029,0.032,0.035,0.087,0.031,630
,,0.036,0.032,0.031,0.031,0.031,0.029,0.031,0.029,0.031,0.034,0.086,0.031,663
,,0.036,0.031,0.031,0.03,0.031,0.029,0.031,0.029,0.032,0.034,0.087,0.03,750
,H,0.035,0.031,0.03,0.035,0.03,0.03,0.031,0.034,0.031,0.036,0.03,0.03,630
,,0.035,0.031,0.03,0.035,0.03,0.03,0.031,0.033,0.031,0.035,0.029,0.03,663
,,0.034,0.03,0.029,0.034,0.03,0.029,0.03,0.033,0.031,0.035,0.029,0.03,750
