well,fragment_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR1_1
B8,ACR1_1
B9,ACR2_1
B10,ACR2_1
B11,ACR3_1
B12,ACR3_1
C1,ACR4_1
C2,ACR4_1
C3,ACR5_1
C4,ACR5_1
C5,ACR6_1
C6,ACR6_1
C7,ACR7_1
C8,ACR7_1
C9,ACR8_1
C10,ACR8_1
C11,ACR9_1
C12,ACR9_1
D1,ACR10_1
D2,ACR10_1
D3,ACR11_1
D4,ACR11_1
D5,ACR12_1
D6,ACR12_1
D7,ACR13_1
D8,ACR13_1
D9,ACR14_1
D10,ACR14_1
D11,ACR15_1
D12,ACR15_1
E1,ACR16_1
E2,ACR16_1
E3,ACR17_1
E4,ACR17_1
E5,ACR18_1
E6,ACR18_1
E7,ACR19_1
E8,ACR19_1
E9,ACR20_1
E10,ACR20_1
E11,ACR21_1
E12,ACR21_1
F1,ACR22_1
F2,ACR22_1
F3,ACR23_1
F4,ACR23_1
F5,ACR24_1
F6,ACR24_1
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
