fragment_ID,timepoint,date_sampled,tank.num,treatment
ACR1_1,TP1,20220319,17,initial
ACR2_1,TP1,20220319,14,initial
ACR3_1,TP1,20220319,7,initial
ACR4_1,TP1,20220319,24,initial
ACR5_1,TP1,20220319,13,initial
ACR6_1,TP1,20220319,9,initial
ACR7_1,TP1,20220319,3,initial
ACR8_1,TP1,20220319,19,initial
ACR9_1,TP1,20220319,21,initial
ACR10_1,TP1,20220319,5,initial
ACR11_1,TP1,20220319,1,initial
ACR12_1,TP1,20220319,11,initial
ACR13_1,TP1,20220319,10,initial
ACR14_1,TP1,20220319,8,initial
ACR15_1,TP1,20220319,20,initial
ACR16_1,TP1,20220319,18,initial
ACR17_1,TP1,20220319,4,initial
ACR18_1,TP1,20220319,22,initial
ACR19_1,TP1,20220319,16,initial
ACR20_1,TP1,20220319,2,initial
ACR21_1,TP1,20220319,15,initial
ACR22_1,TP1,20220319,12,initial
ACR23_1,TP1,20220319,23,initial
ACR24_1,TP1,20220319,6,initial
