Pan.ID,fragment_ID,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
73,ACR1_2,Host,TP2,0.34291,0.38342,0.37741
283,ACR1_2,Sym,TP2,0.38564,0.39832,0.39581
34,ACR10_2,Host,TP2,0.37776,0.4306,0.42315
8,ACR10_2,Sym,TP2,0.48374,0.49988,0.49438
57,ACR11_2,Host,TP2,0.34924,0.40587,0.39504
11,ACR11_2,Sym,TP2,0.36175,0.38032,0.37343
293,ACR12_2,Host,TP2,0.38115,0.43013,0.42724
200,ACR12_2,Sym,TP2,0.50162,0.51674,0.51268
230,ACR13_2,Host,TP2,0.36565,0.39654,0.39062
299,ACR13_2,Sym,TP2,0.3782,0.40364,0.39677
284,ACR14_2,Host,TP2,0.38898,0.43807,0.43096
66,ACR14_2,Sym,TP2,0.37524,0.38761,0.3866
233,ACR15_2,Host,TP2,0.37104,0.42253,0.41528
221,ACR15_2,Sym,TP2,0.4847,0.50032,0.49581
79,ACR16_2,Host,TP2,0.34147,0.39393,0.38698
300,ACR16_2,Sym,TP2,0.36925,0.38638,0.38045
82,ACR17_2,Host,TP2,0.37653,0.41922,0.4132
38,ACR17_2,Sym,TP2,0.37658,0.39118,0.38744
26,ACR18_2,Host,TP2,0.36062,0.41123,0.40306
206,ACR18_2,Sym,TP2,0.5126,0.52726,0.52335
42,ACR19_2,Host,TP2,0.35883,0.41042,0.40228
305,ACR19_2,Sym,TP2,0.35327,0.3679,0.36425
59,ACR2_2,Host,TP2,0.35695,0.38934,0.38487
310,ACR2_2,Sym,TP2,0.37506,0.38864,0.38543
47,ACR20_2,Host,TP2,0.38463,0.43209,0.42648
214,ACR20_2,Sym,TP2,0.42872,0.44177,0.43917
307,ACR21_2,Host,TP2,0.3628,0.4098,0.4049
56,ACR21_2,Sym,TP2,0.35921,0.37177,0.36949
74,ACR22_2,Host,TP2,0.30187,0.35277,0.34506
252,ACR22_2,Sym,TP2,0.39282,0.4095,0.40488
65,ACR23_2,Host,TP2,0.36953,0.42683,0.41596
207,ACR23_2,Sym,TP2,0.48906,0.50765,0.5015
295,ACR24_2,Host,TP2,0.38048,0.43034,0.42358
210,ACR24_2,Sym,TP2,0.47471,0.48838,0.48464
277,ACR3_2,Host,TP2,0.33102,0.38134,0.37528
301,ACR3_2,Sym,TP2,0.40629,0.4214,0.4173
219,ACR4_2,Host,TP2,0.51943,0.56096,0.55231
58,ACR4_2,Sym,TP2,0.34518,0.35897,0.35508
312,ACR5_2,Host,TP2,0.37726,0.43466,0.42501
229,ACR5_2,Sym,TP2,0.49726,0.51532,0.50795
14,ACR6_2,Host,TP2,0.363461,0.41766,0.40793
290,ACR6_2,Sym,TP2,0.39227,0.40655,0.40388
90,ACR7_2,Host,TP2,0.31938,0.37338,0.36183
46,ACR7_2,Sym,TP2,0.37716,0.39063,0.38741
253,ACR8_2,Host,TP2,0.40025,0.43587,0.4298
256,ACR8_2,Sym,TP2,0.38316,0.39829,0.39358
227,ACR9_2,Host,TP2,0.50813,0.54432,0.53621
217,ACR9_2,Sym,TP2,0.49603,0.50985,0.50648
