well,fragment_ID
A1,BK
A2,BK
A3,ACR1_2
A4,ACR1_2
A5,ACR2_2
A6,ACR2_2
A7,ACR3_2
A8,ACR3_2
A9,ACR4_2
A10,ACR4_2
A11,ACR5_2
A12,ACR5_2
B1,ACR6_2
B2,ACR6_2
B3,ACR7_2
B4,ACR7_2
B5,ACR8_2
B6,ACR8_2
B7,ACR9_2
B8,ACR9_2
B9,ACR10_2
B10,ACR10_2
B11,ACR11_2
B12,ACR11_2
C1,ACR12_2
C2,ACR12_2
C3,ACR13_2
C4,ACR13_2
C5,ACR14_2
C6,ACR14_2
C7,ACR15_2
C8,ACR15_2
C9,ACR16_2
C10,ACR16_2
C11,ACR17_2
C12,ACR17_2
D1,ACR18_2
D2,ACR18_2
D3,ACR19_2
D4,ACR19_2
D5,ACR20_2
D6,ACR20_2
D7,ACR21_2
D8,ACR21_2
D9,ACR22_2
D10,ACR22_2
D11,ACR23_2
D12,ACR23_2
E1,ACR24_2
E2,ACR24_2
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,
