fragment_ID,timepoint,homogenate_vol_ml,notes,date_airbrushed
ACR1_2,TP2,25,,20220331
ACR2_2,TP2,21,,20220331
ACR3_2,TP2,26,,20220331
ACR4_2,TP2,22.5,,20220331
ACR5_2,TP2,22.5,,20220331
ACR6_2,TP2,10,,20220331
ACR7_2,TP2,15,,20220331
ACR8_2,TP2,15,,20220331
ACR9_2,TP2,16,,20220331
ACR10_2,TP2,25,,20220331
ACR11_2,TP2,10,,20220331
ACR12_2,TP2,30,,20220331
ACR13_2,TP2,25,,20220331
ACR14_2,TP2,25,,20220331
ACR15_2,TP2,12.5,,20220331
ACR16_2,TP2,20,,20220331
ACR17_2,TP2,15,,20220331
ACR18_2,TP2,22.5,,20220331
ACR19_2,TP2,36,,20220331
ACR20_2,TP2,30,,20220331
ACR21_2,TP2,14,,20220331
ACR22_2,TP2,21,,20220331
ACR23_2,TP2,12,,20220331
ACR24_2,TP2,21,,20220331
