fragment_ID,Sample,Diameter,weight1.g,weight2.g,timepoint
1,Standard,7.44,140.4,146,JAN
2,Standard,6.22,93.271,96.842,JAN
3,Standard,5.08,46.368,48.827,JAN
4,Standard,3.16,10.977,11.685,JAN
5,Standard,2.52,6.212,6.59,JAN
6,Standard,1.9,2.204,2.411,JAN
7,Standard,1.18,0.577,0.649,JAN
ACR1_2,coral,NA,4.621,5.043,TP2
ACR2_2,coral,NA,3.287,3.683,TP2
ACR3_2,coral,NA,2.247,2.713,TP2
ACR4_2,coral,NA,5.764,6.316,TP2
ACR5_2,coral,NA,3.773,4.473,TP2
ACR6_2,coral,NA,1.303,1.494,TP2
ACR7_2,coral,NA,2.647,2.993,TP2
ACR8_2,coral,NA,5.508,5.885,TP2
ACR9_2,coral,NA,2.142,2.472,TP2
ACR10_2,coral,NA,13.507,14.151,TP2
ACR11_2,coral,NA,6.55,6.979,TP2
ACR12_2,coral,NA,3.783,4.436,TP2
ACR13_2,coral,NA,5.99,6.58,TP2
ACR14_2,coral,NA,2.927,3.382,TP2
ACR15_2,coral,NA,0.99,1.19,TP2
ACR16_2,coral,NA,2.457,3.041,TP2
ACR17_2,coral,NA,1.446,1.682,TP2
ACR18_2,coral,NA,3.595,3.983,TP2
ACR19_2,coral,NA,5.403,6.159,TP2
ACR20_2,coral,NA,8.575,9.156,TP2
ACR21_2,coral,NA,1.697,1.883,TP2
ACR22_2,coral,NA,8.177,8.702,TP2
ACR23_2,coral,NA,2.667,3.152,TP2
ACR24_2,coral,NA,1.73,2.124,TP2
