Date,fragment_ID,Chamber.Channel,Chamber,Position,Bin.ID,Run,Temp.Cat,Treatment,Chamber.Vol.L
20220331,ACR6_3,1,1,1,1,1,28,ambient,0.61
20220331,ACR22_3,2,2,2,1,1,28,hot,0.619
20220331,ACR7_3,3,3,3,1,1,28,ambient,0.617
20220331,ACR19_3,4,4,6,1,1,28,hot,0.618
20220331,ACR4_3,6,6,7,2,1,28,ambient,0.612
20220331,ACR20_3,7,7,8,2,1,28,hot,0.604
20220331,ACR10_3,8,8,9,2,1,28,ambient,0.602
20220331,ACR21_3,9,9,10,2,1,28,hot,0.604
20220331,BK1_3,5,5,4,1,1,28,BLANK,0.62
20220331,BK2_3,10,10,12,2,1,28,BLANK,0.62
20220331,ACR1_3,1,1,1,1,2,28,ambient,0.61
20220331,ACR23_3,2,2,2,1,2,28,hot,0.619
20220331,ACR8_3,3,3,4,1,2,28,ambient,0.603
20220331,ACR15_3,4,4,6,1,2,28,hot,0.612
20220331,ACR9_3,6,6,7,2,2,28,ambient,0.611
20220331,ACR18_3,7,7,9,2,2,28,hot,0.611
20220331,ACR5_3,8,8,10,2,2,28,ambient,0.619
20220331,ACR17_3,9,9,12,2,2,28,hot,0.608
20220331,BK3_3,5,5,3,1,2,28,BLANK,0.62
20220331,BK4_3,10,10,8,2,2,28,BLANK,0.62
20220331,ACR2_3,1,1,1,1,3,28,ambient,0.617
20220331,ACR24_3,2,2,2,1,3,28,hot,0.618
20220331,ACR3_3,3,3,3,1,3,28,ambient,0.619
20220331,ACR16_3,4,4,6,1,3,28,hot,0.616
20220331,ACR11_3,6,6,7,2,3,28,ambient,0.618
20220331,ACR13_3,7,7,8,2,3,28,hot,0.619
20220331,ACR12_3,8,8,10,2,3,28,ambient,0.615
20220331,ACR14_3,9,9,12,2,3,28,hot,0.618
20220331,BK5_3,5,5,4,1,3,28,BLANK,0.62
20220331,BK6_3,10,10,9,2,3,28,BLANK,0.62
