well,fragment_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR1_3
B8,ACR1_3
B9,ACR2_3
B10,ACR2_3
B11,ACR3_3
B12,ACR3_3
C1,ACR4_3
C2,ACR4_3
C3,ACR5_3
C4,ACR5_3
C5,ACR6_3
C6,ACR6_3
C7,ACR7_3
C8,ACR7_3
C9,ACR8_3
C10,ACR8_3
C11,ACR9_3
C12,ACR9_3
D1,ACR10_3
D2,ACR10_3
D3,ACR11_3
D4,ACR11_3
D5,ACR12_3
D6,ACR12_3
D7,ACR13_3
D8,ACR13_3
D9,ACR14_3
D10,ACR14_3
D11,ACR15_3
D12,ACR15_3
E1,ACR16_3
E2,ACR16_3
E3,ACR17_3
E4,ACR17_3
E5,ACR18_3
E6,ACR18_3
E7,ACR19_3
E8,ACR19_3
E9,ACR20_3
E10,ACR20_3
E11,ACR21_3
E12,ACR21_3
F1,ACR22_3
F2,ACR22_3
F3,ACR23_3
F4,ACR23_3
F5,ACR24_3
F6,ACR24_3
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
