fragment_ID,timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted,Average Per Square,Std.Dev. Per square,CV
ACR1_3,3,2,176,179,159,180,174,152,,,,Lauren,,85,5.822370651,6.849847825
ACR2_3,3,1,187,170,211,178,185,199,,,,Lauren,,188.3333333,14.71960144,7.815717581
ACR3_3,3,1,105,87,97,114,114,116,,,,Lauren,,105.5,11.57151675,10.96826233
ACR4_3,3,1,105,107,102,117,135,122,,,,Lauren,,114.6666667,12.53262409,10.92961403
ACR5_3,3,1,110,98,125,104,123,102,,,,Lauren,,110.3333333,11.29011367,10.23273142
ACR6_3,3,1,141,146,153,148,134,146,,,,Lauren,,144.6666667,6.501281925,4.493973681
ACR7_3,3,2,199,203,213,212,221,197,,,,Lauren,,103.75,4.666369038,4.497705097
ACR8_3,3,2,191,203,210,209,181,222,,,,Lauren,,101.3333333,7.325753659,7.229362163
ACR9_3,3,1,160,141,177,151,144,163,,,,Lauren,,156,13.41640786,8.600261452
ACR10_3,3,1,142,136,169,153,178,155,,,,Lauren,,155.5,15.85875153,10.19855404
ACR11_3,3,1,110,120,134,115,129,110,,,,Lauren,,119.6666667,10.01332446,8.367680604
ACR12_3,3,2,193,180,198,190,175,206,,,,Lauren,,95.16666667,5.715476066,6.005754185
ACR13_3,3,1,100,111,124,91,94,122,113,110,,Lauren,,108.125,12.18239362,11.26695364
ACR14_3,3,1,118,110,126,124,108,102,,,,Lauren,,114.6666667,9.521904571,8.303986545
ACR15_3,3,1,149,180,168,187,182,157,,,,Lauren,,170.5,15.13604968,8.877448494
ACR16_3,3,1,106,110,122,111,126,136,,,,Lauren,,118.5,11.48477253,9.691791162
ACR17_3,3,2,166,141,160,169,175,147,,,,Lauren,,79.83333333,6.600505031,8.267855989
ACR18_3,3,2,211,194,185,193,200,216,,,,Lauren,,99.91666667,5.860176334,5.865063887
ACR19_3,3,2,144,154,144,166,154,134,,,,Danielle,20220426,74.66666667,5.537749242,7.416628449
ACR20_3,3,1,124,106,111,101,101,100,,,,Danielle,20220426,107.1666667,9.23940835,8.621531898
ACR21_3,3,2,172,186,152,192,200,192,,,,Danielle,20220426,91.16666667,8.773064839,9.623105856
ACR22_3,3,1,110,105,107,101,102,101,,,,Danielle,20220426,104.3333333,3.669695719,3.517280241
ACR23_3,3,2,188,178,142,146,142,174,156,176,,Danielle,20220426,81.375,9.179752564,11.28080192
ACR24_3,3,1,112,102,98,101,99,102,,,,Danielle,20220426,102.3333333,5.006662228,4.892503806
