Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\November2022\20221113_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,11/13/22,,,,,,,,,,,,,
Time,5:55:05 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25.8,,,,,,,,,,,,,
Actual Temperature:,25.8,,,,,,,,,,,,,
Actual Temperature:,25.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.067,0.072,0.078,0.084,0.079,0.083,0.054,0.056,0.081,0.09,0.075,0.078,630
,,0.174,0.21,0.233,0.263,0.215,0.242,0.14,0.152,0.239,0.264,0.222,0.239,663
,,0.029,0.03,0.031,0.03,0.035,0.036,0.029,0.028,0.032,0.031,0.032,0.03,750
,B,0.06,0.061,0.056,0.059,0.051,0.057,0.051,0.055,0.082,0.09,0.064,0.073,630
,,0.159,0.174,0.133,0.148,0.127,0.141,0.127,0.143,0.266,0.299,0.182,0.204,663
,,0.031,0.028,0.033,0.033,0.028,0.031,0.029,0.029,0.029,0.03,0.033,0.035,750
,C,0.035,0.027,0.048,0.051,0.073,0.081,0.051,0.057,0.057,0.062,0.057,0.059,630
,,0.034,0.027,0.115,0.125,0.222,0.248,0.128,0.146,0.146,0.161,0.147,0.16,663
,,0.033,0.027,0.029,0.03,0.029,0.031,0.03,0.032,0.031,0.031,0.03,0.028,750
,D,0.074,0.079,0.071,0.078,0.066,0.07,0.056,0.059,0.08,0.085,0.06,0.063,630
,,0.224,0.248,0.199,0.223,0.183,0.199,0.15,0.163,0.251,0.273,0.173,0.188,663
,,0.032,0.031,0.029,0.034,0.029,0.03,0.029,0.028,0.032,0.031,0.028,0.029,750
,E,0.064,0.068,0.119,0.13,0.066,0.071,0.105,0.115,0.071,0.071,0.074,0.079,630
,,0.189,0.209,0.409,0.448,0.197,0.22,0.214,0.239,0.174,0.187,0.229,0.25,663
,,0.028,0.028,0.032,0.032,0.029,0.03,0.067,0.072,0.038,0.035,0.029,0.029,750
,F,0.073,0.081,0.07,0.077,0.055,0.061,0.057,0.057,0.067,0.072,0.058,0.06,630
,,0.218,0.247,0.193,0.217,0.139,0.155,0.143,0.154,0.177,0.198,0.156,0.171,663
,,0.03,0.032,0.034,0.036,0.029,0.032,0.032,0.029,0.034,0.035,0.03,0.029,750
,G,0.059,0.065,0.105,0.111,0.077,0.083,0.078,0.085,0.055,0.061,0.03,0.03,630
,,0.131,0.146,0.346,0.383,0.227,0.253,0.244,0.272,0.138,0.154,0.03,0.03,663
,,0.036,0.038,0.032,0.03,0.033,0.035,0.029,0.03,0.03,0.033,0.03,0.03,750
,H,0.049,0.054,0.045,0.048,0.053,0.058,0.041,0.043,0.048,0.049,0.06,0.062,630
,,0.115,0.131,0.08,0.086,0.133,0.149,0.071,0.077,0.112,0.123,0.155,0.172,663
,,0.029,0.03,0.032,0.029,0.029,0.03,0.028,0.029,0.03,0.029,0.031,0.029,750
