well,fragment_ID
A1,NA
A2,NA
A3,NA
A4,NA
A5,NA
A6,NA
A7,NA
A8,NA
A9,NA
A10,NA
A11,NA
A12,NA
B1,NA
B2,NA
B3,NA
B4,NA
B5,NA
B6,NA
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,BK
C2,BK
C3,NA
C4,NA
C5,NA
C6,NA
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,NA
D2,NA
D3,NA
D4,NA
D5,NA
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,ACR9_4
H2,ACR9_4
H3,ACR13_4
H4,ACR13_4
H5,ACR11_4
H6,ACR11_4
H7,ACR17_4
H8,ACR17_4
H9,ACR14_4
H10,ACR14_4
H11,ACR12_4
H12,ACR12_4
