Well,562:562
A1,2.284
B1,0.281
C1,1.411
D1,1.033
E1,1.14
F1,1.283
G1,0.054
H1,0.051
A2,2.248
B2,0.279
C2,1.35
D2,0.956
E2,1.071
F2,1.264
G2,0.048
H2,0.046
A3,1.783
B3,0.127
C3,1.515
D3,1.217
E3,1.072
F3,1.477
G3,0.047
H3,0.046
A4,1.767
B4,0.126
C4,1.389
D4,1.182
E4,1.072
F4,1.447
G4,0.046
H4,0.047
A5,1.26
B5,0.103
C5,1.727
D5,1.241
E5,1.604
F5,1.074
G5,0.047
H5,0.047
A6,1.279
B6,0.102
C6,1.725
D6,1.262
E6,1.497
F6,1.081
G6,0.051
H6,0.047
A7,1.003
B7,0.883
C7,1.018
D7,1.039
E7,0.991
F7,0.048
G7,0.048
H7,0.048
A8,1.02
B8,0.932
C8,0.98
D8,1.036
E8,0.997
F8,0.047
G8,0.049
H8,0.046
A9,0.746
B9,1.433
C9,0.909
D9,1.244
E9,1.263
F9,0.046
G9,0.048
H9,0.047
A10,0.731
B10,1.374
C10,0.901
D10,1.19
E10,1.226
F10,0.046
G10,0.047
H10,0.048
A11,0.451
B11,1.501
C11,1.173
D11,1.358
E11,0.888
F11,0.046
G11,0.046
H11,0.046
A12,0.452
B12,1.474
C12,1.213
D12,1.492
E12,0.856
F12,0.046
G12,0.047
H12,0.048
