Well,562:562
A1,2.689
B1,0.28
C1,0.965
D1,0.729
E1,0.791
F1,0.816
G1,0.043
H1,0.046
A2,2.395
B2,0.279
C2,0.953
D2,0.713
E2,0.811
F2,0.782
G2,0.044
H2,0.044
A3,1.984
B3,0.116
C3,1.019
D3,0.873
E3,0.788
F3,0.954
G3,0.045
H3,0.046
A4,1.825
B4,0.114
C4,0.991
D4,0.868
E4,0.773
F4,0.937
G4,0.043
H4,0.043
A5,1.31
B5,0.091
C5,1.251
D5,0.865
E5,1.213
F5,0.716
G5,0.045
H5,0.045
A6,1.322
B6,0.092
C6,1.232
D6,0.874
E6,1.199
F6,0.743
G6,0.043
H6,0.046
A7,1.016
B7,0.631
C7,0.686
D7,0.737
E7,0.729
F7,0.045
G7,0.046
H7,0.046
A8,1.015
B8,0.617
C8,0.743
D8,0.719
E8,0.707
F8,0.045
G8,0.045
H8,0.043
A9,0.748
B9,0.98
C9,0.857
D9,0.864
E9,0.896
F9,0.045
G9,0.045
H9,0.044
A10,0.744
B10,0.976
C10,0.858
D10,0.871
E10,0.908
F10,0.046
G10,0.044
H10,0.046
A11,0.443
B11,1.003
C11,0.846
D11,1.004
E11,0.642
F11,0.044
G11,0.044
H11,0.043
A12,0.446
B12,1.009
C12,0.862
D12,1.015
E12,0.644
F12,0.043
G12,0.043
H12,0.044
