Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\April2022\20220422_ACR_April2022_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 2,,,,,,,,,,,,,
Date,4/22/22,,,,,,,,,,,,,
Time,11:09:04 AM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.034,0.03,0.078,0.088,0.069,0.074,0.101,0.122,0.085,0.097,0.073,0.069,630
,,0.035,0.031,0.213,0.251,0.177,0.197,0.293,0.351,0.233,0.266,0.174,0.185,663
,,0.032,0.029,0.032,0.032,0.034,0.035,0.032,0.039,0.03,0.032,0.038,0.03,750
,B,0.087,0.096,0.083,0.094,0.062,0.065,0.077,0.096,0.08,0.108,0.103,0.119,630
,,0.245,0.283,0.219,0.253,0.144,0.163,0.217,0.256,0.214,0.262,0.309,0.355,663
,,0.033,0.033,0.032,0.034,0.033,0.033,0.031,0.042,0.031,0.051,0.03,0.036,750
,C,0.067,0.071,0.055,0.062,0.051,0.054,0.094,0.093,0.069,0.075,0.064,0.072,630
,,0.158,0.175,0.116,0.135,0.098,0.11,0.233,0.254,0.174,0.195,0.155,0.178,663
,,0.033,0.032,0.033,0.036,0.034,0.034,0.041,0.031,0.031,0.032,0.032,0.035,750
,D,0.075,0.079,0.069,0.077,0.066,0.075,0.055,0.062,0.078,0.089,0.083,0.093,630
,,0.189,0.211,0.178,0.205,0.171,0.192,0.117,0.135,0.199,0.226,0.223,0.258,663
,,0.035,0.032,0.031,0.034,0.033,0.036,0.032,0.035,0.032,0.035,0.033,0.035,750
,E,0.092,0.1,0.114,0.134,0.084,0.092,0.103,0.099,0.083,0.092,0.08,0.088,630
,,0.249,0.279,0.354,0.432,0.224,0.262,0.282,0.272,0.226,0.263,0.211,0.244,663
,,0.033,0.033,0.034,0.034,0.036,0.035,0.04,0.036,0.032,0.032,0.034,0.034,750
,F,0.068,0.073,0.085,0.092,0.076,0.08,0.043,0.032,0.037,0.038,0.039,0.035,630
,,0.167,0.184,0.205,0.233,0.175,0.193,0.043,0.032,0.037,0.038,0.039,0.034,663
,,0.033,0.033,0.038,0.038,0.038,0.036,0.042,0.031,0.036,0.037,0.038,0.034,750
,G,0.057,0.041,0.035,0.035,0.04,0.038,0.047,0.035,0.042,0.037,0.035,0.034,630
,,0.056,0.04,0.034,0.034,0.039,0.037,0.047,0.034,0.042,0.036,0.034,0.033,663
,,0.054,0.039,0.034,0.034,0.038,0.036,0.045,0.033,0.04,0.035,0.034,0.032,750
,H,0.034,0.039,0.04,0.037,0.031,0.041,0.035,0.037,0.036,0.035,0.036,0.034,630
,,0.033,0.038,0.039,0.036,0.031,0.04,0.035,0.036,0.036,0.035,0.036,0.033,663
,,0.033,0.037,0.039,0.036,0.03,0.04,0.035,0.036,0.034,0.034,0.035,0.032,750
