well,fragment_ID
A1,NA
A2,NA
A3,NA
A4,NA
A5,NA
A6,NA
A7,NA
A8,NA
A9,NA
A10,NA
A11,NA
A12,NA
B1,NA
B2,NA
B3,NA
B4,NA
B5,NA
B6,NA
B7,BK
B8,BK
B9,NA
B10,NA
B11,NA
B12,NA
C1,NA
C2,NA
C3,NA
C4,NA
C5,NA
C6,NA
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,NA
D2,NA
D3,ACR19_5
D4,ACR19_5
D5,ACR1_5
D6,ACR1_5
D7,ACR2_5
D8,ACR2_5
D9,ACR3_5
D10,ACR3_5
D11,ACR4_5
D12,ACR4_5
E1,ACR5_5
E2,ACR5_5
E3,ACR6_5
E4,ACR6_5
E5,ACR7_5
E6,ACR7_5
E7,ACR8_5
E8,ACR8_5
E9,ACR10_5
E10,ACR10_5
E11,ACR9_5
E12,ACR9_5
F1,ACR11_5
F2,ACR11_5
F3,ACR20_5
F4,ACR20_5
F5,ACR17_5
F6,ACR17_5
F7,ACR18_5
F8,ACR18_5
F9,ACR21_5
F10,ACR21_5
F11,ACR22_5
F12,ACR22_5
G1,ACR23_5
G2,ACR23_5
G3,ACR24_5
G4,ACR24_5
G5,ACR16_5
G6,ACR16_5
G7,ACR15_5
G8,ACR15_5
G9,ACR14_5
G10,ACR14_5
G11,ACR13_5
G12,ACR13_5
H1,ACR12_5
H2,ACR12_5
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
