Well,562:562
A1,2.416
B1,0.302
C1,1.571
D1,1.627
E1,1.119
F1,1.74
G1,0.05
H1,0.049
A2,2.389
B2,0.293
C2,1.54
D2,1.525
E2,1.076
F2,1.739
G2,0.047
H2,0.046
A3,1.873
B3,0.136
C3,1.597
D3,1.601
E3,1.277
F3,1.568
G3,0.046
H3,0.049
A4,1.862
B4,0.134
C4,1.573
D4,1.584
E4,1.323
F4,1.53
G4,0.046
H4,0.046
A5,1.351
B5,0.096
C5,2.062
D5,1.187
E5,1.725
F5,1.727
G5,0.046
H5,0.048
A6,1.345
B6,0.096
C6,2.027
D6,0.977
E6,1.747
F6,1.716
G6,0.047
H6,0.047
A7,1.066
B7,1.514
C7,1.468
D7,0.976
E7,1.554
F7,0.047
G7,0.048
H7,0.046
A8,1.055
B8,1.452
C8,1.448
D8,1.004
E8,1.486
F8,0.048
G8,0.047
H8,0.046
A9,0.781
B9,1.503
C9,1.196
D9,1.071
E9,2.09
F9,0.047
G9,0.046
H9,0.046
A10,0.786
B10,1.472
C10,1.144
D10,1.106
E10,1.923
F10,0.049
G10,0.049
H10,0.046
A11,0.474
B11,1.778
C11,1.645
D11,1.711
E11,1.062
F11,0.046
G11,0.045
H11,0.045
A12,0.471
B12,1.812
C12,1.633
D12,1.84
E12,1.054
F12,0.046
G12,0.046
H12,0.047
