well,fragment_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR1_5
B8,ACR1_5
B9,ACR2_5
B10,ACR2_5
B11,ACR3_5
B12,ACR3_5
C1,ACR4_5
C2,ACR4_5
C3,ACR5_5
C4,ACR5_5
C5,ACR6_5
C6,ACR6_5
C7,ACR7_5
C8,ACR7_5
C9,ACR8_5
C10,ACR8_5
C11,ACR9_5
C12,ACR9_5
D1,ACR10_5
D2,ACR10_5
D3,ACR11_5
D4,ACR11_5
D5,ACR12_5
D6,ACR12_5
D7,ACR13_5
D8,ACR13_5
D9,ACR14_5
D10,ACR14_5
D11,ACR15_5
D12,ACR15_5
E1,ACR16_5
E2,ACR16_5
E3,ACR17_5
E4,ACR17_5
E5,ACR18_5
E6,ACR18_5
E7,ACR19_5
E8,ACR19_5
E9,ACR20_5
E10,ACR20_5
E11,ACR21_5
E12,ACR21_5
F1,ACR22_5
F2,ACR22_5
F3,ACR23_5
F4,ACR23_5
F5,ACR24_5
F6,ACR24_5
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
