fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint,host_prot_ug.cm2,holobiont_prot_ug.cm2,surface.area.cm2,cells.cm2,code,holobiont_mgprot,host_mgprot,cells,cells.holobiont.mgprot,chla.ug.holobiont.mgprot,chlc2.ug.holobiont.mgprot,holobiont_prot_mg.cm2,host_prot_mg.cm2,chla.ug.cell,chlc2.ug.cell,Total_Chl_cm2,date_collection,coral_species,treatment,tag_color,colony_ID,genotype,site,tank_num,notes
ACR1_1,3.7762800712740114,3.0903884764683505,TP1,659.5600360891967,1167.0420398964557,23.36313073575475,1574489.327481463,ACR1_1 - TP1,27.265755752222805,15.409387351231025,36785000,1349128.2007468708,3.2357703854516306,2.648052401559194,1.1670420398964556,0.6595600360891968,2.398415794481446e-6,1.9627878211227404e-6,6.866668547742362,20220319,Acropora,initial,blue,ACR1,1,Mahana,17,NA
ACR10_1,3.1282527817005232,1.0913362605148706,TP1,450.25910446664193,886.5102815247824,14.911478788693884,1316100.185508092,ACR10_1 - TP1,13.219179258915835,6.714029085670635,19625000,1484585.360075489,3.528727017491532,1.2310474940434883,0.8865102815247824,0.4502591044666419,2.3769108280254774e-6,8.292197452229297e-7,4.219589042215394,20220319,Acropora,initial,blue,ACR10,10,Mahana,5,NA
ACR11_1,2.934744127662107,2.579525717820669,TP1,842.4236745897713,936.9415417267626,10.926669505668983,923771.8771271661,ACR11_1 - TP1,10.2376505725803,9.204885075993666,10093750,985943.9847492244,3.1322595882059385,2.753134110231317,0.9369415417267626,0.8424236745897713,3.176914344685242e-6,2.7923839009287926e-6,5.514269845482776,20220319,Acropora,initial,blue,ACR11,11,Mahana,1,NA
ACR12_1,3.430835379541875,1.9730908272474414,TP1,567.0869071655208,897.4170749465982,14.397309848948737,977034.3775503163,ACR12_1 - TP1,12.920391691743426,8.16452591374403,14066666.666666668,1088718.283645824,3.823011033911997,2.1986330351078425,0.8974170749465982,0.5670869071655208,3.5114786729857823e-6,2.019469194312796e-6,5.403926206789317,20220319,Acropora,initial,blue,ACR12,12,Mahana,11,NA
ACR13_1,4.131356353450155,6.0540137866681585,TP1,435.50213395345827,777.7601478066676,18.478525808175856,700813.481250233,ACR13_1 - TP1,14.371860963816177,8.047437421774637,12949999.999999998,901066.3290303199,5.311864287596682,7.783908450106188,0.7777601478066677,0.43550213395345827,5.895086872586872e-6,8.638552123552125e-6,10.185370140118312,20220319,Acropora,initial,red,ACR13,1,Mahana,10,NA
ACR14_1,3.035247146016179,1.60993525403877,TP1,556.7126855838787,990.0890394064338,14.075954261608015,1302457.5806797885,ACR14_1 - TP1,13.936448033604378,7.836262299135641,18333333.333333332,1315495.403787746,3.065630488986964,1.6260509812369388,0.9900890394064338,0.5567126855838788,2.3304e-6,1.2360750000000005e-6,4.645182400054949,20220319,Acropora,initial,red,ACR14,2,Mahana,8,NA
ACR15_1,4.835179444294365,5.006965384672195,TP1,629.618390873447,1155.212574891874,11.794329591488925,1310799.3871187316,ACR15_1 - TP1,13.624957856507347,7.425926818824336,15460000.000000004,1134682.4087691568,4.185532212326315,4.334237259441915,1.155212574891874,0.629618390873447,3.6887257438551092e-6,3.819780077619662e-6,9.84214482896656,20220319,Acropora,initial,red,ACR15,3,Mahana,20,NA
ACR16_1,2.8335374988817374,2.1199658228130276,TP1,424.7876167955564,790.9441727728256,16.77534119527007,799735.3482810846,ACR16_1 - TP1,13.26835836467479,7.125957207271093,13415833.333333334,1011114.7863665769,3.5824747136680455,2.6802976692792737,0.7909441727728256,0.4247876167955564,3.543093980992608e-6,2.6508342133051737e-6,4.953503321694765,20220319,Acropora,initial,red,ACR16,4,Mahana,18,NA
ACR17_1,4.0946883137811225,2.1284908865993812,TP1,728.2648080995323,1228.875270463488,18.639203601846205,1936778.0282428113,ACR17_1 - TP1,22.905256367442778,13.574276034226637,36100000,1576057.4525291955,3.3320617740454255,1.7320642198264677,1.228875270463488,0.7282648080995323,2.1141753231763615e-6,1.0989854570637122e-6,6.223179200380503,20220319,Acropora,initial,red,ACR17,5,Mahana,4,NA
ACR18_1,3.1220437046782856,1.8132127666233944,TP1,688.1101446478737,1086.2523078383442,15.457783287173102,1001113.7892482415,ACR18_1 - TP1,16.79105276975677,10.636657493672168,15475000.000000002,921621.783469874,2.874142298386635,1.6692372053337317,1.0862523078383441,0.6881101446478737,3.11857027463651e-6,1.8111954765751214e-6,4.93525647130168,20220319,Acropora,initial,red,ACR18,6,Mahana,22,NA
ACR19_1,4.308291073842516,3.791270558542686,TP1,447.18840401677426,861.3735931729941,19.346185893995777,830267.0142844594,ACR19_1 - TP1,16.664293657703833,8.651389993747802,16062499.999999998,963887.2387834075,5.001652137921136,4.401424177141296,0.8613735931729941,0.44718840401677423,5.189042801556421e-6,4.566326848249028e-6,8.099561632385202,20220319,Acropora,initial,red,ACR19,7,Mahana,16,NA
ACR2_1,1.9386511880255943,1.9587867740148024,TP1,434.21440559094157,597.3365895195006,16.936018988940404,612402.8718578784,ACR2_1 - TP1,10.116503822891161,7.353863418359657,10371666.666666666,1025222.4333863378,3.245492109540873,3.279201054116669,0.5973365895195006,0.43421440559094154,3.165646794150732e-6,3.1985264341957264e-6,3.8974379620403967,20220319,Acropora,initial,blue,ACR2,2,Mahana,14,NA
ACR20_1,4.2477575658710895,4.144072748234848,TP1,530.4672449027396,901.1343245438519,19.08910142412321,1292622.3949346195,ACR20_1 - TP1,17.20184451797635,10.126143040123603,24675000,1434439.1948325087,4.713789554094808,4.598729218679523,0.9011343245438519,0.5304672449027396,3.2861550151975666e-6,3.2059422492401223e-6,8.391830314105938,20220319,Acropora,initial,red,ACR20,8,Mahana,2,NA
ACR21_1,3.474488885357885,4.474084724792165,TP1,616.7119696737552,1054.5055008198826,13.176158617054007,1249731.9700867692,ACR21_1 - TP1,13.894331741358748,8.1258947334572,16466666.666666664,1185135.5627022306,3.294898777347728,4.242827298021248,1.0545055008198827,0.6167119696737552,2.7801872469635633e-6,3.5800354251012146e-6,7.94857361015005,20220319,Acropora,initial,red,ACR21,9,Mahana,15,NA
ACR22_1,2.1674769527099005,1.0269904112747263,TP1,460.41610209098496,894.1397967311275,16.614663401599685,1123104.3054536625,ACR22_1 - TP1,14.855831756662447,7.649658560918272,18660000,1256072.3832666916,2.4240918038028814,1.1485792434575504,0.8941397967311275,0.460416102090985,1.929898177920686e-6,9.14421221864952e-7,3.194467363984627,20220319,Acropora,initial,red,ACR22,10,Mahana,12,NA
ACR23_1,4.43381294533989,2.200677313584697,TP1,503.5911300120131,936.4959034778606,18.70347471931435,1499275.7809707483,ACR23_1 - TP1,17.515727455439617,9.418903969050632,28041666.666666668,1600942.166861483,4.734471265569939,2.3499059690619597,0.9364959034778606,0.503591130012013,2.957303120356612e-6,1.4678268945022288e-6,6.634490258924586,20220319,Acropora,initial,red,ACR23,11,Mahana,23,NA
ACR24_1,2.557448731231361,1.3864046847389995,TP1,566.881081835023,904.3196265352815,9.416298245167614,827289.0043598376,ACR24_1 - TP1,8.515343312414803,5.337921336101846,7790000.000000001,914819.2520485581,2.8280363006492633,1.5330914469375498,0.9043196265352815,0.566881081835023,3.091360718870347e-6,1.67584082156611e-6,3.9438534159703607,20220319,Acropora,initial,red,ACR24,12,Mahana,6,NA
ACR3_1,2.698591519277524,1.4845619130478254,TP1,410.2080137999839,736.8431833944155,15.907681109450106,1208797.5949708598,ACR3_1 - TP1,11.721466389110425,6.525458272071052,19229166.666666668,1640508.6213898212,3.6623688460357635,2.0147596483269257,0.7368431833944156,0.4102080137999839,2.2324593716143012e-6,1.228131094257855e-6,4.18315343232535,20220319,Acropora,initial,blue,ACR3,3,Mahana,7,NA
ACR4_1,3.4585059271894374,2.298277522580867,TP1,724.1326688408299,1130.8227093181442,26.319602139289344,987856.8780182188,ACR4_1 - TP1,29.7628037993268,19.05888373995241,26000000.000000004,873573.6113876507,3.058398012960691,2.0323942061321594,1.1308227093181442,0.7241326688408298,3.50101923076923e-6,2.326528846153846e-6,5.756783449770305,20220319,Acropora,initial,blue,ACR4,4,Mahana,24,NA
