"Plot Title: RAMP_1_LARVAL_EXPOSURE"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20719656, SEN S/N: 20719656, LBL: C)","Coupler Detached (LGR S/N: 20719656)","Coupler Attached (LGR S/N: 20719656)","Host Connected (LGR S/N: 20719656)","Stopped (LGR S/N: 20719656)","End Of File (LGR S/N: 20719656)"
1,10/25/22 07:00:00 AM,26.524,Logged,,,,
2,10/25/22 07:10:00 AM,26.769,,,,,
3,10/25/22 07:20:00 AM,26.916,,,,,
4,10/25/22 07:30:00 AM,26.965,,,,,
5,10/25/22 07:40:00 AM,27.063,,,,,
6,10/25/22 07:50:00 AM,27.136,,,,,
7,10/25/22 08:00:00 AM,27.235,,,,,
8,10/25/22 08:10:00 AM,27.554,,,,,
9,10/25/22 08:20:00 AM,27.579,,,,,
10,10/25/22 08:30:00 AM,27.604,,,,,
11,10/25/22 08:40:00 AM,27.653,,,,,
12,10/25/22 08:50:00 AM,27.727,,,,,
13,10/25/22 09:00:00 AM,27.677,,,,,
14,10/25/22 09:10:00 AM,27.949,,,,,
15,10/25/22 09:20:00 AM,27.998,,,,,
16,10/25/22 09:30:00 AM,27.924,,,,,
17,10/25/22 09:40:00 AM,28.147,,,,,
18,10/25/22 09:50:00 AM,28.122,,,,,
19,10/25/22 10:00:00 AM,28.072,,,,,
20,10/25/22 10:10:00 AM,28.072,,,,,
21,10/25/22 10:20:00 AM,28.369,,,,,
22,10/25/22 10:30:00 AM,28.841,,,,,
23,10/25/22 10:40:00 AM,28.642,,,,,
24,10/25/22 10:50:00 AM,28.766,,,,,
25,10/25/22 11:00:00 AM,28.642,,,,,
26,10/25/22 11:10:00 AM,29.365,,,,,
27,10/25/22 11:20:00 AM,29.340,,,,,
28,10/25/22 11:30:00 AM,29.765,,,,,
29,10/25/22 11:40:00 AM,29.540,,,,,
30,10/25/22 11:50:00 AM,29.340,,,,,
31,10/25/22 12:00:00 PM,29.215,,,,,
32,10/25/22 12:10:00 PM,29.765,,,,,
33,10/25/22 12:20:00 PM,30.091,,,,,
34,10/25/22 12:30:00 PM,29.890,,,,,
35,10/25/22 12:40:00 PM,30.091,,,,,
36,10/25/22 12:50:00 PM,29.966,,,,,
37,10/25/22 01:00:00 PM,30.066,,,,,
38,10/25/22 01:10:00 PM,30.672,,,,,
39,10/25/22 01:20:00 PM,30.520,,,,,
40,10/25/22 01:30:00 PM,30.495,,,,,
41,10/25/22 01:40:00 PM,30.950,,,,,
42,10/25/22 01:50:00 PM,30.646,,,,,
43,10/25/22 02:00:00 PM,30.495,,,,,
44,10/25/22 02:10:00 PM,31.230,,,,,
45,10/25/22 02:20:00 PM,31.026,,,,,
46,10/25/22 02:30:00 PM,31.281,,,,,
47,10/25/22 02:40:00 PM,31.204,,,,,
48,10/25/22 02:50:00 PM,31.637,,,,,
49,10/25/22 03:00:00 PM,31.331,,,,,
50,10/25/22 03:10:00 PM,31.612,,,,,
51,10/25/22 03:20:00 PM,31.459,,,,,
52,10/25/22 03:30:00 PM,31.637,,,,,
53,10/25/22 03:40:00 PM,31.663,,,,,
54,10/25/22 03:50:00 PM,31.510,,,,,
55,10/25/22 04:00:00 PM,31.714,,,,,
56,10/25/22 04:10:00 PM,32.047,,,,,
57,10/25/22 04:20:00 PM,32.484,,,,,
58,10/25/22 04:30:00 PM,32.047,,,,,
59,10/25/22 04:40:00 PM,32.253,,,,,
60,10/25/22 04:50:00 PM,32.253,,,,,
61,10/25/22 05:00:00 PM,32.124,,,,,
62,10/25/22 05:10:00 PM,32.742,,,,,
63,10/25/22 05:20:00 PM,32.691,,,,,
64,10/25/22 05:30:00 PM,32.717,,,,,
65,10/25/22 05:40:00 PM,32.794,,,,,
66,10/25/22 05:50:00 PM,32.587,,,,,
67,10/25/22 06:00:00 PM,33.235,,,,,
68,10/25/22 06:10:00 PM,33.783,,,,,
69,10/25/22 06:20:00 PM,33.914,,,,,
70,10/25/22 06:30:00 PM,33.835,,,,,
71,10/25/22 06:40:00 PM,33.730,,,,,
72,10/25/22 06:50:00 PM,33.809,,,,,
73,10/25/22 07:00:00 PM,34.071,,,,,
74,10/25/22 07:10:00 PM,34.545,,,,,
75,10/25/22 07:20:00 PM,34.334,,,,,
76,10/25/22 07:30:00 PM,34.492,,,,,
77,10/25/22 07:40:00 PM,34.255,,,,,
78,10/25/22 07:50:00 PM,34.413,,,,,
79,10/25/22 08:00:00 PM,34.757,,,,,
80,10/25/22 08:10:00 PM,34.124,,,,,
81,10/25/22 08:20:00 PM,34.545,,,,,
82,10/25/22 08:30:00 PM,34.545,,,,,
83,10/25/22 08:40:00 PM,34.360,,,,,
84,10/25/22 08:50:00 PM,34.704,,,,,
85,10/25/22 09:00:00 PM,34.308,,,,,
86,10/25/22 09:10:00 PM,34.598,,,,,
87,10/25/22 09:20:00 PM,34.413,,,,,
88,10/25/22 09:30:00 PM,34.598,,,,,
89,10/25/22 09:40:00 PM,34.572,,,,,
90,10/25/22 09:50:00 PM,34.572,,,,,
91,10/25/22 10:00:00 PM,34.519,,,,,
92,10/25/22 10:10:00 PM,34.334,,,,,
93,10/25/22 10:20:00 PM,34.783,,,,,
94,10/25/22 10:30:00 PM,34.229,,,,,
95,10/25/22 10:40:00 PM,34.651,,,,,
96,10/25/22 10:50:00 PM,34.202,,,,,
97,10/25/22 11:00:00 PM,34.757,,,,,
98,10/25/22 11:10:00 PM,34.413,,,,,
99,10/25/22 11:20:00 PM,34.572,,,,,
100,10/25/22 11:30:00 PM,34.308,,,,,
101,10/25/22 11:40:00 PM,34.624,,,,,
102,10/25/22 11:50:00 PM,34.572,,,,,
103,10/26/22 12:00:00 AM,34.071,,,,,
104,10/26/22 12:10:00 AM,34.519,,,,,
105,10/26/22 12:20:00 AM,34.150,,,,,
106,10/26/22 12:30:00 AM,34.466,,,,,
107,10/26/22 12:40:00 AM,33.940,,,,,
108,10/26/22 12:50:00 AM,34.308,,,,,
109,10/26/22 01:00:00 AM,33.992,,,,,
110,10/26/22 01:10:00 AM,33.626,,,,,
111,10/26/22 01:20:00 AM,33.940,,,,,
112,10/26/22 01:30:00 AM,33.678,,,,,
113,10/26/22 01:40:00 AM,33.626,,,,,
114,10/26/22 01:50:00 AM,33.914,,,,,
115,10/26/22 02:00:00 AM,33.704,,,,,
116,10/26/22 02:10:00 AM,33.626,,,,,
117,10/26/22 02:20:00 AM,33.914,,,,,
118,10/26/22 02:30:00 AM,33.730,,,,,
119,10/26/22 02:40:00 AM,33.652,,,,,
