#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
1,10/12/2022 20:10:00,26.08,0.00
2,10/12/2022 20:20:00,26.55,0.00
3,10/12/2022 20:30:00,26.55,0.00
4,10/12/2022 20:40:00,26.55,0.00
5,10/12/2022 20:50:00,26.55,0.00
6,10/12/2022 21:00:00,26.55,0.00
7,10/12/2022 21:10:00,26.60,0.00
8,10/12/2022 21:20:00,26.55,0.00
9,10/12/2022 21:30:00,26.60,0.00
10,10/12/2022 21:40:00,26.55,0.00
11,10/12/2022 21:50:00,26.55,0.00
12,10/12/2022 22:00:00,26.51,0.00
13,10/12/2022 22:10:00,26.38,0.00
14,10/12/2022 22:20:00,26.38,0.00
15,10/12/2022 22:30:00,26.34,0.00
16,10/12/2022 22:40:00,26.25,0.00
17,10/12/2022 22:50:00,26.21,0.00
18,10/12/2022 23:00:00,26.17,0.00
19,10/12/2022 23:10:00,26.12,0.00
20,10/12/2022 23:20:00,26.12,0.00
21,10/12/2022 23:30:00,26.04,0.00
22,10/12/2022 23:40:00,25.95,0.00
23,10/12/2022 23:50:00,25.95,0.00
24,10/13/2022 00:00:00,25.87,0.00
25,10/13/2022 00:10:00,25.82,0.00
26,10/13/2022 00:20:00,25.82,0.00
27,10/13/2022 00:30:00,25.82,0.00
28,10/13/2022 00:40:00,25.78,0.00
29,10/13/2022 00:50:00,25.69,0.00
30,10/13/2022 01:00:00,25.69,0.00
31,10/13/2022 01:10:00,25.61,0.00
32,10/13/2022 01:20:00,25.57,0.00
33,10/13/2022 01:30:00,25.52,0.00
34,10/13/2022 01:40:00,25.48,0.00
35,10/13/2022 01:50:00,25.44,0.00
36,10/13/2022 02:00:00,25.44,0.00
37,10/13/2022 02:10:00,25.35,0.00
38,10/13/2022 02:20:00,25.35,0.00
39,10/13/2022 02:30:00,25.35,0.00
40,10/13/2022 02:40:00,25.27,0.00
41,10/13/2022 02:50:00,25.22,0.00
42,10/13/2022 03:00:00,25.18,0.00
43,10/13/2022 03:10:00,25.18,0.00
44,10/13/2022 03:20:00,25.09,0.00
45,10/13/2022 03:30:00,25.09,0.00
46,10/13/2022 03:40:00,25.01,0.00
47,10/13/2022 03:50:00,25.01,0.00
48,10/13/2022 04:00:00,24.97,0.00
49,10/13/2022 04:10:00,24.92,0.00
50,10/13/2022 04:20:00,24.92,0.00
51,10/13/2022 04:30:00,24.92,0.00
52,10/13/2022 04:40:00,24.84,0.00
53,10/13/2022 04:50:00,24.84,0.00
54,10/13/2022 05:00:00,24.84,0.00
55,10/13/2022 05:10:00,24.75,0.20
56,10/13/2022 05:20:00,24.79,3.85
57,10/13/2022 05:30:00,24.79,29.59
58,10/13/2022 05:40:00,24.79,104.64
59,10/13/2022 05:50:00,24.71,175.20
60,10/13/2022 06:00:00,24.71,252.08
61,10/13/2022 06:10:00,24.66,329.92
62,10/13/2022 06:20:00,24.71,398.88
63,10/13/2022 06:30:00,24.66,1164.80
64,10/13/2022 06:40:00,24.71,1463.04
65,10/13/2022 06:50:00,24.66,601.76
66,10/13/2022 07:00:00,24.71,2279.68
67,10/13/2022 07:10:00,24.71,996.16
68,10/13/2022 07:20:00,24.79,2874.88
69,10/13/2022 07:30:00,24.75,3257.60
70,10/13/2022 07:40:00,24.84,3443.20
71,10/13/2022 07:50:00,24.79,3852.80
72,10/13/2022 08:00:00,24.79,2632.96
73,10/13/2022 08:10:00,24.97,3861.76
74,10/13/2022 08:20:00,24.97,4669.44
75,10/13/2022 08:30:00,25.01,2444.16
76,10/13/2022 08:40:00,25.01,1379.84
