#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
1,10/12/2022 20:30:00,24.92,0.00
2,10/12/2022 20:40:00,26.81,0.00
3,10/12/2022 20:50:00,26.85,0.00
4,10/12/2022 21:00:00,26.85,0.00
5,10/12/2022 21:10:00,26.85,0.00
6,10/12/2022 21:20:00,26.85,0.00
7,10/12/2022 21:30:00,26.90,0.00
8,10/12/2022 21:40:00,26.85,0.00
9,10/12/2022 21:50:00,26.90,0.00
10,10/12/2022 22:00:00,26.90,0.00
11,10/12/2022 22:10:00,26.77,0.00
12,10/12/2022 22:20:00,26.77,0.00
13,10/12/2022 22:30:00,26.60,0.00
14,10/12/2022 22:40:00,26.64,0.00
15,10/12/2022 22:50:00,26.55,0.00
16,10/12/2022 23:00:00,26.47,0.00
17,10/12/2022 23:10:00,26.47,0.00
18,10/12/2022 23:20:00,26.38,0.00
19,10/12/2022 23:30:00,26.30,0.00
20,10/12/2022 23:40:00,26.25,0.21
21,10/12/2022 23:50:00,26.17,0.00
22,10/13/2022 00:00:00,26.12,0.00
23,10/13/2022 00:10:00,26.12,0.00
24,10/13/2022 00:20:00,25.99,0.00
25,10/13/2022 00:30:00,25.95,0.00
26,10/13/2022 00:40:00,25.87,0.00
27,10/13/2022 00:50:00,25.82,0.00
28,10/13/2022 01:00:00,25.78,0.00
29,10/13/2022 01:10:00,25.69,0.00
30,10/13/2022 01:20:00,25.65,0.00
31,10/13/2022 01:30:00,25.61,0.00
32,10/13/2022 01:40:00,25.57,0.00
33,10/13/2022 01:50:00,25.52,0.00
34,10/13/2022 02:00:00,25.48,0.00
35,10/13/2022 02:10:00,25.39,0.00
36,10/13/2022 02:20:00,25.35,0.00
37,10/13/2022 02:30:00,25.31,0.00
38,10/13/2022 02:40:00,25.27,0.00
39,10/13/2022 02:50:00,25.22,0.00
40,10/13/2022 03:00:00,25.18,0.00
41,10/13/2022 03:10:00,25.14,0.00
