#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
1,10/12/2022 20:30:00,24.92,0.00
2,10/12/2022 20:40:00,26.85,0.00
3,10/12/2022 20:50:00,26.90,0.00
4,10/12/2022 21:00:00,26.90,0.00
5,10/12/2022 21:10:00,26.94,0.00
6,10/12/2022 21:20:00,26.85,0.00
7,10/12/2022 21:30:00,26.90,0.00
8,10/12/2022 21:40:00,26.90,0.00
9,10/12/2022 21:50:00,26.90,0.00
10,10/12/2022 22:00:00,26.81,0.00
11,10/12/2022 22:10:00,26.77,0.00
12,10/12/2022 22:20:00,26.72,0.00
13,10/12/2022 22:30:00,26.68,0.00
14,10/12/2022 22:40:00,26.55,0.00
15,10/12/2022 22:50:00,26.55,0.00
16,10/12/2022 23:00:00,26.51,0.00
17,10/12/2022 23:10:00,26.42,0.00
18,10/12/2022 23:20:00,26.38,0.00
19,10/12/2022 23:30:00,26.34,0.00
20,10/12/2022 23:40:00,26.30,0.00
21,10/12/2022 23:50:00,26.25,0.00
22,10/13/2022 00:00:00,26.17,0.00
23,10/13/2022 00:10:00,26.12,0.00
24,10/13/2022 00:20:00,26.04,0.00
25,10/13/2022 00:30:00,26.04,0.00
26,10/13/2022 00:40:00,25.91,0.00
27,10/13/2022 00:50:00,25.91,0.00
28,10/13/2022 01:00:00,25.82,0.00
29,10/13/2022 01:10:00,25.78,0.00
30,10/13/2022 01:20:00,25.74,0.00
31,10/13/2022 01:30:00,25.65,0.00
32,10/13/2022 01:40:00,25.65,0.00
33,10/13/2022 01:50:00,25.57,0.00
34,10/13/2022 02:00:00,25.57,0.00
35,10/13/2022 02:10:00,25.52,0.00
36,10/13/2022 02:20:00,25.48,0.00
37,10/13/2022 02:30:00,25.39,0.00
38,10/13/2022 02:40:00,25.35,0.00
39,10/13/2022 02:50:00,25.35,0.00
40,10/13/2022 03:00:00,25.27,0.00
41,10/13/2022 03:10:00,25.18,0.00
42,10/13/2022 03:20:00,25.22,0.00
43,10/13/2022 03:30:00,25.18,0.00
44,10/13/2022 03:40:00,25.09,0.00
45,10/13/2022 03:50:00,25.09,0.00
46,10/13/2022 04:00:00,25.05,0.00
47,10/13/2022 04:10:00,25.01,0.00
48,10/13/2022 04:20:00,24.97,0.00
49,10/13/2022 04:30:00,24.88,0.00
50,10/13/2022 04:40:00,24.88,0.00
51,10/13/2022 04:50:00,24.84,0.00
52,10/13/2022 05:00:00,24.79,0.00
53,10/13/2022 05:10:00,24.75,0.00
54,10/13/2022 05:20:00,24.79,6.31
55,10/13/2022 05:30:00,24.71,45.06
56,10/13/2022 05:40:00,24.71,159.40
57,10/13/2022 05:50:00,24.66,267.84
58,10/13/2022 06:00:00,24.62,385.12
59,10/13/2022 06:10:00,24.66,504.32
60,10/13/2022 06:20:00,24.66,610.88
61,10/13/2022 06:30:00,24.62,1893.12
62,10/13/2022 06:40:00,24.71,2154.88
63,10/13/2022 06:50:00,24.75,910.08
64,10/13/2022 07:00:00,24.79,3296.00
65,10/13/2022 07:10:00,24.75,1475.84
66,10/13/2022 07:20:00,24.84,4121.60
67,10/13/2022 07:30:00,24.84,4672.00
68,10/13/2022 07:40:00,24.88,4908.80
69,10/13/2022 07:50:00,24.88,5504.00
70,10/13/2022 08:00:00,24.92,3814.40
71,10/13/2022 08:10:00,25.09,5409.28
72,10/13/2022 08:20:00,25.14,6702.08
73,10/13/2022 08:30:00,25.27,4392.96
74,10/13/2022 08:40:00,25.22,2015.36
75,10/13/2022 08:50:00,25.35,7915.52
76,10/13/2022 09:00:00,25.44,8458.24
77,10/13/2022 09:10:00,25.57,8834.56
78,10/13/2022 09:20:00,25.65,9231.36
79,10/13/2022 09:30:00,25.82,9546.24
80,10/13/2022 09:40:00,25.91,9935.36
81,10/13/2022 09:50:00,26.04,10332.16
82,10/13/2022 10:00:00,26.12,10485.76
83,10/13/2022 10:10:00,26.25,10849.28
84,10/13/2022 10:20:00,26.38,11857.92
85,10/13/2022 10:30:00,26.55,11740.16
86,10/13/2022 10:40:00,26.68,12226.56
87,10/13/2022 10:50:00,26.81,12006.40
88,10/13/2022 11:00:00,26.94,12723.20
89,10/13/2022 11:10:00,26.98,10792.96
90,10/13/2022 11:20:00,27.20,13844.48
91,10/13/2022 11:30:00,27.41,12113.92
92,10/13/2022 11:40:00,27.32,6924.80
93,10/13/2022 11:50:00,27.41,8345.60
94,10/13/2022 12:00:00,27.41,5113.60
95,10/13/2022 12:10:00,27.75,11130.88
96,10/13/2022 12:20:00,27.50,5552.64
97,10/13/2022 12:30:00,27.71,5611.52
98,10/13/2022 12:40:00,28.01,9664.00
99,10/13/2022 12:50:00,27.71,3249.92
100,10/13/2022 13:00:00,28.05,5552.64
101,10/13/2022 13:10:00,28.14,6120.96
102,10/13/2022 13:20:00,28.01,4423.68
103,10/13/2022 13:30:00,28.18,6266.88
104,10/13/2022 13:40:00,28.35,10828.80
105,10/13/2022 13:50:00,28.23,5527.04
106,10/13/2022 14:00:00,28.23,4160.00
107,10/13/2022 14:10:00,28.44,10485.76
108,10/13/2022 14:20:00,28.53,9991.68
109,10/13/2022 14:30:00,28.61,9797.12
110,10/13/2022 14:40:00,28.70,12165.12
111,10/13/2022 14:50:00,28.48,5024.00
112,10/13/2022 15:00:00,28.44,5368.32
113,10/13/2022 15:10:00,28.48,4953.60
114,10/13/2022 15:20:00,28.61,10485.76
115,10/13/2022 15:30:00,28.48,5309.44
116,10/13/2022 15:40:00,28.44,2494.08
117,10/13/2022 15:50:00,28.35,2334.08
118,10/13/2022 16:00:00,28.31,2459.52
119,10/13/2022 16:10:00,28.35,2932.48
120,10/13/2022 16:20:00,28.27,2553.60
121,10/13/2022 16:30:00,28.18,1492.48
122,10/13/2022 16:40:00,28.18,1388.80
123,10/13/2022 16:50:00,28.14,1151.36
124,10/13/2022 17:00:00,28.10,1130.56
125,10/13/2022 17:10:00,28.05,911.68
126,10/13/2022 17:20:00,28.01,678.40
127,10/13/2022 17:30:00,27.88,478.08
128,10/13/2022 17:40:00,27.88,266.96
129,10/13/2022 17:50:00,27.80,139.12
130,10/13/2022 18:00:00,27.75,47.68
131,10/13/2022 18:10:00,27.71,8.05
132,10/13/2022 18:20:00,27.63,0.21
133,10/13/2022 18:30:00,27.63,0.00
134,10/13/2022 18:40:00,27.58,0.00
135,10/13/2022 18:50:00,27.54,0.00
136,10/13/2022 19:00:00,27.45,0.00
137,10/13/2022 19:10:00,27.41,0.00
138,10/13/2022 19:20:00,27.37,0.00
139,10/13/2022 19:30:00,27.28,0.00
140,10/13/2022 19:40:00,26.98,0.00
141,10/13/2022 19:50:00,26.72,0.00
142,10/13/2022 20:00:00,26.72,0.00
143,10/13/2022 20:10:00,26.72,0.00
144,10/13/2022 20:20:00,26.85,0.00
145,10/13/2022 20:30:00,26.90,0.00
146,10/13/2022 20:40:00,26.98,0.00
147,10/13/2022 20:50:00,26.98,0.00
148,10/13/2022 21:00:00,26.98,0.00
149,10/13/2022 21:10:00,27.02,0.00
150,10/13/2022 21:20:00,27.07,0.00
151,10/13/2022 21:30:00,27.02,0.00
152,10/13/2022 21:40:00,26.98,0.00
153,10/13/2022 21:50:00,26.94,0.00
154,10/13/2022 22:00:00,26.85,0.00
155,10/13/2022 22:10:00,26.81,0.00
156,10/13/2022 22:20:00,26.77,0.00
157,10/13/2022 22:30:00,26.68,0.00
158,10/13/2022 22:40:00,26.64,0.00
159,10/13/2022 22:50:00,26.60,0.00
160,10/13/2022 23:00:00,26.60,0.00
161,10/13/2022 23:10:00,26.55,0.00
162,10/13/2022 23:20:00,26.47,0.00
163,10/13/2022 23:30:00,26.42,0.00
164,10/13/2022 23:40:00,26.34,0.00
165,10/13/2022 23:50:00,26.34,0.00
166,10/14/2022 00:00:00,26.30,0.00
167,10/14/2022 00:10:00,26.17,0.00
168,10/14/2022 00:20:00,26.12,0.00
169,10/14/2022 00:30:00,26.12,0.00
170,10/14/2022 00:40:00,26.12,0.00
171,10/14/2022 00:50:00,25.99,0.00
172,10/14/2022 01:00:00,25.99,0.00
173,10/14/2022 01:10:00,25.91,0.00
174,10/14/2022 01:20:00,25.87,0.00
175,10/14/2022 01:30:00,25.87,0.00
176,10/14/2022 01:40:00,25.78,0.00
177,10/14/2022 01:50:00,25.74,0.00
178,10/14/2022 02:00:00,25.69,0.00
179,10/14/2022 02:10:00,25.65,0.00
180,10/14/2022 02:20:00,25.57,0.00
181,10/14/2022 02:30:00,25.48,0.00
182,10/14/2022 02:40:00,25.48,0.00
183,10/14/2022 02:50:00,25.44,0.00
184,10/14/2022 03:00:00,25.39,0.00
185,10/14/2022 03:10:00,25.31,0.00
186,10/14/2022 03:20:00,25.31,0.00
187,10/14/2022 03:30:00,25.18,0.00
188,10/14/2022 03:40:00,25.18,0.00
189,10/14/2022 03:50:00,25.14,0.00
190,10/14/2022 04:00:00,25.09,0.00
191,10/14/2022 04:10:00,25.01,0.00
192,10/14/2022 04:20:00,25.01,0.00
193,10/14/2022 04:30:00,24.97,0.00
194,10/14/2022 04:40:00,24.97,0.00
195,10/14/2022 04:50:00,24.97,0.00
196,10/14/2022 05:00:00,24.88,0.00
197,10/14/2022 05:10:00,24.88,0.00
198,10/14/2022 05:20:00,24.79,7.83
199,10/14/2022 05:30:00,24.79,45.50
200,10/14/2022 05:40:00,24.75,144.36
201,10/14/2022 05:50:00,24.75,267.84
202,10/14/2022 06:00:00,24.71,385.12
203,10/14/2022 06:10:00,24.66,478.72
204,10/14/2022 06:20:00,24.66,563.52
205,10/14/2022 06:30:00,24.71,1872.64
206,10/14/2022 06:40:00,24.75,2147.84
207,10/14/2022 06:50:00,24.79,2544.64
208,10/14/2022 07:00:00,24.79,2992.64
209,10/14/2022 07:10:00,24.84,3432.96
