#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
1,10/25/2022 08:56:12,29.60,6405.12
2,10/25/2022 09:06:12,27.97,5319.68
3,10/25/2022 09:16:12,27.97,8832.00
4,10/25/2022 09:26:12,27.97,6338.56
5,10/25/2022 09:36:12,28.05,8314.88
6,10/25/2022 09:46:12,28.05,7162.88
7,10/25/2022 09:56:12,27.97,5086.72
8,10/25/2022 10:06:12,27.80,1884.80
9,10/25/2022 10:16:12,27.71,1438.72
10,10/25/2022 10:26:12,28.01,9466.88
11,10/25/2022 10:36:12,27.67,4189.44
12,10/25/2022 10:46:12,27.58,3119.36
13,10/25/2022 10:56:12,27.50,2703.36
14,10/25/2022 11:06:12,27.63,5368.32
15,10/25/2022 11:16:12,27.75,6786.56
16,10/25/2022 11:26:12,27.84,6266.88
17,10/25/2022 11:36:12,27.71,2750.72
18,10/25/2022 11:46:12,27.84,6100.48
19,10/25/2022 11:56:12,27.88,7413.76
20,10/25/2022 12:06:12,28.05,9515.52
21,10/25/2022 12:16:12,28.01,8176.64
22,10/25/2022 12:26:12,28.05,7434.24
23,10/25/2022 12:36:12,28.27,10787.84
24,10/25/2022 12:46:12,28.40,12037.12
25,10/25/2022 12:56:12,28.35,8936.96
26,10/25/2022 13:06:12,28.23,6679.04
27,10/25/2022 13:16:12,28.14,4064.00
28,10/25/2022 13:26:12,28.10,4332.80
29,10/25/2022 13:36:12,28.01,4213.76
30,10/25/2022 13:46:12,27.93,3857.92
31,10/25/2022 13:56:12,27.88,2999.04
32,10/25/2022 14:06:12,27.80,2293.76
33,10/25/2022 14:16:12,27.71,2961.92
34,10/25/2022 14:26:12,27.58,342.88
35,10/25/2022 14:36:12,27.41,817.60
36,10/25/2022 14:46:12,27.32,1627.52
37,10/25/2022 14:56:12,27.28,1877.76
38,10/25/2022 15:06:12,27.32,2412.16
39,10/25/2022 15:16:12,27.28,1724.16
40,10/25/2022 15:26:12,27.32,2611.20
41,10/25/2022 15:36:12,27.32,1728.64
42,10/25/2022 15:46:12,27.32,2405.12
43,10/25/2022 15:56:12,27.37,2358.40
44,10/25/2022 16:06:12,27.37,2147.20
45,10/25/2022 16:16:12,27.41,2487.04
46,10/25/2022 16:26:12,27.41,1809.92
47,10/25/2022 16:36:12,27.45,2320.00
48,10/25/2022 16:46:12,27.45,1833.60
49,10/25/2022 16:56:12,27.45,1610.24
50,10/25/2022 17:06:12,27.50,1428.48
51,10/25/2022 17:16:12,27.45,912.00
52,10/25/2022 17:26:12,27.41,512.80
53,10/25/2022 17:36:12,27.37,288.00
54,10/25/2022 17:46:12,27.37,250.24
55,10/25/2022 17:56:12,27.32,79.86
56,10/25/2022 18:06:12,27.32,20.78
57,10/25/2022 18:16:12,27.28,5.89
58,10/25/2022 18:26:12,27.28,4.58
59,10/25/2022 18:36:12,27.32,4.58
60,10/25/2022 18:46:12,27.28,4.58
61,10/25/2022 18:56:12,27.32,4.58
62,10/25/2022 19:06:12,27.28,4.58
63,10/25/2022 19:16:12,27.24,4.58
64,10/25/2022 19:26:12,27.28,4.58
65,10/25/2022 19:36:12,27.28,4.58
66,10/25/2022 19:46:12,27.28,4.14
67,10/25/2022 19:56:12,27.28,0.00
68,10/25/2022 20:06:12,27.28,0.00
69,10/25/2022 20:16:12,27.24,0.00
70,10/25/2022 20:26:12,27.28,0.00
71,10/25/2022 20:36:12,27.28,0.00
72,10/25/2022 20:46:12,27.24,4.80
73,10/25/2022 20:56:12,27.24,4.58
