"Plot Title: 20946644"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20946644, SEN S/N: 20946644)","Coupler Detached (LGR S/N: 20946644)","Coupler Attached (LGR S/N: 20946644)","Host Connected (LGR S/N: 20946644)","Stopped (LGR S/N: 20946644)","End Of File (LGR S/N: 20946644)"
1,10/12/22 09:00:00 AM,27.112,Logged,,,,
2,10/12/22 09:10:00 AM,27.136,,,,,
3,10/12/22 09:20:00 AM,27.186,,,,,
4,10/12/22 09:30:00 AM,27.235,,,,,
5,10/12/22 09:40:00 AM,27.284,,,,,
6,10/12/22 09:50:00 AM,27.358,,,,,
7,10/12/22 10:00:00 AM,27.407,,,,,
8,10/12/22 10:10:00 AM,27.456,,,,,
9,10/12/22 10:20:00 AM,27.456,,,,,
10,10/12/22 10:30:00 AM,27.382,,,,,
11,10/12/22 10:40:00 AM,27.382,,,,,
12,10/12/22 10:50:00 AM,27.407,,,,,
13,10/12/22 11:00:00 AM,27.407,,,,,
14,10/12/22 11:10:00 AM,27.407,,,,,
15,10/12/22 11:20:00 AM,27.382,,,,,
16,10/12/22 11:30:00 AM,27.333,,,,,
17,10/12/22 11:40:00 AM,27.308,,,,,
18,10/12/22 11:50:00 AM,27.308,,,,,
19,10/12/22 12:00:00 PM,27.333,,,,,
20,10/12/22 12:10:00 PM,27.358,,,,,
21,10/12/22 12:20:00 PM,27.358,,,,,
22,10/12/22 12:30:00 PM,27.382,,,,,
23,10/12/22 12:40:00 PM,27.382,,,,,
24,10/12/22 12:50:00 PM,27.333,,,,,
25,10/12/22 01:00:00 PM,27.333,,,,,
26,10/12/22 01:10:00 PM,27.308,,,,,
27,10/12/22 01:20:00 PM,27.284,,,,,
28,10/12/22 01:30:00 PM,27.284,,,,,
29,10/12/22 01:40:00 PM,27.259,,,,,
30,10/12/22 01:50:00 PM,27.235,,,,,
31,10/12/22 02:00:00 PM,27.186,,,,,
32,10/12/22 02:10:00 PM,27.161,,,,,
33,10/12/22 02:20:00 PM,27.136,,,,,
34,10/12/22 02:30:00 PM,27.112,,,,,
35,10/12/22 02:40:00 PM,27.087,,,,,
36,10/12/22 02:50:00 PM,27.087,,,,,
37,10/12/22 03:00:00 PM,27.087,,,,,
38,10/12/22 03:10:00 PM,27.087,,,,,
39,10/12/22 03:20:00 PM,27.063,,,,,
40,10/12/22 03:30:00 PM,27.063,,,,,
41,10/12/22 03:40:00 PM,27.038,,,,,
42,10/12/22 03:50:00 PM,27.038,,,,,
43,10/12/22 04:00:00 PM,27.063,,,,,
44,10/12/22 04:10:00 PM,27.087,,,,,
45,10/12/22 04:20:00 PM,27.063,,,,,
46,10/12/22 04:30:00 PM,27.063,,,,,
47,10/12/22 04:40:00 PM,27.038,,,,,
48,10/12/22 04:50:00 PM,27.038,,,,,
49,10/12/22 05:00:00 PM,27.014,,,,,
50,10/12/22 05:10:00 PM,27.014,,,,,
51,10/12/22 05:20:00 PM,26.989,,,,,
52,10/12/22 05:30:00 PM,26.989,,,,,
53,10/12/22 05:40:00 PM,26.989,,,,,
54,10/12/22 05:50:00 PM,26.965,,,,,
55,10/12/22 06:00:00 PM,26.965,,,,,
56,10/12/22 06:10:00 PM,26.965,,,,,
57,10/12/22 06:20:00 PM,26.940,,,,,
58,10/12/22 06:30:00 PM,26.940,,,,,
59,10/12/22 06:40:00 PM,26.940,,,,,
60,10/12/22 06:50:00 PM,26.916,,,,,
61,10/12/22 07:00:00 PM,26.916,,,,,
62,10/12/22 07:10:00 PM,26.891,,,,,
63,10/12/22 07:20:00 PM,26.867,,,,,
64,10/12/22 07:30:00 PM,26.842,,,,,
65,10/12/22 07:40:00 PM,26.842,,,,,
66,10/12/22 07:50:00 PM,26.818,,,,,
