tube.ID,treatment,date.photographed,replicate,type,length (mm),width (mm),initials
ACR-10,ambient,20221017,1,egg,0.571,0.482,DMBP
ACR-10,ambient,20221017,2,egg,0.566,0.457,DMBP
ACR-10,ambient,20221017,3,egg,0.561,0.503,DMBP
ACR-10,ambient,20221017,4,egg,0.578,0.526,DMBP
ACR-10,ambient,20221017,5,egg,0.561,0.494,DMBP
ACR-10,ambient,20221017,6,egg,0.594,0.478,DMBP
ACR-10,ambient,20221017,7,egg,0.585,0.489,DMBP
ACR-10,ambient,20221017,8,egg,0.6,0.552,DMBP
ACR-10,ambient,20221017,9,egg,0.591,0.527,DMBP
ACR-10,ambient,20221017,10,egg,0.548,0.502,DMBP
ACR-11,ambient,20221017,1,egg,0.468,0.367,DMBP
ACR-11,ambient,20221017,2,egg,0.493,0.409,DMBP
ACR-11,ambient,20221017,3,egg,0.35,0.346,DMBP
ACR-11,ambient,20221017,4,egg,0.403,0.414,DMBP
ACR-11,ambient,20221017,5,egg,0.351,0.337,DMBP
ACR-11,ambient,20221017,6,egg,0.427,0.389,DMBP
ACR-11,ambient,20221017,7,egg,0.406,0.395,DMBP
ACR-11,ambient,20221017,8,egg,0.477,0.433,DMBP
ACR-11,ambient,20221017,9,egg,0.518,0.422,DMBP
ACR-11,ambient,20221017,10,egg,0.472,0.317,DMBP
ACR-23,hot,20221017,1,egg,0.425,0.456,DMBP
ACR-23,hot,20221017,2,egg,0.368,0.326,DMBP
ACR-23,hot,20221017,3,egg,0.405,0.377,DMBP
ACR-23,hot,20221017,4,egg,0.43,0.361,DMBP
ACR-23,hot,20221017,5,egg,0.481,0.421,DMBP
ACR-23,hot,20221017,6,egg,0.319,0.319,DMBP
ACR-23,hot,20221017,7,egg,0.391,0.373,DMBP
ACR-23,hot,20221017,8,egg,0.33,0.414,DMBP
ACR-23,hot,20221017,9,egg,0.352,0.386,DMBP
ACR-23,hot,20221017,10,egg,0.448,0.399,DMBP
ACR-14,hot,20221018,1,egg,0.734,0.702,DMBP
ACR-14,hot,20221018,2,egg,0.821,0.7,DMBP
ACR-14,hot,20221018,3,egg,0.833,0.645,DMBP
ACR-14,hot,20221018,4,egg,1.06,0.572,DMBP
ACR-14,hot,20221018,5,egg,0.992,0.789,DMBP
ACR-14,hot,20221018,6,egg,0.877,0.634,DMBP
ACR-14,hot,20221018,7,egg,0.836,0.609,DMBP
ACR-14,hot,20221018,8,egg,0.79,0.653,DMBP
ACR-14,hot,20221018,9,egg,0.796,0.488,DMBP
ACR-14,hot,20221018,10,egg,0.745,0.464,DMBP
ACR-22,hot,20221018,1,egg,0.723,0.403,DMBP
ACR-22,hot,20221018,2,egg,0.652,0.527,DMBP
ACR-22,hot,20221018,3,egg,0.68,0.569,DMBP
ACR-22,hot,20221018,4,egg,0.614,0.513,DMBP
ACR-22,hot,20221018,5,egg,0.652,0.57,DMBP
ACR-22,hot,20221018,6,egg,0.605,0.444,DMBP
ACR-22,hot,20221018,7,egg,0.757,0.553,DMBP
ACR-22,hot,20221018,8,egg,0.733,0.572,DMBP
