colony,genotye,treatment,cohort,well,type,eggs.bundle
ACR-1,1,ambient,20221021,19,egg,12
ACR-1,1,ambient,20221021,15,egg,10
ACR-1,1,ambient,20221021,7,egg,9
ACR-1,1,ambient,20221021,11,egg,9
ACR-1,1,ambient,20221021,12,egg,8
ACR-1,1,ambient,20221021,5,egg,7
ACR-1,1,ambient,20221021,17,egg,7
ACR-1,1,ambient,20221021,20,egg,7
ACR-1,1,ambient,20221021,22,egg,7
ACR-1,1,ambient,20221021,24,egg,7
ACR-1,1,ambient,20221021,3,egg,6
ACR-1,1,ambient,20221021,4,egg,6
ACR-1,1,ambient,20221021,8,egg,6
ACR-1,1,ambient,20221021,10,egg,6
ACR-1,1,ambient,20221021,13,egg,6
ACR-1,1,ambient,20221021,1,egg,5
ACR-1,1,ambient,20221021,2,egg,5
ACR-1,1,ambient,20221021,9,egg,5
ACR-1,1,ambient,20221021,6,egg,4
ACR-1,1,ambient,20221021,18,egg,4
ACR-1,1,ambient,20221021,14,egg,3
ACR-1,1,ambient,20221021,16,egg,3
ACR-1,1,ambient,20221021,21,egg,3
ACR-1,1,ambient,20221021,23,egg,2
ACR-1,1,ambient,20221023,18,egg,9
ACR-1,1,ambient,20221023,2,egg,8
ACR-1,1,ambient,20221023,1,egg,7
ACR-1,1,ambient,20221023,6,egg,7
ACR-1,1,ambient,20221023,12,egg,7
ACR-1,1,ambient,20221023,22,egg,7
ACR-1,1,ambient,20221023,9,egg,6
ACR-1,1,ambient,20221023,15,egg,6
ACR-1,1,ambient,20221023,19,egg,6
ACR-1,1,ambient,20221023,20,egg,6
ACR-1,1,ambient,20221023,3,egg,5
ACR-1,1,ambient,20221023,8,egg,5
ACR-1,1,ambient,20221023,14,egg,5
ACR-1,1,ambient,20221023,16,egg,5
ACR-1,1,ambient,20221023,17,egg,5
ACR-1,1,ambient,20221023,4,egg,4
ACR-1,1,ambient,20221023,10,egg,4
ACR-1,1,ambient,20221023,11,egg,4
ACR-1,1,ambient,20221023,13,egg,4
ACR-1,1,ambient,20221023,23,egg,4
ACR-1,1,ambient,20221023,24,egg,4
ACR-1,1,ambient,20221023,5,egg,3
ACR-1,1,ambient,20221023,7,egg,3
ACR-1,1,ambient,20221023,21,egg,2
ACR-10,10,ambient,20221017,12,egg,NA
ACR-10,10,ambient,20221017,18,egg,NA
ACR-10,10,ambient,20221017,20,egg,NA
ACR-10,10,ambient,20221017,21,egg,10
ACR-10,10,ambient,20221017,1,egg,8
ACR-10,10,ambient,20221017,10,egg,8
ACR-10,10,ambient,20221017,4,egg,7
ACR-10,10,ambient,20221017,23,egg,7
ACR-10,10,ambient,20221017,17,egg,6
ACR-10,10,ambient,20221017,5,egg,5
ACR-10,10,ambient,20221017,8,egg,5
ACR-10,10,ambient,20221017,13,egg,5
ACR-10,10,ambient,20221017,19,egg,5
ACR-10,10,ambient,20221017,2,egg,4
ACR-10,10,ambient,20221017,3,egg,4
ACR-10,10,ambient,20221017,9,egg,4
ACR-10,10,ambient,20221017,11,egg,4
ACR-10,10,ambient,20221017,14,egg,4
ACR-10,10,ambient,20221017,22,egg,4
ACR-10,10,ambient,20221017,24,egg,4
ACR-10,10,ambient,20221017,6,egg,2
ACR-10,10,ambient,20221017,15,egg,2
ACR-10,10,ambient,20221017,16,egg,2
ACR-10,10,ambient,20221017,7,egg,1
ACR-10,10,ambient,20221018,8,egg,NA
ACR-10,10,ambient,20221018,5,egg,12
ACR-10,10,ambient,20221018,7,egg,11
ACR-10,10,ambient,20221018,6,egg,10
ACR-10,10,ambient,20221018,9,egg,10
ACR-10,10,ambient,20221018,4,egg,4
ACR-10,10,ambient,20221018,18,egg,4
ACR-10,10,ambient,20221018,24,egg,4
ACR-10,10,ambient,20221018,1,egg,3
ACR-10,10,ambient,20221018,12,egg,3
ACR-10,10,ambient,20221018,17,egg,3
ACR-10,10,ambient,20221018,19,egg,3
ACR-10,10,ambient,20221018,23,egg,3
ACR-10,10,ambient,20221018,2,egg,2
ACR-10,10,ambient,20221018,3,egg,2
ACR-10,10,ambient,20221018,10,egg,2
ACR-10,10,ambient,20221018,11,egg,2
ACR-10,10,ambient,20221018,13,egg,2
ACR-10,10,ambient,20221018,14,egg,2
ACR-10,10,ambient,20221018,15,egg,2
ACR-10,10,ambient,20221018,16,egg,2
ACR-10,10,ambient,20221018,20,egg,2
ACR-10,10,ambient,20221018,21,egg,2
ACR-10,10,ambient,20221018,22,egg,2
ACR-10,10,ambient,20221019,23,egg,NA
ACR-10,10,ambient,20221019,24,egg,NA
ACR-10,10,ambient,20221019,21,egg,10
ACR-10,10,ambient,20221019,1,egg,8
ACR-10,10,ambient,20221019,10,egg,8
ACR-10,10,ambient,20221019,17,egg,6
ACR-10,10,ambient,20221019,5,egg,5
ACR-10,10,ambient,20221019,8,egg,5
ACR-10,10,ambient,20221019,12,egg,5
ACR-10,10,ambient,20221019,13,egg,5
ACR-10,10,ambient,20221019,19,egg,5
ACR-10,10,ambient,20221019,2,egg,4
ACR-10,10,ambient,20221019,3,egg,4
ACR-10,10,ambient,20221019,9,egg,4
ACR-10,10,ambient,20221019,11,egg,4
ACR-10,10,ambient,20221019,14,egg,4
ACR-10,10,ambient,20221019,22,egg,4
ACR-10,10,ambient,20221019,18,egg,3
ACR-10,10,ambient,20221019,4,egg,2
ACR-10,10,ambient,20221019,6,egg,2
ACR-10,10,ambient,20221019,15,egg,2
ACR-10,10,ambient,20221019,16,egg,2
ACR-10,10,ambient,20221019,20,egg,2
ACR-10,10,ambient,20221019,7,egg,1
ACR-10,10,ambient,20221020,18,egg,11
ACR-10,10,ambient,20221020,1,egg,8
ACR-10,10,ambient,20221020,20,egg,8
ACR-10,10,ambient,20221020,22,egg,7
ACR-10,10,ambient,20221020,4,egg,6
ACR-10,10,ambient,20221020,5,egg,6
ACR-10,10,ambient,20221020,7,egg,6
ACR-10,10,ambient,20221020,12,egg,6
ACR-10,10,ambient,20221020,19,egg,6
ACR-10,10,ambient,20221020,21,egg,6
ACR-10,10,ambient,20221020,9,egg,5
ACR-10,10,ambient,20221020,11,egg,5
ACR-10,10,ambient,20221020,14,egg,5
ACR-10,10,ambient,20221020,16,egg,5
ACR-10,10,ambient,20221020,2,egg,4
ACR-10,10,ambient,20221020,13,egg,4
ACR-10,10,ambient,20221020,17,egg,4
ACR-10,10,ambient,20221020,24,egg,4
ACR-10,10,ambient,20221020,6,egg,3
ACR-10,10,ambient,20221020,8,egg,3
ACR-10,10,ambient,20221020,10,egg,3
ACR-10,10,ambient,20221020,3,egg,2
ACR-10,10,ambient,20221020,15,egg,2
ACR-10,10,ambient,20221020,23,egg,2
ACR-10,10,ambient,20221021,3,egg,10
ACR-10,10,ambient,20221021,20,egg,11
ACR-10,10,ambient,20221021,15,egg,9
ACR-10,10,ambient,20221021,16,egg,9
ACR-10,10,ambient,20221021,18,egg,9
ACR-10,10,ambient,20221021,24,egg,8
ACR-10,10,ambient,20221021,2,egg,6
ACR-10,10,ambient,20221021,8,egg,6
ACR-10,10,ambient,20221021,9,egg,6
ACR-10,10,ambient,20221021,11,egg,6
ACR-10,10,ambient,20221021,13,egg,6
ACR-10,10,ambient,20221021,14,egg,6
ACR-10,10,ambient,20221021,21,egg,6
ACR-10,10,ambient,20221021,1,egg,5
ACR-10,10,ambient,20221021,4,egg,5
ACR-10,10,ambient,20221021,7,egg,5
ACR-10,10,ambient,20221021,10,egg,5
ACR-10,10,ambient,20221021,17,egg,5
ACR-10,10,ambient,20221021,19,egg,5
ACR-10,10,ambient,20221021,22,egg,5
ACR-10,10,ambient,20221021,5,egg,4
ACR-10,10,ambient,20221021,6,egg,4
ACR-10,10,ambient,20221021,23,egg,4
ACR-10,10,ambient,20221021,12,egg,2
ACR-10,10,ambient,20221022,14,egg,8
ACR-10,10,ambient,20221022,7,egg,7
ACR-10,10,ambient,20221022,8,egg,7
ACR-10,10,ambient,20221022,11,egg,6
ACR-10,10,ambient,20221022,3,egg,5
ACR-10,10,ambient,20221022,4,egg,5
ACR-10,10,ambient,20221022,6,egg,5
ACR-10,10,ambient,20221022,12,egg,5
ACR-10,10,ambient,20221022,15,egg,5
ACR-10,10,ambient,20221022,18,egg,5
ACR-10,10,ambient,20221022,19,egg,5
ACR-10,10,ambient,20221022,20,egg,5
ACR-10,10,ambient,20221022,2,egg,4
ACR-10,10,ambient,20221022,9,egg,4
ACR-10,10,ambient,20221022,17,egg,4
ACR-10,10,ambient,20221022,21,egg,4
ACR-10,10,ambient,20221022,22,egg,4
ACR-10,10,ambient,20221022,23,egg,4
ACR-10,10,ambient,20221022,24,egg,4
ACR-10,10,ambient,20221022,1,egg,3
ACR-10,10,ambient,20221022,5,egg,3
ACR-10,10,ambient,20221022,10,egg,3
ACR-10,10,ambient,20221022,13,egg,3
ACR-10,10,ambient,20221022,16,egg,3
ACR-11,11,ambient,20221017,18,egg,12
ACR-11,11,ambient,20221017,1,egg,9
ACR-11,11,ambient,20221017,11,egg,9
ACR-11,11,ambient,20221017,2,egg,8
ACR-11,11,ambient,20221017,9,egg,6
ACR-11,11,ambient,20221017,10,egg,6
ACR-11,11,ambient,20221017,19,egg,6
ACR-11,11,ambient,20221017,8,egg,5
ACR-11,11,ambient,20221017,13,egg,5
ACR-11,11,ambient,20221017,15,egg,5
ACR-11,11,ambient,20221017,20,egg,5
ACR-11,11,ambient,20221017,23,egg,5
ACR-11,11,ambient,20221017,24,egg,5
ACR-11,11,ambient,20221017,4,egg,4
ACR-11,11,ambient,20221017,5,egg,4
ACR-11,11,ambient,20221017,14,egg,4
ACR-11,11,ambient,20221017,16,egg,4
ACR-11,11,ambient,20221017,21,egg,4
ACR-11,11,ambient,20221017,7,egg,3
ACR-11,11,ambient,20221017,12,egg,3
ACR-11,11,ambient,20221017,3,egg,2
ACR-11,11,ambient,20221017,6,egg,2
ACR-11,11,ambient,20221017,17,egg,2
ACR-11,11,ambient,20221017,22,egg,2
ACR-11,11,ambient,20221019,20,egg,NA
ACR-11,11,ambient,20221019,21,egg,NA
ACR-11,11,ambient,20221019,18,egg,10
ACR-11,11,ambient,20221019,5,egg,9
ACR-11,11,ambient,20221019,11,egg,9
ACR-11,11,ambient,20221019,4,egg,7
ACR-11,11,ambient,20221019,3,egg,6
ACR-11,11,ambient,20221019,9,egg,6
ACR-11,11,ambient,20221019,8,egg,5
ACR-11,11,ambient,20221019,13,egg,5
ACR-11,11,ambient,20221019,15,egg,5
ACR-11,11,ambient,20221019,23,egg,5
ACR-11,11,ambient,20221019,24,egg,5
ACR-11,11,ambient,20221019,10,egg,4
ACR-11,11,ambient,20221019,14,egg,4
ACR-11,11,ambient,20221019,16,egg,4
ACR-11,11,ambient,20221019,19,egg,4
ACR-11,11,ambient,20221019,2,egg,3
ACR-11,11,ambient,20221019,7,egg,3
ACR-11,11,ambient,20221019,12,egg,3
ACR-11,11,ambient,20221019,1,egg,2
ACR-11,11,ambient,20221019,6,egg,2
ACR-11,11,ambient,20221019,17,egg,2
ACR-11,11,ambient,20221019,22,egg,2
ACR-11,11,ambient,20221020,11,egg,NA
ACR-11,11,ambient,20221020,12,egg,NA
ACR-11,11,ambient,20221020,14,egg,NA
ACR-11,11,ambient,20221020,15,egg,NA
ACR-11,11,ambient,20221020,24,egg,NA
ACR-11,11,ambient,20221020,2,egg,11
ACR-11,11,ambient,20221020,21,egg,9
ACR-11,11,ambient,20221020,17,egg,7
ACR-11,11,ambient,20221020,20,egg,7
ACR-11,11,ambient,20221020,3,egg,6
ACR-11,11,ambient,20221020,8,egg,6
ACR-11,11,ambient,20221020,16,egg,6
ACR-11,11,ambient,20221020,23,egg,6
ACR-11,11,ambient,20221020,4,egg,5
ACR-11,11,ambient,20221020,7,egg,5
ACR-11,11,ambient,20221020,9,egg,5
ACR-11,11,ambient,20221020,10,egg,5
ACR-11,11,ambient,20221020,18,egg,5
ACR-11,11,ambient,20221020,1,egg,4
ACR-11,11,ambient,20221020,6,egg,4
ACR-11,11,ambient,20221020,22,egg,4
ACR-11,11,ambient,20221020,19,egg,3
ACR-11,11,ambient,20221020,5,egg,2
ACR-11,11,ambient,20221020,13,egg,2
ACR-11,11,ambient,20221021,7,egg,NA
ACR-11,11,ambient,20221021,23,egg,NA
ACR-11,11,ambient,20221021,11,egg,7
ACR-11,11,ambient,20221021,16,egg,7
ACR-11,11,ambient,20221021,1,egg,6
ACR-11,11,ambient,20221021,5,egg,6
ACR-11,11,ambient,20221021,10,egg,6
ACR-11,11,ambient,20221021,17,egg,6
ACR-11,11,ambient,20221021,18,egg,6
ACR-11,11,ambient,20221021,2,egg,5
