tube.ID,replicate,treatment,date.photographed,num.eggs,egg,two.cells,four.cells,more.cells,deformed.embryos,sum,fert.sum,tot.fert.success,notes
C1.1,1,hot,20221018,40,7,10,11,9,3,40,30,75,
C1.2,2,hot,20221018,33,5,12,8,6,2,33,26,78.78787879,
C1.3,3,hot,20221018,41,5,15,12,8,1,41,35,85.36585366,
D1.1,1,hot,20221018,40,5,6,16,12,1,40,34,85,
D1.2,2,hot,20221018,37,7,11,8,10,1,37,29,78.37837838,
D1.3,3,hot,20221018,38,7,7,14,10,0,38,31,81.57894737,
D2.1,1,hot,20221018,55,8,16,15,13,3,55,44,80,
D2.2,2,hot,20221018,41,3,11,13,12,2,41,36,87.80487805,
D2.3,3,hot,20221018,53,10,13,14,12,4,53,39,73.58490566,
C2.1,1,ambient,20221019,32,14,4,4,8,2,32,16,50,
C2.2,2,ambient,20221019,36,19,2,3,12,0,36,17,47.22222222,
C2.3,3,ambient,20221019,43,15,3,3,19,3,43,25,58.13953488,
C4.1,1,ambient,20221020,34,3,10,14,7,0,34,31,91.17647059,
C4.2,2,ambient,20221020,36,3,11,10,9,3,36,30,83.33333333,
C4.3,3,ambient,20221020,48,8,14,12,10,4,48,36,75,
D3.1,1,ambient,20221020,42,6,10,13,11,2,42,34,80.95238095,
D3.2,2,ambient,20221020,49,7,10,16,13,3,49,39,79.59183673,
D3.3,3,ambient,20221020,51,8,17,12,10,4,51,39,76.47058824,
C3.1,1,ambient,20221021,48,3,10,15,16,4,48,41,85.41666667,
C3.2,2,ambient,20221021,58,9,12,16,17,4,58,45,77.5862069,
C3.3,3,ambient,20221021,52,16,10,14,10,2,52,34,65.38461538,
C6.1,1,hot,20221022,48,10,14,13,11,0,48,38,79.16666667,
C6.2,2,hot,20221022,35,5,15,8,7,0,35,30,85.71428571,
C6.3,3,hot,20221022,36,10,16,10,0,0,36,26,72.22222222,
D6.1,1,ambient,20221022,40,15,15,10,0,0,40,25,62.5,lots of unfert eggs
D6.2,2,ambient,20221022,38,25,5,4,0,4,38,9,23.68421053,lots of unfert eggs
D6.3,3,ambient,20221022,36,22,10,4,0,0,36,14,38.88888889,lots of unfert eggs
C1.1,1,ambient,20221023,34,16,9,5,0,4,34,14,41.17647059,lots of unfert eggs
C1.2,2,ambient,20221023,40,19,11,5,0,5,40,16,40,lots of unfert eggs
C1.3,3,ambient,20221023,36,18,12,3,0,3,36,15,41.66666667,lots of unfert eggs
D3.1,1,hot,20221023,40,11,22,4,3,0,40,29,72.5,
D3.2,2,hot,20221023,35,12,20,3,0,0,35,23,65.71428571,
D3.3,3,hot,20221023,36,14,18,3,1,0,36,22,61.11111111,
C7.1,1,ambient,20221024,20,4,5,3,3,5,20,11,55,
C7.2,2,ambient,20221024,22,4,5,3,3,7,22,11,50,
C7.3,3,ambient,20221024,19,4,5,2,3,5,19,10,52.63157895,
