Measurement Name :,20221025_SDR2_710_27,,Generated On :,"25/10/2022, 13:04:48",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/10/2022, 12:43:36",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/10/2022, 13:04:20",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,27, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.1,46.29,46.3,46.29,46.4,46.52,46.61,46.55,46.58,46.61,46.66,46.52,47.05,46.59,46.6,47.4,46.71,47.33,46.49,47.02,46.51,47.39,46.55,46.65,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.10.22 12:43:38,0.03,70.69,79.14,94.19,87.04,81.18,72.48,83.26,87.11,88.33,95.99,86.53,85.62,100.48,86.21,85.08,71.89,85.47,83.36,76.43,86.57,81.38,77.83,95.74,88.24,,30,965,36,26.84,
25.10.22 12:43:53,0.28,70.69,78.87,94.47,87.18,81.32,72.48,83.26,87.25,88.33,96.57,86.67,85.62,100.79,86.49,84.8,70.57,85.61,83.21,76.16,86.57,81.79,77.98,95.74,88.1,,30,965,36,26.88,
25.10.22 12:44:09,0.55,70.69,78.74,94.19,87.04,81.32,72.22,83.4,87.39,88.05,96.72,86.53,85.62,100.79,86.63,84.25,69.41,85.33,83.06,76.29,86.72,81.79,78.13,95.88,87.53,,30,965,36,26.91,
25.10.22 12:44:24,0.8,70.57,78.61,94.61,87.45,81.18,72.09,83.12,87.67,88.47,96.86,86.81,85.76,101.09,86.63,84.11,68.53,85.75,83.36,76.02,86.28,82.34,78.13,95.88,87.67,,30,965,36,26.94,
25.10.22 12:44:39,1.05,70.57,78.47,94.61,87.18,81.05,71.95,83.12,87.67,88.05,97.15,86.67,85.76,100.79,86.77,83.69,67.37,85.47,83.36,75.76,86.57,82.2,78.13,96.17,87.25,,30,965,36,26.98,
25.10.22 12:44:54,1.3,70.44,78.61,94.74,87.45,81.32,71.69,83.12,87.67,88.47,97.01,86.95,85.76,100.94,86.49,83.55,66.79,85.33,83.36,75.49,86.13,82.34,77.83,96.02,87.53,,30,965,36,27,
25.10.22 12:45:09,1.55,70.82,78.74,95.02,87.45,81.18,71.56,83.4,87.67,88.75,97.44,86.95,86.04,101.09,86.63,83.69,65.93,85.33,83.21,75.36,86.28,82.88,78.13,96.17,87.67,,30,965,36,27.05,
25.10.22 12:45:24,1.8,70.57,79,94.74,87.59,81.45,71.16,83.4,87.81,88.33,97.59,87.24,85.76,101.09,86.91,83.14,64.63,85.05,82.76,75.36,86.28,82.61,77.98,96.46,87.53,,30,965,36,27.06,
25.10.22 12:45:39,2.05,70.69,79.14,94.74,87.45,81.18,71.03,83.4,87.67,88.05,97.88,87.1,85.62,101.09,86.77,82.86,64.35,85.33,82.91,75.09,85.98,82.47,77.98,96.31,87.67,,30,965,36,27.09,
25.10.22 12:45:54,2.3,70.57,79,95.02,87.32,81.18,70.9,83.12,87.67,87.91,97.88,87.1,85.48,100.94,86.63,82.45,64.2,84.76,82.91,74.82,85.84,82.47,77.83,96.17,87.67,,30,965,36,27.1,
25.10.22 12:46:09,2.55,70.32,79.14,95.16,87.45,80.92,70.37,83.4,87.53,88.05,98.02,87.38,85.48,101.09,86.77,82.31,63.77,84.76,83.06,74.82,85.55,82.61,77.68,96.31,87.67,,30,965,36,27.14,
