Measurement Name :,20221029_SDR710_cohort20221021_HOT_WT,,Generated On :,"29/10/2022, 15:21:33",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"29/10/2022, 14:52:27",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"29/10/2022, 15:20:56",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,30, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.33,46.33,46.35,46.37,46.48,46.57,46.57,46.57,46.55,46.54,46.61,46.56,46.44,46.54,46.6,46.84,46.54,47.22,46.51,46.88,46.43,47.18,46.47,46.68,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
29.10.22 14:52:29,0.03,100.3,95.53,86.6,101.06,86.86,81.59,91.04,81.59,92.71,99.39,86.97,75.99,90.58,96.04,98.61,87.54,90.33,97.36,87.7,78.54,92.06,88.47,91.14,97.98,,30,965,36,27.56,
29.10.22 14:52:44,0.28,100.75,96.12,87.03,101.66,87.73,82.03,91.64,81.59,93.46,100,86.67,76.7,91.31,96.34,99.23,87.39,90.92,97.85,87.99,78.84,92.65,89.11,91.88,98.76,,30,965,36,27.53,
29.10.22 14:53:00,0.55,101.2,96.27,86.75,101.66,87.73,82.18,91.64,81.59,93.46,100.15,86.08,77.13,91.61,96.79,99.54,87.7,91.07,98.18,87.99,78.54,92.65,89.43,92.18,98.76,,30,965,36,27.53,
29.10.22 14:53:15,0.8,101.96,96.86,86.75,102.12,88.18,82.47,92.24,81.74,93.91,100.92,86.37,77.57,91.76,97.1,99.69,87.85,91.67,98.84,88.73,78.69,93.1,89.92,92.77,99.53,,30,965,36,27.53,
29.10.22 14:53:30,1.05,101.96,97.31,86.6,102.42,88.32,82.76,92.39,82.18,94.22,101.23,86.52,77.28,92.35,97.55,100,88,91.97,99.34,89.32,78.84,93.1,90.24,93.07,99.69,,30,965,36,27.53,
29.10.22 14:53:45,1.3,102.41,97.46,86.46,102.42,88.32,82.9,92.54,82.03,94.07,101.54,86.67,76.7,92.2,97.86,100.15,88.16,91.97,99.5,89.62,78.84,92.65,90.4,93.22,99.84,,30,965,36,27.56,
29.10.22 14:54:00,1.55,102.56,97.61,86.46,102.72,88.47,83.05,92.54,82.32,94.37,101.69,86.67,76.56,92.65,97.86,100.62,88.16,91.97,99.83,89.62,78.54,92.51,90.4,93.52,100,,30,965,36,27.56,
29.10.22 14:54:15,1.8,102.86,97.61,86.6,102.72,88.91,82.76,93,82.18,94.22,102,86.52,75.85,92.65,98.01,100.62,88.16,92.12,100.17,90.06,78.54,92.21,90.08,93.82,100.31,,30,965,36,27.58,
29.10.22 14:54:30,2.05,102.86,97.76,86.6,103.18,89.21,83.05,93.15,82.32,93.91,102.62,86.37,75.7,92.8,98.01,100.77,88.16,92.27,100.17,90.36,78.24,92.06,90.24,93.82,100.16,,30,965,36,27.59,
29.10.22 14:54:45,2.3,103.17,98.2,86.31,102.72,89.06,82.76,93.3,82.47,93.76,102.62,86.67,75.13,92.94,98.16,100.62,88.16,91.82,100.66,90.51,78.24,92.21,90.08,93.97,100.47,,30,965,36,27.6,
29.10.22 14:55:00,2.55,102.86,98.06,86.46,102.72,88.91,82.76,93.3,82.18,93.76,103.08,86.52,74.71,92.8,98.32,101.08,88.16,92.27,100.66,90.65,78.09,92.21,90.24,94.27,100.31,,30,965,36,27.61,
29.10.22 14:55:15,2.8,103.17,98.2,86.46,103.33,89.35,82.61,93.15,82.03,93.61,102.93,86.52,73.99,93.09,98.47,101.24,88,92.27,101,90.8,77.94,92.36,90.08,94.27,100.47,,30,965,36,27.61,
29.10.22 14:55:30,3.05,103.32,98.5,86.46,103.33,89.5,82.32,93.3,81.59,93.76,103.24,86.82,73.71,93.09,98.16,101.39,87.85,92.12,101.16,90.65,77.64,92.36,89.75,94.27,100.62,,30,965,36,27.63,
29.10.22 14:55:45,3.3,103.47,98.65,86.46,103.33,89.35,82.32,93.15,81.59,93.46,103.55,86.67,73.28,93.09,98.32,101.39,88,91.82,101.49,90.95,77.49,92.51,89.59,94.27,100.78,,30,965,36,27.67,
29.10.22 14:56:00,3.55,103.62,98.8,86.31,103.18,89.65,82.32,93,81.74,93.31,103.55,86.97,72.86,92.94,98.47,101.39,87.85,91.82,101.33,90.95,77.2,92.8,89.43,94.41,100.78,,30,965,36,27.67,
29.10.22 14:56:15,3.8,103.77,99.1,86.46,103.48,89.94,82.47,93.3,81.16,93.31,104.01,86.82,72.72,93.09,98.78,101.55,87.85,91.82,101.33,91.25,77.05,92.95,89.27,94.56,100.78,,30,965,36,27.67,
29.10.22 14:56:30,4.05,103.47,98.8,86.31,102.88,89.8,82.18,93,80.72,92.71,103.86,86.52,72.15,92.65,98.32,101.24,87.39,91.37,100.83,91.1,76.75,92.95,89.11,94.27,100.62,,30,965,36,27.7,
29.10.22 14:56:45,4.3,103.47,98.8,86.31,103.18,89.35,82.03,92.85,80.72,92.71,104.01,86.52,72.01,92.5,98.47,101.39,87.39,91.52,100.83,91.1,76.45,92.51,88.79,94.27,100.62,,30,965,36,27.71,
29.10.22 14:57:00,4.55,103.77,98.8,86.17,102.88,89.35,81.74,92.39,80.43,92.26,103.86,86.37,71.45,92.05,98.32,101.24,87.09,90.92,101,91.1,76.15,92.8,88.47,94.27,100.62,,30,965,36,27.73,
29.10.22 14:57:15,4.8,103.77,99.1,86.17,103.18,89.21,81.59,92.24,80.14,92.11,104.32,86.67,71.45,92.05,98.78,101.55,87.24,91.07,100.83,91.55,75.86,93.1,88.63,94.41,100.78,,30,965,36,27.74,
29.10.22 14:57:30,5.05,103.47,98.95,85.74,103.03,88.91,81.45,92.09,79.85,91.81,104.01,86.08,70.88,91.61,98.32,101.39,86.93,90.77,100.83,91.25,75.71,92.95,88.31,94.12,100.94,,30,965,36,27.75,
29.10.22 14:57:45,5.3,103.62,98.65,85.74,103.03,88.76,81.16,91.79,79.71,91.51,104.48,86.37,70.6,91.31,98.47,101.39,87.09,90.62,100.66,91.4,75.56,92.95,88.15,94.12,100.62,,30,965,36,27.78,
29.10.22 14:58:00,5.55,103.62,98.5,85.74,103.18,88.47,81.01,91.34,79.42,91.51,104.32,86.08,70.46,90.72,98.47,101.39,86.78,90.48,100.66,91.7,75.41,92.95,88.15,94.12,100.78,,30,965,36,27.78,
29.10.22 14:58:15,5.8,103.77,98.35,85.02,103.03,88.47,81.01,91.49,79.13,91.36,104.79,85.93,70.18,90.28,98.62,101.39,86.78,90.48,100.5,91.4,75.26,92.8,88,94.27,101.09,,30,965,36,27.81,
29.10.22 14:58:30,6.05,103.77,97.91,84.59,102.88,88.18,80.72,91.19,78.84,91.51,104.63,85.63,69.76,89.99,98.78,101.24,86.78,90.18,100.66,91.55,74.97,92.8,88,93.97,101.4,,30,965,36,27.81,
29.10.22 14:58:45,6.3,103.62,98.06,84.02,102.88,87.88,80.28,91.04,78.4,91.36,104.48,85.48,69.48,89.84,98.47,101.39,86.63,89.88,100.66,91.4,74.82,92.65,87.84,94.12,101.25,,30,965,36,27.84,
29.10.22 14:59:00,6.55,103.77,98.06,83.73,102.72,87.59,79.71,90.59,78.4,91.21,104.63,85.19,69.2,89.4,98.32,101.39,86.17,89.58,100.17,91.55,74.52,92.51,87.68,93.97,101.56,,30,965,36,27.85,
29.10.22 14:59:15,6.8,103.92,98.06,83.16,102.57,87.59,79.27,90.59,77.97,91.21,104.94,84.74,68.36,89.4,98.16,101.08,86.17,89.58,100.33,91.25,74.37,92.21,87.36,94.12,101.72,,30,965,36,27.85,
29.10.22 14:59:30,7.05,103.77,98.2,82.73,102.72,87.59,78.69,90.15,77.54,91.06,104.79,84.6,68.36,89.25,97.86,101.24,86.17,89.43,100.33,91.25,74.23,92.06,87.2,93.97,101.87,,30,965,36,27.88,
29.10.22 14:59:45,7.3,103.92,97.91,82.3,102.42,87.59,78.4,89.85,77.54,90.91,104.79,84.45,68.22,88.96,98.16,101.24,85.71,89.43,100.17,91.25,73.93,91.91,87.04,93.97,101.87,,30,965,36,27.88,
29.10.22 15:00:00,7.55,103.47,97.61,82.16,102.57,87.44,77.83,90,77.25,91.06,104.94,84.45,67.94,88.67,98.16,101.08,86.17,89.14,99.83,91.25,73.63,91.77,86.56,93.97,102.34,,30,965,36,27.89,
29.10.22 15:00:15,7.8,103.77,97.31,81.31,102.42,87.15,77.83,89.4,77.11,90.61,104.94,84.45,67.38,88.52,98.01,100.93,85.71,88.84,99.83,91.1,72.6,91.47,86.4,93.67,102.34,,30,965,36,27.92,
29.10.22 15:00:30,8.05,103.62,97.01,81.31,102.42,87.15,77.25,89.4,77.11,90.46,105.1,84.3,67.1,88.52,97.86,101.08,85.71,88.4,99.83,91.1,72.31,91.47,86.56,93.52,102.5,,30,965,36,27.94,
29.10.22 15:00:45,8.3,103.62,97.01,80.74,102.12,87.29,76.54,88.95,76.39,90.32,105.26,83.57,66.69,87.79,97.71,100.77,85.26,88.1,99.17,90.51,71.87,91.03,86.09,93.52,102.5,,30,965,36,27.95,
29.10.22 15:01:00,8.55,103.92,97.31,81.03,102.27,87.44,76.68,89.25,76.25,90.32,105.41,84.01,66.41,88.23,98.16,100.77,85.11,87.95,99.67,90.36,71.72,91.32,86.09,93.52,102.66,,30,965,36,27.96,
29.10.22 15:01:15,8.8,103.77,97.01,81.17,102.12,87.44,76.39,88.95,75.96,90.17,105.26,83.42,66.13,87.93,97.86,100.77,84.8,87.8,99.17,90.36,71.28,91.32,85.77,93.22,102.81,,30,965,36,27.98,
29.10.22 15:01:30,9.05,103.77,97.16,80.88,101.96,87.29,76.11,88.51,75.82,90.17,105.1,83.42,65.99,87.64,97.86,100.93,84.8,87.8,99.01,89.91,70.84,90.88,85.45,93.22,102.97,,30,965,36,27.99,
29.10.22 15:01:45,9.3,104.08,97.01,80.6,101.96,86.86,75.96,88.36,75.68,90.02,105.26,83.12,65.72,87.49,97.71,100.77,84.65,87.66,99.17,90.06,70.55,90.73,85.13,93.07,102.97,,30,965,36,28.02,
29.10.22 15:02:00,9.55,103.77,96.57,80.46,101.51,86.56,75.53,88.06,75.25,89.42,105.1,82.83,65.3,87.35,97.55,100.31,84.2,87.21,99.01,89.62,70.11,90.29,84.03,92.92,103.29,,30,965,36,28.02,
29.10.22 15:02:15,9.8,103.62,96.57,80.46,101.81,86.27,75.53,87.76,74.68,89.72,105.1,82.68,64.75,87.2,97.55,100.46,84.2,87.06,99.17,89.76,69.67,90.44,84.03,92.92,103.13,,30,965,36,28.03,
29.10.22 15:02:30,10.05,103.62,96.57,80.18,101.81,86.27,75.39,87.47,74.39,89.27,105.41,82.54,64.33,87.06,97.4,100.15,84.2,86.92,99.17,89.62,69.38,90.29,83.4,92.77,103.13,,30,965,36,28.06,
29.10.22 15:02:45,10.3,103.77,96.57,79.75,101.81,86.27,74.96,87.17,73.97,89.57,105.41,82.24,63.92,86.77,97.4,100.31,83.89,86.92,99.01,89.47,68.8,90.14,82.61,92.62,103.13,,30,965,36,28.06,
29.10.22 15:03:00,10.55,103.47,96.27,79.33,101.21,85.98,74.39,86.43,73.68,88.68,105.26,81.95,63.09,86.33,97.1,100,83.44,86.48,98.35,88.88,68.36,89.7,81.82,92.47,103.13,,30,965,36,28.08,
29.10.22 15:03:15,10.8,103.77,96.27,79.05,101.66,85.98,74.54,86.73,73.26,89.12,105.1,81.8,62.55,86.62,96.64,100.15,83.29,86.33,98.51,88.43,68.22,90.14,81.67,92.47,103.13,,30,965,36,28.1,
29.10.22 15:03:30,11.05,103.62,96.12,78.34,101.51,85.83,74.25,86.14,73.4,88.68,105.26,81.66,62.13,86.47,96.49,100.15,83.29,86.18,98.68,87.99,67.78,89.85,81.51,92.18,103.29,,30,965,36,28.1,
29.10.22 15:03:45,11.3,103.62,96.27,77.78,101.21,85.98,73.82,86.14,73.11,88.53,105.41,81.51,61.86,86.18,96.34,100.15,83.14,86.03,98.35,87.84,67.2,89.7,81.35,92.18,103.44,,30,965,36,28.13,
29.10.22 15:04:00,11.55,103.62,95.97,77.22,101.36,85.83,73.68,85.4,72.83,88.38,105.26,81.07,61.31,85.75,96.49,99.85,82.53,85.74,97.85,87.4,66.62,89.26,80.73,91.88,103.44,,30,965,36,28.13,
29.10.22 15:04:15,11.8,103.32,95.97,76.8,101.06,85.54,73.4,85.25,72.69,88.09,105.26,80.93,61.18,85.6,96.19,99.69,82.53,85.89,97.85,87.11,66.48,89.41,80.57,91.88,103.13,,30,965,36,28.16,
29.10.22 15:04:30,12.05,103.47,95.68,76.8,101.21,85.54,73.26,84.52,72.69,87.64,105.41,80.78,60.9,85.46,96.19,99.85,82.69,85.74,97.85,86.96,66.19,89.41,80.42,91.88,103.6,,30,965,36,28.17,
29.10.22 15:04:45,12.3,103.77,95.97,76.1,101.51,85.25,73.26,84.66,72.4,87.79,105.26,80.93,60.36,85.17,96.04,99.85,82.23,85.74,98.02,87.11,65.9,89.26,80.26,91.58,103.6,,30,965,36,28.17,
29.10.22 15:05:00,12.55,103.62,95.38,75.41,100.91,84.38,72.69,84.08,72.12,87.49,105.26,80.34,59.54,84.73,96.04,99.38,81.63,85.74,97.69,87.11,65.18,88.82,79.95,91.43,103.29,,30,965,36,28.2,
29.10.22 15:05:15,12.8,103.47,95.68,75.27,100.91,83.94,72.12,84.08,72.4,87.35,105.26,80.2,59.27,84.73,95.88,99.54,81.48,85.45,97.52,86.81,64.75,88.68,79.48,91.29,103.44,,30,965,36,28.21,
