Measurement Name :,20221030_SDR710_AMB_WT_COHORT1023,,Generated On :,"30/10/2022, 14:19:06",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"30/10/2022, 13:56:27",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"30/10/2022, 14:18:53",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,30, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.2,46.11,46.15,46.02,46.11,46.21,46.2,46.25,46.27,46.2,46.19,46.12,46.14,46.15,46.28,46.48,46.19,46.78,46.19,46.57,46.06,46.79,46.17,46.34,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
30.10.22 13:56:29,0.03,89.95,91.6,89.57,86.63,95.2,81.86,88.52,86.03,89.3,85.67,90.39,92.74,88.44,95.47,88.57,87.59,89.38,91.91,88.1,82.47,98.98,87.01,86,91.11,,30,965,36,27.99,
30.10.22 13:56:44,0.28,90.23,91.89,89.57,86.9,95.63,82.14,88.8,86.17,89.59,86.1,90.53,93.17,88.73,96.05,88.85,87.73,89.53,92.52,88.53,82.76,99.27,87.31,86.28,91.7,,30,965,36,27.96,
30.10.22 13:56:59,0.53,90.66,92.46,90,87.04,96.06,82.14,88.94,86.17,90.02,86.52,90.67,93.6,88.87,96.34,89,87.88,89.81,92.83,88.67,82.9,99.71,87.61,86.42,92.14,,30,965,36,27.94,
30.10.22 13:57:14,0.78,90.81,92.61,89.85,87.18,96.21,82.14,89.23,86.17,90.02,86.67,90.24,93.46,89.01,96.48,89.29,87.88,89.96,92.99,88.81,82.76,99.71,87.77,86.56,92.14,,30,965,36,27.95,
30.10.22 13:57:29,1.03,91.24,93.04,90.14,87.46,96.79,82.42,89.37,86.45,90.6,87.23,90.67,94.04,89.58,97.07,89.43,88.32,90.1,93.29,89.24,83.05,100,87.92,86.85,92.43,,30,965,36,27.96,
30.10.22 13:57:44,1.28,91.1,92.89,90,87.46,96.64,82.14,89.23,86.45,90.45,87.23,90.53,94.04,89.58,97.21,89.29,88.32,89.96,93.45,88.96,83.2,100,87.92,86.85,92.58,,30,965,36,27.96,
