Measurement Name :,20221031_SDR710_AMB,,Generated On :,"31/10/2022, 14:49:10",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"31/10/2022, 14:27:40",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"31/10/2022, 14:48:38",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,30, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.98,45.92,45.93,45.85,46.01,46.07,46.1,46.08,46.16,46.02,46.18,46.05,46.08,46.08,46.21,46.47,46.23,46.92,46.19,46.55,46.09,47.59,46.2,46.28,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
31.10.22 14:27:42,0.03,93.69,96.56,59.58,82.9,75.58,84.89,83.59,98.25,95.9,96.24,99.56,99.13,97.96,88.94,90.8,90.69,81.82,111.55,84,106.2,88.36,109.49,101.34,90.59,,30,965,36,27.75,
31.10.22 14:27:57,0.28,93.83,96.85,59.46,83.17,75.44,85.02,83.72,98.54,95.75,96.53,99.7,99.42,98.1,89.08,91.23,90.69,81.82,111.88,84,106.2,88.5,109.66,101.48,90.88,,30,965,36,27.78,
31.10.22 14:28:12,0.53,93.55,96.71,59.08,82.9,75.31,85.02,83.59,98.25,95.75,96.24,99.7,99.42,97.96,88.94,91.09,90.25,81.82,111.71,83.72,106.04,88.36,109.49,101.34,90.88,,30,965,36,27.83,
31.10.22 14:28:27,0.78,93.83,96.99,58.95,83.04,75.58,85.02,83.72,98.4,96.04,96.53,100,99.56,98.25,89.22,91.38,90.4,81.82,112.21,84,106.36,88.5,109.66,101.63,91.02,,30,965,36,27.85,
31.10.22 14:28:42,1.03,93.83,96.99,58.83,83.04,75.58,85.16,84,98.54,96.19,96.67,100.15,99.71,98.4,89.22,91.38,90.25,81.68,112.21,84,106.36,88.5,109.84,101.63,90.88,,30,965,36,27.86,
31.10.22 14:28:57,1.28,93.98,97.13,58.83,82.9,75.44,84.89,83.86,98.69,96.19,96.67,100.15,99.56,98.25,89.22,91.38,90.1,81.54,112.21,84,106.67,88.36,109.66,101.63,90.88,,30,965,36,27.88,
31.10.22 14:29:12,1.53,94.12,97.28,58.95,82.9,75.44,85.02,83.86,98.98,96.48,96.96,100.44,99.85,98.54,89.5,91.81,89.96,81.4,112.54,84.14,106.83,88.64,109.84,101.93,91.17,,30,965,36,27.92,
31.10.22 14:29:27,1.78,94.12,97.13,58.95,82.63,75.31,84.89,83.59,98.98,96.48,96.82,100.44,100,98.4,89.36,91.81,89.66,81.26,112.54,84,106.83,88.36,109.84,102.08,90.88,,30,965,36,27.94,
31.10.22 14:29:43,2.05,94.12,97.28,59.08,82.63,75.31,84.89,83.17,99.12,96.63,97.11,100.59,100,98.54,89.36,91.95,89.66,80.98,112.7,84.14,106.98,88.36,109.66,102.23,91.17,,30,965,36,27.96,
31.10.22 14:29:58,2.3,94.12,97.56,59.08,82.5,75.17,85.02,83.17,99.12,96.48,97.39,100.74,100,98.54,89.22,92.1,89.37,80.84,112.87,83.86,106.98,88.5,109.66,102.08,91.02,,30,965,36,27.96,
31.10.22 14:30:13,2.55,94.26,97.56,59.08,82.36,75.04,84.89,83.03,99.12,96.63,97.25,100.59,100.29,98.69,89.22,91.95,89.22,80.42,113.04,84,107.14,88.36,109.66,102.38,91.02,,30,965,36,27.99,
31.10.22 14:30:28,2.8,94.4,97.56,59.21,82.36,75.04,84.75,82.89,99.27,96.77,97.39,100.89,100.15,98.69,89.08,91.95,89.07,80.42,113.04,83.86,107.14,88.36,109.66,102.38,90.88,,30,965,36,28.03,
31.10.22 14:30:43,3.05,94.26,97.56,59.21,82.09,74.64,84.75,83.03,99.27,96.63,97.54,100.74,100.15,98.83,88.94,91.95,88.78,80.14,113.04,84,107.14,88.22,109.31,102.23,91.02,,30,965,36,28.03,
31.10.22 14:30:58,3.3,94.26,97.56,59.21,81.96,74.64,84.33,82.89,99.27,96.63,97.54,101.04,100.15,98.69,88.8,91.66,88.63,79.73,113.2,83.72,107.3,88.22,109.13,102.38,90.88,,30,965,36,28.06,
31.10.22 14:31:13,3.55,94.4,97.85,59.21,81.96,74.51,84.61,82.75,99.42,97.06,97.83,101.04,100.58,98.98,88.65,91.95,88.78,79.45,113.37,84,107.45,88.22,109.31,102.68,90.88,,30,965,36,28.08,
