history,cohort.date,treatment,vial,larvae,timepoint,notes
ambient,20221022,control,AC1,15,0,
ambient,20221022,control,AC2,15,0,
ambient,20221022,control,AC3,15,0,
ambient,20221022,control,AC4,15,0,
heatwave,20221022,control,HC1,15,0,
heatwave,20221022,control,HC2,15,0,
heatwave,20221022,control,HC3,15,0,
heatwave,20221022,control,HC4,15,0,
heatwave,20221022,control,HC5,15,0,
heatwave,20221022,control,HC6,15,0,
heatwave,20221022,control,HC7,15,0,
heatwave,20221022,control,HC8,15,0,
heatwave,20221022,control,HC9,15,0,
heatwave,20221022,control,HC10,15,0,
wildtype,20221022,control,WTC1,15,0,
wildtype,20221022,control,WTC2,15,0,
wildtype,20221022,control,WTC3,15,0,
wildtype,20221022,control,WTC4,15,0,
wildtype,20221022,control,WTC5,15,0,
wildtype,20221022,control,WTC6,15,0,
wildtype,20221022,control,WTC7,15,0,
wildtype,20221022,control,WTC8,15,0,
wildtype,20221022,control,WTC9,15,0,
wildtype,20221022,control,WTC10,15,0,
ambient,20221022,ramp,AR1,15,0,
ambient,20221022,ramp,AR2,15,0,
ambient,20221022,ramp,AR3,15,0,
ambient,20221022,ramp,AR4,15,0,
heatwave,20221022,ramp,AR5,15,0,
heatwave,20221022,ramp,HR1,15,0,
heatwave,20221022,ramp,HR2,15,0,
heatwave,20221022,ramp,HR3,15,0,
heatwave,20221022,ramp,HR4,15,0,
heatwave,20221022,ramp,HR5,15,0,
heatwave,20221022,ramp,HR6,15,0,
heatwave,20221022,ramp,HR7,15,0,
heatwave,20221022,ramp,HR8,15,0,
heatwave,20221022,ramp,HR9,15,0,
wildtype,20221022,ramp,HR10,15,0,
wildtype,20221022,ramp,WTR1,15,0,
wildtype,20221022,ramp,WTR2,15,0,
wildtype,20221022,ramp,WTR3,15,0,
wildtype,20221022,ramp,WTR4,15,0,
wildtype,20221022,ramp,WTR5,15,0,
wildtype,20221022,ramp,WTR6,15,0,
wildtype,20221022,ramp,WTR7,15,0,
wildtype,20221022,ramp,WTR8,15,0,
wildtype,20221022,ramp,WTR9,15,0,
wildtype,20221022,ramp,WTR10,15,0,
ambient,20221022,control,AC1,15,6,
ambient,20221022,control,AC2,15,6,
ambient,20221022,control,AC3,15,6,
ambient,20221022,control,AC4,14,6,
heatwave,20221022,control,HC1,15,6,
heatwave,20221022,control,HC2,15,6,
heatwave,20221022,control,HC3,15,6,
heatwave,20221022,control,HC4,15,6,
heatwave,20221022,control,HC5,15,6,
heatwave,20221022,control,HC6,15,6,
heatwave,20221022,control,HC7,15,6,
heatwave,20221022,control,HC8,15,6,
heatwave,20221022,control,HC9,15,6,
heatwave,20221022,control,HC10,15,6,
wildtype,20221022,control,WTC1,15,6,
wildtype,20221022,control,WTC2,15,6,
wildtype,20221022,control,WTC3,13,6,
wildtype,20221022,control,WTC4,15,6,
wildtype,20221022,control,WTC5,14,6,
wildtype,20221022,control,WTC6,15,6,
wildtype,20221022,control,WTC7,15,6,
wildtype,20221022,control,WTC8,13,6,
wildtype,20221022,control,WTC9,15,6,
wildtype,20221022,control,WTC10,15,6,
ambient,20221022,ramp,AR1,10,6,
ambient,20221022,ramp,AR2,11,6,
ambient,20221022,ramp,AR3,12,6,
ambient,20221022,ramp,AR4,12,6,
heatwave,20221022,ramp,AR5,11,6,
heatwave,20221022,ramp,HR1,15,6,
heatwave,20221022,ramp,HR2,15,6,
heatwave,20221022,ramp,HR3,15,6,
heatwave,20221022,ramp,HR4,15,6,
heatwave,20221022,ramp,HR5,14,6,
heatwave,20221022,ramp,HR6,15,6,
heatwave,20221022,ramp,HR7,15,6,
heatwave,20221022,ramp,HR8,14,6,
heatwave,20221022,ramp,HR9,15,6,
wildtype,20221022,ramp,HR10,15,6,
wildtype,20221022,ramp,WTR1,11,6,
wildtype,20221022,ramp,WTR2,12,6,
wildtype,20221022,ramp,WTR3,11,6,
wildtype,20221022,ramp,WTR4,14,6,
wildtype,20221022,ramp,WTR5,14,6,
wildtype,20221022,ramp,WTR6,14,6,
wildtype,20221022,ramp,WTR7,15,6,
wildtype,20221022,ramp,WTR8,12,6,
wildtype,20221022,ramp,WTR9,14,6,
wildtype,20221022,ramp,WTR10,13,6,
ambient,20221022,control,AC1,14,12,
ambient,20221022,control,AC2,14,12,
ambient,20221022,control,AC3,15,12,
ambient,20221022,control,AC4,13,12,
heatwave,20221022,control,HC1,15,12,
heatwave,20221022,control,HC2,15,12,
heatwave,20221022,control,HC3,15,12,
heatwave,20221022,control,HC4,15,12,
heatwave,20221022,control,HC5,14,12,
heatwave,20221022,control,HC6,15,12,
heatwave,20221022,control,HC7,14,12,
