history,cohort.date,treatment,vial,larvae,timepoint
ambient,20221023,control,AC1,15,0
ambient,20221023,control,AC2,15,0
ambient,20221023,control,AC3,15,0
ambient,20221023,control,AC4,15,0
ambient,20221023,control,AC5,15,0
ambient,20221023,control,AC6,15,0
ambient,20221023,control,AC7,15,0
ambient,20221023,control,AC8,15,0
ambient,20221023,control,AC9,15,0
ambient,20221023,control,AC10,15,0
wildtype,20221023,control,WTC1,15,0
wildtype,20221023,control,WTC2,15,0
wildtype,20221023,control,WTC3,15,0
wildtype,20221023,control,WTC4,15,0
wildtype,20221023,control,WTC5,15,0
wildtype,20221023,control,WTC6,15,0
wildtype,20221023,control,WTC7,15,0
wildtype,20221023,control,WTC8,15,0
wildtype,20221023,control,WTC9,15,0
wildtype,20221023,control,WTC10,15,0
heatwave,20221023,control,HC1,15,0
heatwave,20221023,control,HC2,15,0
heatwave,20221023,control,HC3,15,0
heatwave,20221023,control,HC4,15,0
heatwave,20221023,control,HC5,15,0
heatwave,20221023,control,HC6,15,0
heatwave,20221023,control,HC7,15,0
heatwave,20221023,control,HC8,15,0
heatwave,20221023,control,HC9,15,0
heatwave,20221023,control,HC10,15,0
ambient,20221023,ramp,AR1,15,0
ambient,20221023,ramp,AR2,15,0
ambient,20221023,ramp,AR3,15,0
ambient,20221023,ramp,AR4,15,0
ambient,20221023,ramp,AR5,15,0
ambient,20221023,ramp,AR6,15,0
ambient,20221023,ramp,AR7,15,0
ambient,20221023,ramp,AR8,15,0
ambient,20221023,ramp,AR9,15,0
ambient,20221023,ramp,AR10,15,0
heatwave,20221023,ramp,HR1,15,0
heatwave,20221023,ramp,HR2,15,0
heatwave,20221023,ramp,HR3,15,0
heatwave,20221023,ramp,HR4,15,0
heatwave,20221023,ramp,HR5,15,0
heatwave,20221023,ramp,HR6,15,0
heatwave,20221023,ramp,HR7,15,0
heatwave,20221023,ramp,HR8,15,0
heatwave,20221023,ramp,HR9,15,0
wildtype,20221023,ramp,HR10,15,0
wildtype,20221023,ramp,WTR1,15,0
wildtype,20221023,ramp,WTR2,15,0
wildtype,20221023,ramp,WTR3,15,0
wildtype,20221023,ramp,WTR4,15,0
wildtype,20221023,ramp,WTR5,15,0
wildtype,20221023,ramp,WTR6,15,0
wildtype,20221023,ramp,WTR7,15,0
wildtype,20221023,ramp,WTR8,15,0
wildtype,20221023,ramp,WTR9,15,0
wildtype,20221023,ramp,WTR10,15,0
ambient,20221023,control,AC1,15,6
ambient,20221023,control,AC2,15,6
ambient,20221023,control,AC3,15,6
ambient,20221023,control,AC4,12,6
ambient,20221023,control,AC5,14,6
ambient,20221023,control,AC6,15,6
ambient,20221023,control,AC7,14,6
ambient,20221023,control,AC8,14,6
ambient,20221023,control,AC9,13,6
ambient,20221023,control,AC10,15,6
wildtype,20221023,control,WTC1,13,6
wildtype,20221023,control,WTC2,13,6
wildtype,20221023,control,WTC3,12,6
wildtype,20221023,control,WTC4,13,6
wildtype,20221023,control,WTC5,14,6
wildtype,20221023,control,WTC6,12,6
wildtype,20221023,control,WTC7,14,6
wildtype,20221023,control,WTC8,14,6
wildtype,20221023,control,WTC9,15,6
wildtype,20221023,control,WTC10,14,6
heatwave,20221023,control,HC1,15,6
heatwave,20221023,control,HC2,13,6
heatwave,20221023,control,HC3,15,6
heatwave,20221023,control,HC4,14,6
heatwave,20221023,control,HC5,14,6
heatwave,20221023,control,HC6,14,6
heatwave,20221023,control,HC7,15,6
heatwave,20221023,control,HC8,15,6
heatwave,20221023,control,HC9,15,6
heatwave,20221023,control,HC10,13,6
ambient,20221023,ramp,AR1,15,6
ambient,20221023,ramp,AR2,12,6
